# %ECSV 1.0
# ---
# datatype:
# - {name: PSRJ, datatype: string}
# - {name: RAJ, datatype: string}
# - {name: DECJ, datatype: string}
# - {name: POSEPOCH, datatype: float32}
# - {name: PMRA, datatype: float32}
# - {name: PMDEC, datatype: float32}
# - {name: DM, datatype: float32}
# - {name: F0, datatype: float32}
# - {name: PEPOCH, datatype: float32}
# - {name: F1, datatype: float32}
# - {name: PX, datatype: float32}
# - {name: S1400, datatype: float32}
# - {name: DIST_DM, datatype: float32}
# - {name: DIST_DM1, datatype: float32}
# - {name: TYPE, datatype: string}
# - {name: ASSOC, datatype: string}
# - {name: SURVEY, datatype: string}
# - {name: P0, datatype: float32}
# - {name: P1, datatype: float32}
# - {name: RM, datatype: float32}
# - {name: S400, datatype: float32}
# - {name: S150, datatype: float32}
# - {name: W50, datatype: float32}
# - {name: W10, datatype: float32}
# - {name: SPINDX, datatype: float32}
# - {name: FRACL, datatype: float32}
# - {name: FRACV, datatype: float32}
# - {name: FRACAV, datatype: float32}
# - {name: MAGINC, datatype: float32}
# - {name: IMPANG, datatype: float32}
# - {name: PASWING, datatype: float32}
# - {name: F2, datatype: float32}
# - {name: F3, datatype: float32}
# - {name: NGLT, datatype: float32}
# - {name: DIST_AMX, datatype: float32}
# - {name: DIST_AMN, datatype: float32}
# - {name: S300, datatype: float32}
# - {name: DMEPOCH, datatype: float32}
# - {name: EPHEM, datatype: string}
# - {name: CLK, datatype: string}
# - {name: PSRB, datatype: string}
# - {name: S50, datatype: float32}
# - {name: S600, datatype: float32}
# - {name: TAU_SC, datatype: float32}
# - {name: ELONG, datatype: float32}
# - {name: ELAT, datatype: float32}
# - {name: PMELONG, datatype: float32}
# - {name: PMELAT, datatype: float32}
# - {name: BINARY, datatype: string}
# - {name: A1, datatype: float32}
# - {name: TASC, datatype: float32}
# - {name: EPS1, datatype: float32}
# - {name: EPS2, datatype: float32}
# - {name: FB0, datatype: float32}
# - {name: FB1, datatype: float32}
# - {name: FB2, datatype: float32}
# - {name: UNITS, datatype: string}
# - {name: BINCOMP, datatype: string}
# - {name: S3000, datatype: float32}
# - {name: S4000, datatype: float32}
# - {name: S800, datatype: float32}
# - {name: S2000, datatype: float32}
# - {name: S900, datatype: float32}
# - {name: S1600, datatype: float32}
# - {name: DIST_A, datatype: float32}
# - {name: ECC, datatype: float32}
# - {name: PB, datatype: float32}
# - {name: PBDOT, datatype: float32}
# - {name: OM, datatype: float32}
# - {name: OMDOT, datatype: float32}
# - {name: T0, datatype: float32}
# - {name: M2, datatype: float32}
# - {name: S350, datatype: float32}
# - {name: DM1, datatype: float32}
# - {name: DM2, datatype: float32}
# - {name: S100, datatype: float32}
# - {name: S820, datatype: float32}
# - {name: S200, datatype: float32}
# - {name: S80, datatype: float32}
# - {name: S1284, datatype: float32}
# - {name: P2, datatype: float32}
# - {name: A1DOT, datatype: float32}
# - {name: S60, datatype: float32}
# - {name: S5000, datatype: float32}
# - {name: S40, datatype: float32}
# - {name: A1_2, datatype: float32}
# - {name: PB_2, datatype: float32}
# - {name: TASC_2, datatype: float32}
# - {name: EPS1_2, datatype: float32}
# - {name: EPS2_2, datatype: float32}
# - {name: SINI, datatype: float32}
# - {name: M2_2, datatype: float32}
# - {name: MASS_Q, datatype: float32}
# - {name: S2250, datatype: float32}
# - {name: S8600, datatype: float32}
# - {name: S700, datatype: float32}
# - {name: KOM, datatype: float32}
# - {name: KIN, datatype: float32}
# - {name: STIG, datatype: float32}
# - {name: H3, datatype: float32}
# - {name: H4, datatype: float32}
# - {name: GAMMA, datatype: float32}
# - {name: S1500, datatype: float32}
# - {name: S100G, datatype: float32}
# - {name: S150G, datatype: float32}
# - {name: OM_ASC, datatype: float32}
# - {name: DM3, datatype: float32}
# - {name: A1_3, datatype: float32}
# - {name: ECC_2, datatype: float32}
# - {name: ECC_3, datatype: float32}
# - {name: PB_3, datatype: float32}
# - {name: OM_2, datatype: float32}
# - {name: OM_3, datatype: float32}
# - {name: T0_2, datatype: float32}
# - {name: T0_3, datatype: float32}
# - {name: SINI_2, datatype: float32}
# - {name: SINI_3, datatype: float32}
# - {name: M2_3, datatype: float32}
# - {name: A12DOT, datatype: float32}
# - {name: OM2DOT, datatype: float32}
# - {name: S430, datatype: float32}
# - {name: S1380, datatype: float32}
# - {name: S35, datatype: float32}
# - {name: S64, datatype: float32}
# - {name: S79, datatype: float32}
# - {name: S6000, datatype: float32}
# - {name: FB3, datatype: float32}
# - {name: FB4, datatype: float32}
# - {name: 'WARNING:', datatype: string}
# - {name: FB5, datatype: float32}
# - {name: FB6, datatype: float32}
# - {name: F4, datatype: float32}
# - {name: F5, datatype: float32}
# - {name: S8000, datatype: float32}
# - {name: S9000, datatype: float32}
# - {name: S1283, datatype: float32}
# - {name: PBDOT_2, datatype: float32}
# - {name: PBDOT_3, datatype: float32}
# - {name: DM4, datatype: float32}
# - {name: DM5, datatype: float32}
# - {name: ECCDOT, datatype: float32}
# - {name: DTHETA, datatype: float32}
# - {name: FB7, datatype: float32}
# - {name: FB8, datatype: float32}
# schema: astropy-2.0
PSRJ RAJ DECJ POSEPOCH PMRA PMDEC DM F0 PEPOCH F1 PX S1400 DIST_DM DIST_DM1 TYPE ASSOC SURVEY P0 P1 RM S400 S150 W50 W10 SPINDX FRACL FRACV FRACAV MAGINC IMPANG PASWING F2 F3 NGLT DIST_AMX DIST_AMN S300 DMEPOCH EPHEM CLK PSRB S50 S600 TAU_SC ELONG ELAT PMELONG PMELAT BINARY A1 TASC EPS1 EPS2 FB0 FB1 FB2 UNITS BINCOMP S3000 S4000 S800 S2000 S900 S1600 DIST_A ECC PB PBDOT OM OMDOT T0 M2 S350 DM1 DM2 S100 S820 S200 S80 S1284 P2 A1DOT S60 S5000 S40 A1_2 PB_2 TASC_2 EPS1_2 EPS2_2 SINI M2_2 MASS_Q S2250 S8600 S700 KOM KIN STIG H3 H4 GAMMA S1500 S100G S150G OM_ASC DM3 A1_3 ECC_2 ECC_3 PB_3 OM_2 OM_3 T0_2 T0_3 SINI_2 SINI_3 M2_3 A12DOT OM2DOT S430 S1380 S35 S64 S79 S6000 FB3 FB4 WARNING: FB5 FB6 F4 F5 S8000 S9000 S1283 PBDOT_2 PBDOT_3 DM4 DM5 ECCDOT DTHETA FB7 FB8
J0002+6216 00:02:58.17 +62:16:09.4 55806.0 32.5 -13.7 218.6 8.668248 55806.0 -4.48354e-13 0.6 0.022 6.357 7.892 HE[wcp+18] GRS:4FGL_J0002.8+621 FermiBlind "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J0006+1834 00:06:04.8 +18:34:59 "" "" "" 11.4 "" 49079.5 "" "" "" 0.859 0.66 "" "" ar4,fast_gpps 0.6937477 2.097e-15 -19.4 0.2 7.0 40.0 195.0 -3.3 1.0 -0.07 0.07 9.3 32.8 82.2 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J0007+7303 00:07:01.7 +73:03:07.4 "" "" "" "" 3.1658273 54952.0 -3.612e-12 "" "" "" "" NRAD[aab+22] GRS:4FGL_J0007.0+730 FermiBlind "" "" "" "" "" "" "" "" "" "" "" "" "" "" 4.1e-23 5.4e-30 1.0 1.7 1.1 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J0011+08 00:11:34 +08:10 "" "" "" 24.9 "" 57022.0 "" "" "" 5.399 1.272 "" "" ar327,fast_gpps 2.55287 "" -17.0 "" "" 1.8 7.4 "" 0.4 -0.06 0.06 "" "" "" "" "" "" "" "" 0.13 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J0012+5431 00:12:23.3 +54:31:40 59128.0 "" "" 131.3 0.33054566 59128.0 -1.4e-17 "" "" 5.427 5.729 RRAT[dcm+23] "" chime "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 59128.0 DE440 TT(BIPM2019) "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J0014+4746 00:14:17.75 47:46:33.4 49664.0 19.3 -19.7 30.405 0.80599725 49664.0 -3.6669e-16 "" 3.0 1.776 1.545 "" "" gb1,gb2,gb3,lotaas "" "" -15.56 14.0 31.0 88.7 142.5 -1.0 "" "" "" "" "" "" 7.3e-28 "" "" "" "" "" 56773.0 "" "" B0011+47 43.0 9.0 2.5e-07 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J0021-0909 00:21:51.47 -09:09:58.7 "" "" "" 25.2 0.43212768 58388.0 -1.94e-16 "" 0.134 25.0 1.253 "" "" fast_crafts "" "" -15.0 "" "" 23.8 42.7 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J0023+0923 "" "" 56845.0 "" "" 14.3 327.84702 56845.0 -1.227834e-15 0.55 0.73 1.244 0.686 HE GRS:4FGL_J0023.4+092 FermiAssoc,fast_gpps "" "" -6.0 2.9 "" 23.1 85.6 -1.4 0.25 0.02 0.07 "" "" "" "" "" "" "" 1.0 "" "" DE436 TT(BIPM2017) "" "" "" 3.6e-08 9.070391 6.3091083 -13.86 -0.7 ELL1 0.03484136 56845.04 6.4e-06 -3e-06 8.338722e-05 -3e-21 7.8e-28 TDB UL[hrm+11] "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J0024-7204C 00:23:50.3546 -72:04:31.5048 51600.0 5.25 -2.55 24.5909 173.70822 51600.0 1.50421e-15 0.232 0.52 2.593 1.052 "" GC:47Tuc(NGC104),XRS pksgc "" "" 27.3 1.53 "" 0.664 1.18 "" "" "" "" "" "" "" 1.3e-27 "" "" "" "" "" 59606.0 DE421 UTC(NIST) B0021-72C "" 1.54 "" "" "" "" "" "" "" "" "" "" "" "" "" TDB "" 0.06 0.06 1.44 0.23 1.02 0.53 4.52 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J0024-7204D 00:24:13.88092 -72:04:43.8524 51600.0 5.25 -2.55 24.7412 186.65167 51600.0 1.1922e-16 0.232 0.35 2.63 1.059 "" GC:47Tuc(NGC104),XRS pksgc "" "" 26.0 0.95 "" 0.303 0.476 "" "" "" "" "" "" "" -1.2e-27 "" "" "" "" "" 59606.0 DE421 UTC(NIST) B0021-72D "" 0.55 "" "" "" "" "" "" "" "" "" "" "" "" "" TDB "" 0.05 0.02 1.06 0.2 1.8 0.3 4.52 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
