# %ECSV 1.0
# ---
# datatype:
# - name: _r
#   unit: ''
#   datatype: float64
#   format: '{:7.4f}'
#   description: Distance from center (339.84991355000+59.00460428000)[ICRS], at Epoch=J2016.0
#   meta: !!omap
#   - {ucd: POS_ANG_DIST_GENERAL}
#   - {width: 7}
#   - {precision: '4'}
# - name: Source
#   datatype: int64
#   description: Source identifier, identical to the Gaia-EDR3 source_id (id)
#   meta: !!omap
#   - {ucd: ID_MAIN}
#   - {width: 19}
# - name: RA_ICRS
#   unit: deg
#   datatype: float64
#   format: '{:15.11f}'
#   description: Barycentric right ascension (ICRS) at Ep=2016.0 (ra)
#   meta: !!omap
#   - {ucd: POS_EQ_RA_MAIN}
#   - {width: 15}
#   - {precision: '11'}
# - name: DE_ICRS
#   unit: deg
#   datatype: float64
#   format: '{:15.11f}'
#   description: Barycentric declination (ICRS) at Ep=2016.0 (dec)
#   meta: !!omap
#   - {ucd: POS_EQ_DEC_MAIN}
#   - {width: 15}
#   - {precision: '11'}
# - name: rgeo
#   unit: pc
#   datatype: float64
#   format: '{:15.8f}'
#   description: '? Median of the geometric distance posterior (r_med_geo)'
#   meta: !!omap
#   - {ucd: PHYS_DISTANCE_TRUE}
#   - {width: 15}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: b_rgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 16th percentile of the geometric distance posterior (r_lo_geo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: B_rgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 84th percentile of the geometric distance posterior (r_hi_geo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:15.8f}'
#   description: '? Median of the photogeometric distance posterior (r_med_photogeo)'
#   meta: !!omap
#   - {ucd: PHYS_DISTANCE_TRUE}
#   - {width: 15}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: b_rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 16th percentile of the photogeometric distance posterior (r_lo_photogeo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: B_rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 84th percentile of the photogeometric distance posterior (r_hi_photogeo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: Flag
#   datatype: int32
#   description: Flag (flag) (1)
#   meta: !!omap
#   - {ucd: CODE_MISC}
#   - {width: 5}
# meta: !!omap
# - {ID: I_352_gedr3dis}
# - {description: Estimating distances from parallaxes (1467744818 sources)}
# - {name: I/352/gedr3dis}
# schema: astropy-2.0
_r Source RA_ICRS DE_ICRS rgeo b_rgeo B_rgeo rpgeo b_rpgeo B_rpgeo Flag
0.1428 2008383298101195648 339.85209556637 59.00250623513 2343.69507 2023.15747 2774.23853 2081.80615 1870.45386 2435.6106 10033
0.1925 2008383298102841216 339.85476224923 59.00259065757 2501.01709 1991.77625 3268.44873 2501.10986 2068.03711 2939.02881 10033
0.2214 2008383302396663296 339.8478778677 59.00814200382 2628.89526 1888.50891 3604.15747 2240.06323 1762.59302 2802.70483 10033
0.2402 2008383302396655488 339.8439203263 59.00715291679 2630.22485 2393.19263 2940.37549 2635.70264 2377.01367 2960.78564 10033
0.2851 2008383302404812544 339.84074866849 59.0051493493 2604.80005 2466.69116 2720.19312 2602.28687 2451.73096 2719.60327 10033
0.3302 2008383302396651264 339.84102354496 59.00765982643 2738.44067 2475.84814 3047.75464 2697.94849 2512.24512 2978.68091 10033
0.3534 2008383302404810880 339.84610156878 59.01015714201 2960.58398 2675.10107 3193.39697 2808.72192 2583.43433 3079.23608 10033
0.383 2008383233685341696 339.85938558863 59.00048640062 2916.03638 2479.88525 3524.28125 2779.40454 2370.01538 3258.09814 10033
0.3836 2008384779873564032 339.85983016055 59.00845000045 2623.4231 2502.20532 2719.62866 2614.45361 2497.98804 2733.50293 10033
0.4108 2008383302396650240 339.83774510356 59.0073651907 2920.82642 2580.84058 3549.01392 "" "" "" 10099
0.4462 2008384775573219072 339.8627195551 59.00804036223 2383.58081 1679.052 3446.20288 2397.23828 1637.79724 3839.85205 10033
0.4618 2008430237808846848 339.83694211349 59.0084268158 2941.10645 2748.78345 3152.45605 2912.36279 2773.04297 3065.31323 10033
0.5387 2008383302396666496 339.8357831985 58.99934437347 2605.07202 1498.0365 3884.57642 1367.67773 1148.42444 4967.41113 10033
0.5456 2008383302404816640 339.84235402874 58.99638611971 2635.45435 2460.71118 2804.33057 2609.32593 2476.97339 2765.34058 10033
0.5668 2008383229381570176 339.84873994 58.99517775029 2839.39624 2325.16772 3922.58423 2468.83252 2111.39404 2951.64307 10033
0.5796 2008430233501492608 339.8314950941 59.00643294158 2819.80103 2711.16553 2953.69116 2778.56177 2660.74048 2878.16943 10033
0.5868 2008383233685343488 339.85551757415 58.99525908589 2960.59155 2577.8833 3516.52856 2679.45142 2399.58154 3078.65601 10033
0.6146 2008384779873564160 339.86590073968 59.01069960562 2957.05151 2557.86914 3448.42041 2786.18066 2418.2207 3202.28149 10033
0.6492 2008430237808846464 339.8483138741 59.01539206608 2872.26343 2664.16724 3106.97095 2762.22974 2572.66772 2933.65112 10033
0.6503 2008383233685344512 339.86091688669 58.99536617272 2712.96948 2396.92847 3118.50732 2619.37842 2417.78613 2855.88818 10033
0.6539 2008430237805803008 339.84683605196 59.01538650371 2277.39331 1201.96643 3407.16162 8825.3418 7471.5293 10872.585 20033
0.6552 2008384779865422336 339.8685536827 59.00981322048 2500.57251 1321.05933 3614.11963 1498.83264 1267.25378 1667.72583 10033
0.6583 2008384779873563520 339.8653417977 59.01217223201 2202.49316 1967.68726 2441.99365 2210.11157 1950.18616 2564.68335 10033
