pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.0624	 0.3024	 0.096 	 1864.951	  280.489	  475.923	1.282	14	 ---	 40.51265099029	0.0318	 57.65860052742	0.0319	 457884921541622528	  0.4757 	0.0446	  0.017	0.088	 -1.18 	0.08 	0	     7902.2 	      4.2372 	15.944 	0.0006	     3324.3  	      11.852   	16.5471	0.0039	      6805.5 	     14.3     	15.1798	0.0023	 1.3674	   --- 	 --- 	4982.5 	---   	---   	  1.66	    1.529	  0.3  	ASCC_9
 0.2657	 0.087 	-0.1116	 1421.825	  214.233	  595.191	1.283	14	 ---	 40.59514353558	0.0353	 57.48257371831	0.0363	 457870868409604608	  0.3552 	0.0482	 -0.434	0.103	 -1.671	0.103	0	     7036.5 	      4.9489 	16.07  	0.0008	     2869.7  	      13.395   	16.7068	0.0051	      6157.1 	     10.345   	15.2885	0.0018	 1.4183	   --- 	 --- 	4438.0 	---   	---   	  2.88	    2.902	  0.2  	ASCC_9
 0.1662	 0.2877	 0.0499	 1227.211	  116.319	  394.374	1.327	14	 ---	 40.6110319388 	0.0492	 57.56753794782	0.0505	 457871761761910144	  0.4531 	0.0695	 -0.067	0.133	 -1.218	0.126	0	     3501.8 	      2.8535 	16.8276	0.0009	     1194.0  	      10.265   	17.6588	0.0093	      3454.0 	      8.7582  	15.9161	0.0028	 1.7427	   --- 	 --- 	4192.67	---   	---   	  --- 	    ---  	  0.2  	ASCC_9
 0.2643	 0.1396	 0.0317	 1161.554	  136.787	  245.957	1.328	13	 ---	 40.81609757495	0.0576	 57.38306933227	0.0654	 457866058046248960	  0.3749 	0.0852	  1.048	0.176	 -0.71 	0.169	0	     2924.6 	      2.5178 	17.0232	0.0009	      979.5  	       7.1608  	17.8739	0.0079	      2903.4 	     11.805   	16.1046	0.0044	 1.7692	   --- 	 --- 	4096.0 	---   	---   	  --- 	    ---  	  0.1  	ASCC_9
 0.2673	 0.0448	-0.0166	  980.824	   82.478	  222.584	1.281	14	 ---	 40.67421706112	0.0687	 57.38419542412	0.0805	 457865126032902784	  0.3489 	0.0981	 -0.664	0.204	 -1.079	0.207	0	     2179.5 	      2.2221 	17.3425	0.0011	      918.98 	      11.142   	17.9431	0.0132	      1872.9 	      8.4142  	16.5806	0.0049	 1.3625	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	ASCC_9
 0.1825	 0.0344	-0.0638	  801.065	   90.44 	  196.205	1.339	14	 ---	 40.84055755289	0.0953	 57.39443159835	0.1025	 457865881947153664	  0.4835 	0.1324	 -0.617	0.284	 -0.464	0.268	0	     1326.5 	      1.6559 	17.8816	0.0014	      388.37 	       4.2943  	18.8783	0.012 	      1387.4 	      7.0711  	16.9064	0.0055	 1.9718	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	ASCC_9
 0.2306	-0.218 	-0.1313	 1130.036	   99.77 	  452.437	1.333	13	 ---	 40.74809848611	0.0477	 57.30869954421	0.0544	 457863785999937792	  0.3833 	0.0725	  0.192	0.174	 -0.844	0.143	1	     3560.8 	      3.1511 	16.8095	0.001 	     1136.2  	      11.388   	17.7128	0.0109	      3611.0 	      7.9812  	15.8679	0.0024	 1.8449	   --- 	 --- 	3953.0 	2.4365	1.279 	  --- 	    ---  	  0.1  	ASCC_9
 0.0726	-0.034 	 0.0822	  547.59 	   52.001	  140.126	1.307	13	 ---	 40.56408758948	0.1097	 57.48897539395	0.1106	 457871040207506560	  0.4815 	0.1458	 -0.034	0.376	 -1.006	0.257	0	     1247.5 	      2.2783 	17.9482	0.002 	      405.46 	       7.7971  	18.8315	0.0209	      1224.8 	      8.7407  	17.0418	0.0077	 1.7898	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	ASCC_9
 0.3092	 0.0569	-0.1648	 2423.253	  335.54 	  602.889	1.254	13	 ---	 40.63604149087	0.0266	 57.4310803936 	0.0294	 457869700178763392	  0.3392 	0.0396	 -0.242	0.077	 -0.94 	0.084	0	    16247.0 	      6.7044 	15.1615	0.0004	     7816.3  	      23.295   	15.6189	0.0032	     12549.0 	     20.814   	14.5154	0.0018	 1.1035	   --- 	 --- 	5033.64	---   	---   	  3.25	    6.113	  0.2  	ASCC_9
