pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.0372	 0.362 	 0.0492	  809.767	   66.218	  123.044	1.398	15	 ---	133.33841549799	0.0762	-41.20862605344	0.0932	5524723570806593408	  0.9831 	0.1166	 -5.562	0.162	  4.293	0.165	0	     1659.8 	      2.0497 	17.6382	0.0013	      560.13 	       8.4589  	18.4807	0.0164	      1760.3 	     14.306   	16.648 	0.0088	 1.8327	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	Alessi_43
 0.0832	 0.2183	-0.142 	 1344.58 	   50.466	   77.289	1.427	16	 ---	133.14520615298	0.0346	-41.2424524315 	0.0376	5524725357513347584	  1.0205 	0.0452	 -5.695	0.073	  3.844	0.069	0	     8361.3 	      6.2185 	15.8827	0.0008	     3617.7  	      71.686   	16.4553	0.0215	      8316.2 	    107.6     	14.9621	0.014 	 1.4932	   --- 	 --- 	4508.75	---   	---   	  1.04	    0.406	  0.9  	Alessi_43
 0.0654	 0.1536	-0.1515	 2538.0  	  344.332	  626.188	1.269	16	 ---	132.9382102712 	0.0244	-41.05120417178	0.0298	5524743568180142848	  0.8759 	0.0333	 -6.009	0.055	  3.876	0.06 	0	    10990.0 	      4.33   	15.5859	0.0004	     4710.7  	      13.681   	16.1687	0.0032	      9231.9 	     14.743   	14.8487	0.0017	 1.32  	   --- 	 --- 	4923.16	---   	---   	  1.1 	    0.636	  0.5  	Alessi_43
 0.0634	 0.1664	-0.1443	  309.909	   33.522	   79.352	1.563	17	 ---	132.03966130494	0.0773	-41.80694797565	0.1027	5524979172901734144	  1.1099 	0.1119	 -5.562	0.168	  3.851	0.183	0	     1337.2 	      4.3147 	17.8729	0.0035	      303.89 	       9.0655  	19.1446	0.0324	      1785.5 	     22.501   	16.6325	0.0137	 2.5121	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	Alessi_43
 0.1494	 0.201 	-0.116 	  478.439	  120.593	  263.905	1.426	16	 ---	131.96187219377	0.1219	-41.74555275145	0.1284	5524983257412663168	  1.2153 	0.1506	 -6.285	0.261	  3.698	0.247	0	     6520.8 	     13.629  	16.1526	0.0023	     1841.1  	      15.267   	17.1887	0.009 	      7457.6 	     28.259   	15.0804	0.0041	 2.1083	   --- 	 --- 	3742.75	2.765 	1.4255	  1.4 	    0.346	  0.6  	Alessi_43
 0.1344	 0.0662	-0.2285	  826.288	  113.34 	  269.673	1.379	15	 ---	132.10549082848	0.0372	-41.82315814145	0.0551	5524978279548874880	  1.0518 	0.056 	 -5.854	0.08 	  3.752	0.096	0	     4284.3 	      5.185  	16.6087	0.0013	     1287.4  	      11.359   	17.5771	0.0096	      4621.4 	     17.137   	15.6   	0.004 	 1.9771	   --- 	 --- 	4293.33	2.2743	1.136 	  0.84	    0.215	  0.9  	Alessi_43
 0.0359	 0.1332	-0.0498	 5495.248	  757.98 	 1102.084	1.237	16	 ---	131.93866617646	0.0129	-41.73592178746	0.0153	5524982059119761536	  1.0001 	0.0168	 -6.051	0.027	  3.792	0.029	0	    77966.0 	     14.188  	13.4586	0.0002	    38345.0  	      50.588   	13.8921	0.0014	     58074.0 	     52.695   	12.852 	0.001 	 1.0401	   --- 	 --- 	5170.67	1.871 	0.9217	  2.26	    3.289	  0.8  	Alessi_43
 0.0714	 0.2155	-0.0125	  862.306	  123.917	  446.96 	1.337	16	 ---	131.82005607066	0.0663	-41.51757389582	0.0824	5525001025695100800	  0.9034 	0.0898	 -6.216	0.148	  3.632	0.159	0	     4619.6 	      5.3572 	16.5269	0.0013	     1511.9  	      12.201   	17.4026	0.0088	      4662.4 	     10.431   	15.5904	0.0024	 1.8122	   --- 	 --- 	3934.0 	---   	---   	  1.34	    0.389	  0.2  	Alessi_43
 0.1607	 0.1097	-0.1618	 4008.213	  564.756	  744.268	1.273	16	 ---	131.79009005142	0.0193	-41.49196878841	0.0215	5525001266213270400	  1.0808 	0.0248	 -5.127	0.043	  4.601	0.043	0	    42185.0 	     10.525  	14.1255	0.0003	    17994.0  	      31.862   	14.7135	0.0019	     35701.0 	     47.968   	13.3802	0.0015	 1.3333	   --- 	 --- 	4682.67	---   	---   	  1.99	    1.714	  0.1  	Alessi_43
