# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Sat Jul 20 00:22:02 UTC 2024
# isochrones based on PARSEC release v2.0 
# Basic references: Costa et al. 2019a,2019b for the code, Nguyen et al. 2020 for the tracks.
# Rotating tracks computed with omega_i=0.00, except for lower masses (see paper)
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.912, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z  Teff0 omega angvel vtaneq angmom Rpol Req  mbolmag  G_fSBmag  G_BP_fSBmag  G_RP_fSBmag G_fSB G_f0 G_fk G_i00 G_i05 G_i10 G_i15 G_i20 G_i25 G_i30 G_i35 G_i40 G_i45 G_i50 G_i55 G_i60 G_i65 G_i70 G_i75 G_i80 G_i85 G_i90 G_BP_fSB G_BP_f0 G_BP_fk G_BP_i00 G_BP_i05 G_BP_i10 G_BP_i15 G_BP_i20 G_BP_i25 G_BP_i30 G_BP_i35 G_BP_i40 G_BP_i45 G_BP_i50 G_BP_i55 G_BP_i60 G_BP_i65 G_BP_i70 G_BP_i75 G_BP_i80 G_BP_i85 G_BP_i90 G_RP_fSB G_RP_f0 G_RP_fk G_RP_i00 G_RP_i05 G_RP_i10 G_RP_i15 G_RP_i20 G_RP_i25 G_RP_i30 G_RP_i35 G_RP_i40 G_RP_i45 G_RP_i50 G_RP_i55 G_RP_i60 G_RP_i65 G_RP_i70 G_RP_i75 G_RP_i80 G_RP_i85 G_RP_i90
0.013159 -0.05100 6.76300 0.0900000036 1.0816895926    0.090 -1.861  3.4069  3.833    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.03e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2552          0          0          0          0      0.602      0.602 9.424 12.228 15.040 10.589 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 12.228 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 15.040 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589 10.589
0.013159 -0.05100 6.76300 0.0915648341 1.0965127545    0.092 -1.853  3.4078  3.836    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.09e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2557          0          0          0          0      0.606      0.606 9.402 12.207 15.018 10.567 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 15.018 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567 10.567
0.013159 -0.05100 6.76300 0.0935592055 1.1149343917    0.094 -1.842  3.4089  3.839    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.15e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2564          0          0          0          0     0.6106     0.6106 9.376 12.181 14.993 10.541 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 12.181 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 14.993 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541 10.541
0.013159 -0.05100 6.76300 0.0967594460 1.1434522417    0.097 -1.826  3.4106  3.844    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.27e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2574          0          0          0          0     0.6174     0.6174 9.334 12.135 14.943 10.496 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 12.135 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 14.943 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496 10.496
0.013159 -0.05100 6.76300 0.1000000015 1.1711064122    0.100 -1.810  3.4122  3.848    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.38e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2583          0          0          0          0     0.6235     0.6235 9.294 12.083 14.880 10.447 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 12.083 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 14.880 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447 10.447
0.013159 -0.05100 6.76300 0.1021077931 1.1884760977    0.102 -1.799  3.4134  3.851    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.47e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2591          0          0          0          0     0.6289     0.6289 9.267 12.047 14.833 10.412 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 12.047 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 14.833 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412 10.412
0.013159 -0.05100 6.76300 0.1049343348 1.2110505967    0.105 -1.785  3.4150  3.855    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.57e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2600          0          0          0          0     0.6356     0.6356 9.232 12.000 14.775 10.368 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 12.000 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 14.775 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368 10.368
0.013159 -0.05100 6.76300 0.1079238653 1.2340823457    0.108 -1.769  3.4166  3.859    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -7.7e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2610          0          0          0          0     0.6424     0.6424 9.194 11.950 14.712 10.321 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 11.950 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 14.712 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321 10.321
0.013159 -0.05100 6.76300 0.1110894531 1.2575833610    0.111 -1.754  3.4181  3.863    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.83e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2619          0          0          0          0     0.6489     0.6489 9.156 11.902 14.652 10.275 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 11.902 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 14.652 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275 10.275
0.013159 -0.05100 6.76300 0.1144450903 1.2815631111    0.114 -1.739  3.4197  3.866    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.96e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2629          0          0          0          0     0.6554     0.6554 9.117 11.851 14.589 10.227 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 11.851 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 14.589 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227 10.227
