pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1832	-0.086 	 0.0794	  606.608	  314.215	  240.305	1.219	 9	 ---	262.48808526729	0.0419	-32.60332681343	0.0343	4054714522044045696	  0.8258 	0.0407	  2.133	0.077	 -1.635	0.058	0	   124310.0 	    204.92   	12.9521	0.0018	    69872.0  	     222.37    	13.2406	0.0035	     81669.0 	    339.85    	12.4818	0.0045	 0.7588	   --- 	 --- 	5750.5 	---   	---   	  2.71	    7.21 	  0.8  	Antalova_2
 0.0332	-0.1129	 0.0323	  323.79 	   16.813	   52.188	1.571	 9	 ---	262.48789959057	0.1737	-32.60448603017	0.1399	4054714526339697024	  0.9525 	0.1679	  1.415	0.322	 -1.292	0.244	0	     1648.2 	      5.0904 	17.6458	0.0034	      519.89 	      30.921   	18.5616	0.0646	      2069.6 	     39.657   	16.4722	0.0208	 2.0894	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Antalova_2
 0.1707	-0.0765	 0.2277	  758.291	   97.129	  238.619	1.334	11	 ---	262.55438584016	0.048 	-32.57621240905	0.0381	4054714835587906944	  1.0286 	0.0501	  1.858	0.098	 -1.128	0.07 	0	     9294.1 	     12.257  	15.7678	0.0014	     3152.9  	      32.461   	16.6046	0.0112	      9248.4 	     38.758   	14.8468	0.0046	 1.7579	   --- 	 --- 	4032.0 	---   	---   	  1.54	    0.568	  0.4  	Antalova_2
 0.2826	-0.0826	 0.1042	  251.922	   19.146	   84.467	1.442	11	 ---	262.58715032494	0.1151	-32.61170020316	0.0899	4054713770425140736	  0.8    	0.1047	  1.981	0.226	 -1.6  	0.159	0	     2379.5 	      9.4452 	17.2472	0.0043	      612.92 	      32.013   	18.3829	0.0567	      2817.4 	     33.355   	16.1373	0.0129	 2.2456	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	Antalova_2
 0.2898	-0.088 	 0.085 	  504.825	   27.013	   72.891	1.576	11	 ---	262.60851801181	0.1667	-32.50824099079	0.1295	4054716931535176576	  0.8667 	0.147 	  1.83 	0.324	 -1.547	0.222	0	     1417.1 	      2.8071 	17.8099	0.0022	      256.39 	       9.4913  	19.3291	0.0402	      1976.6 	     27.118   	16.5221	0.0149	 2.807 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	Antalova_2
 0.0317	-0.115 	 0.2207	  556.97 	  119.244	  158.257	1.312	10	 ---	262.42457007366	0.0459	-32.6501814245 	0.0348	4054708444679800192	  0.7907 	0.0485	  2.145	0.085	 -1.407	0.061	0	    14017.0 	     25.166  	15.3218	0.0019	     5000.4  	      41.934   	16.1039	0.0091	     13392.0 	     84.619   	14.4448	0.0069	 1.659 	   --- 	 --- 	4279.64	---   	---   	  2.04	    1.256	  0.6  	Antalova_2
 0.1799	-0.1711	 0.0907	  450.322	   29.654	   41.031	1.504	 8	 ---	262.46758894529	0.1028	-32.63957860586	0.0837	4054714178447476608	  0.8686 	0.1042	  2.266	0.2  	 -1.576	0.149	0	     4075.1 	      9.0493 	16.663 	0.0024	     1263.0  	      42.593   	17.5979	0.0366	      4867.8 	    118.64    	15.5436	0.0265	 2.0543	   --- 	 --- 	3792.0 	---   	---   	  1.48	    0.409	  0.9  	Antalova_2
 0.3713	-0.1936	 0.0232	  305.876	   24.933	  118.246	1.404	10	 ---	262.52241024639	0.1347	-32.5532029053 	0.1036	4054715144828789504	  0.8842 	0.1071	  1.837	0.244	 -1.611	0.165	0	     2401.2 	      7.8503 	17.2373	0.0035	      641.27 	      25.72    	18.3338	0.0435	      2729.2 	     23.08    	16.1718	0.0092	 2.1619	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	Antalova_2
-0.3878	-0.1023	 0.0806	 2944.747	  365.833	  542.86 	1.204	 8	 ---	262.47186678206	0.069 	-32.59297844623	0.0599	4054714595072975360	  0.8817 	0.0595	  1.755	0.11 	 -1.937	0.086	0	   213680.0 	     72.565  	12.3639	0.0004	   124590.0  	     340.56    	12.6127	0.003 	    132630.0 	    244.31    	11.9553	0.002 	 0.6574	   --- 	 --- 	6460.67	---   	---   	  2.6 	   10.635	  1.0  	Antalova_2
