pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0355	-0.0669	 0.017 	  125.021	   26.197	   55.304	1.493	11	 ---	352.44306100245	0.1084	 49.13314757566	0.0837	1942137035332495104	  2.4763 	0.1224	 -0.685	0.29 	 -2.076	0.166	1	     4449.1 	     35.587  	16.5677	0.0087	     1365.5  	      52.125   	17.5131	0.0414	      5275.7 	     95.394   	15.4562	0.0196	 2.0569	   --- 	 --- 	3754.0 	---   	---   	  0.56	    0.056	  0.8  	Aveni_Hunter_1
-0.2705	-0.1563	-0.0294	  813.873	   42.971	  172.846	1.573	18	 ---	352.30008684743	0.0599	 49.05539840677	0.0532	1942134978045837952	  2.1259 	0.0849	 -0.659	0.131	 -1.735	0.111	0	     2386.4 	      2.9321 	17.244 	0.0013	      386.07 	       8.9845  	18.8847	0.0253	      3367.1 	     19.48    	15.9438	0.0063	 2.9409	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	Aveni_Hunter_1
-0.2682	-0.2587	 0.0613	  924.118	  161.674	  382.689	1.412	17	 ---	352.51470540404	0.0321	 49.2036875668 	0.0295	1942140613042897664	  2.3744 	0.0495	 -0.48 	0.073	 -1.975	0.059	0	    11379.0 	     12.314  	15.5481	0.0012	     2782.4  	      17.21    	16.7404	0.0067	     13290.0 	     34.729   	14.4531	0.0028	 2.2873	   --- 	 --- 	3483.0 	---   	---   	  1.2 	    0.191	  1.0  	Aveni_Hunter_1
-0.1495	-0.3092	 0.1587	  766.23 	   24.452	  225.219	1.559	19	 ---	355.64251584655	0.0855	 47.94636074438	0.0804	1940098472054121088	  2.4086 	0.1476	  0.19 	0.208	 -2.281	0.166	0	     1200.8 	      1.5672 	17.9897	0.0014	      199.69 	       8.1668  	19.6005	0.0444	      1671.9 	      7.4233  	16.7039	0.0048	 2.8966	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	Aveni_Hunter_1
-0.1945	-0.0025	-0.0462	  348.103	   31.635	   92.361	1.604	17	 ---	354.56535006185	0.0772	 47.72832467313	0.0702	1940053666955407488	  2.4017 	0.114 	  0.22 	0.183	 -2.427	0.152	0	     1597.7 	      4.5896 	17.6797	0.0031	      217.66 	       6.8803  	19.5069	0.0343	      2344.3 	     25.382   	16.3369	0.0118	 3.1701	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	Aveni_Hunter_1
-0.0334	-0.2015	 0.1377	 1040.842	   40.793	  285.045	1.539	19	 ---	355.74621746946	0.0692	 47.64388978412	0.0663	1940075897705597568	  2.476  	0.1157	  0.211	0.175	 -2.921	0.133	0	     1859.8 	      1.7868 	17.5147	0.001 	      301.56 	       7.3923  	19.153 	0.0266	      2560.2 	      8.9817  	16.2412	0.0038	 2.9117	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	Aveni_Hunter_1
-0.3553	-0.0032	-0.0492	  849.942	  125.637	  330.19 	1.395	18	 ---	354.73800381942	0.0256	 47.7544398921 	0.0261	1940051781467754752	  2.4146 	0.0406	  0.215	0.06 	 -2.568	0.058	0	    10786.0 	     12.691  	15.6062	0.0013	     2801.1  	      22.295   	16.7331	0.0086	     12251.0 	     37.102   	14.5415	0.0033	 2.1915	   --- 	 --- 	3797.0 	---   	---   	  0.86	    0.14 	  1.0  	Aveni_Hunter_1
-0.2983	-0.1239	 0.019 	 1087.259	   60.022	  302.873	1.524	17	 ---	354.66795325673	0.0531	 47.57367763282	0.0499	1940037689676208512	  2.3173 	0.0863	  0.15 	0.14 	 -2.826	0.111	0	     2771.8 	      2.5493 	17.0815	0.001 	      474.18 	       7.9001  	18.6615	0.0181	      3750.9 	     12.385   	15.8266	0.0036	 2.835 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	Aveni_Hunter_1
-0.4088	-0.1802	 0.0501	 3018.258	 1384.651	 1613.293	1.159	17	 ---	354.52024037255	0.0258	 47.38771562027	0.0261	1940031230047955968	  2.3047 	0.0433	  0.168	0.065	 -2.633	0.058	1	  1824100.0 	    604.37   	10.0357	0.0004	  1281100.0  	     925.19    	10.0825	0.0008	    833740.0 	    516.79    	 9.9593	0.0007	 0.1231	   --- 	 --- 	9040.75	0.2057	0.098 	  --- 	    ---  	  1.0  	Aveni_Hunter_1
