pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1498	 0.0498	 0.0088	 1489.05 	  159.766	  333.627	1.312	12	 ---	104.31789457969	0.0367	 -8.09812527462	0.0407	3051059490512862464	  0.4755 	0.0462	 -1.615	0.089	  0.988	0.088	0	     8671.7 	      5.8236 	15.8431	0.0007	     3525.5  	      22.067   	16.4833	0.0068	      7852.9 	     23.538   	15.0243	0.0033	 1.459 	   --- 	 --- 	4376.3 	---   	---   	  2.49	    2.051	  0.5  	BDSB93
-0.4482	 0.0461	 0.24  	  102.868	   21.247	   29.921	1.532	11	 ---	104.27719793491	0.0613	 -8.19401214899	0.0735	3051056977951162624	  0.8189 	0.083 	 -2.38 	0.153	  0.985	0.189	0	    18066.0 	    175.63   	15.0462	0.0106	     5341.4  	     251.4     	16.0323	0.0511	     22333.0 	    746.4     	13.8895	0.0363	 2.1427	   --- 	 --- 	3635.0 	---   	---   	  3.81	    2.277	  1.0  	BDSB93
-0.354 	 0.0734	 0.1894	  824.239	   89.672	  251.761	1.37 	11	 ---	104.20233827451	0.0891	 -8.24887433968	0.0996	3051050797499074560	  0.4745 	0.112 	 -2.695	0.208	  0.797	0.246	0	     1784.0 	      2.1644 	17.5599	0.0013	      669.71 	       7.4684  	18.2867	0.0121	      1774.4 	      7.0481  	16.6393	0.0043	 1.6474	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	BDSB93
-0.2269	 0.1435	 0.1259	 2187.359	  613.936	  928.409	1.224	11	 ---	104.19858618182	0.0275	 -8.24720746189	0.0317	3051050866218551808	  0.7351 	0.035 	 -2.831	0.062	  0.607	0.076	0	   424460.0 	    194.05   	11.6188	0.0005	   220720.0  	     359.51    	11.9918	0.0018	    298630.0 	    321.66    	11.0741	0.0012	 0.9177	   --- 	 --- 	5424.0 	---   	---   	  6.4 	   31.982	  1.0  	BDSB93
-0.3632	-0.01  	 0.2354	 2983.864	  255.537	 1048.887	1.436	11	 ---	104.21711859801	0.0322	 -8.17551903318	0.0368	3051058047403865728	  0.3792 	0.0429	 -1.783	0.081	  0.259	0.098	0	    61682.0 	     20.672  	13.713 	0.0004	    13223.0  	      51.746   	15.0481	0.0042	     75332.0 	     71.821   	12.5695	0.001 	 2.4786	   --- 	 --- 	3426.5 	2.1483	1.0815	 18.52	   42.581	  0.5  	BDSB93
-0.3663	 0.0197	 0.2236	 1189.681	   65.042	   56.813	1.504	11	 ---	104.29446580158	0.0461	 -8.16598666961	0.053 	3051057566367523328	  0.6593 	0.061 	 -2.563	0.114	  0.923	0.137	0	     5494.1 	      4.6181 	16.3386	0.0009	     2095.6  	      32.22    	17.0481	0.0167	      6165.2 	    108.52    	15.2871	0.0191	 1.761 	   --- 	 --- 	4280.0 	---   	---   	  1.53	    0.708	  1.0  	BDSB93
-0.3571	 0.0101	 0.2196	  829.643	    ---  	    ---  	---  	11	 ---	104.29390533678	0.0549	 -8.16596380914	0.0627	3051057566367523456	  0.734  	0.072 	 -2.722	0.136	  1.083	0.163	0	     3968.9 	      4.7839 	16.6917	0.0013	        ---  	       ---     	 ---   	---   	         --- 	      ---     	 ---   	---   	 ---   	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	BDSB93
-0.2403	 0.1228	 0.0742	  497.215	   67.094	  202.043	1.486	12	 ---	104.30108736949	0.0767	 -8.16368795556	0.0851	3051057497648046080	  0.9157 	0.0958	 -2.07 	0.181	  1.365	0.183	0	     2634.0 	      5.2976 	17.1368	0.0022	      672.1  	      10.017   	18.2828	0.0162	      3240.9 	     16.04    	15.9853	0.0054	 2.2975	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	BDSB93
-0.2003	 0.1776	 0.0245	 1836.687	  269.433	  795.941	1.382	11	 ---	104.30911876517	0.0319	 -8.17155244516	0.0368	3051057497648046208	  0.7392 	0.0423	 -2.318	0.072	  1.362	0.073	0	    14822.0 	      8.0701 	15.2611	0.0006	     6525.2  	      24.218   	15.8149	0.004 	     13960.0 	     17.539   	14.3997	0.0014	 1.4152	   --- 	 --- 	4460.0 	---   	---   	  1.98	    1.398	  1.0  	BDSB93
