pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0888	 0.1155	 0.1851	  602.237	   66.667	  124.016	1.438	15	 ---	132.35685486096	0.0829	-44.37165474617	0.0954	5523705556183402240	  0.3389 	0.111 	 -4.969	0.184	  5.355	0.207	0	     1620.5 	      2.6908 	17.6642	0.0018	      434.96 	       6.5244  	18.7553	0.0163	      1894.9 	     15.28    	16.5679	0.0088	 2.1873	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	BH_54
 0.0811	 0.2774	-0.0602	 1484.825	  192.637	  454.737	1.369	16	 ---	132.48223235395	0.0255	-44.32273406883	0.031 	5523707415907857408	  0.4777 	0.0335	 -4.626	0.055	  5.252	0.058	0	    10467.0 	      7.0492 	15.6388	0.0007	     3101.4  	      16.1     	16.6225	0.0056	     11232.0 	     24.699   	14.6358	0.0024	 1.9867	   --- 	 --- 	3712.67	---   	---   	  4.63	    3.67 	  0.5  	BH_54
 0.0866	 0.2387	-0.017 	 2122.512	  430.702	 1062.959	1.28 	15	 ---	132.46201759412	0.0228	-44.28632252306	0.0283	5523707690785760384	  0.407  	0.029 	 -4.839	0.049	  5.309	0.055	0	   541790.0 	    255.26   	11.3538	0.0005	   217300.0  	     504.53    	12.0087	0.0025	    476190.0 	    447.98    	10.5675	0.001 	 1.4413	   --- 	 --- 	4425.52	0.353 	0.1447	 22.25	  171.039	  0.9  	BH_54
-0.1169	 0.2476	 0.1515	  545.386	  140.381	  154.496	1.256	15	 ---	132.48409441705	0.022 	-44.37808085482	0.0269	5523704044354843392	  0.455  	0.0291	 -4.611	0.045	  5.266	0.053	0	   141710.0 	    259.83   	12.8099	0.002 	    62966.0  	     448.54    	13.3536	0.0077	    115070.0 	    744.8     	12.1095	0.007 	 1.2441	   --- 	 --- 	4871.0 	---   	---   	  7.79	   30.774	  0.8  	BH_54
-0.0736	 0.1793	 0.1658	 1788.776	  184.185	  506.061	1.342	15	 ---	132.41817725455	0.0311	-44.40129988326	0.0363	5523703769476986112	  0.4457 	0.0408	 -4.876	0.065	  5.74 	0.076	0	     8072.7 	      4.513  	15.9208	0.0006	     2951.6  	      16.025   	16.6762	0.0059	      7885.0 	     15.581   	15.0199	0.0021	 1.6563	   --- 	 --- 	4201.0 	---   	---   	  2.91	    2.373	  0.8  	BH_54
-0.0748	 0.1697	 0.1633	  829.049	   67.97 	  148.818	1.403	15	 ---	132.36308048523	0.07  	-44.44734417708	0.0856	5523702120208559232	  0.3798 	0.0906	 -4.603	0.148	  5.518	0.173	0	     1896.3 	      2.2873 	17.4936	0.0013	      540.65 	       7.9542  	18.5191	0.016 	      2120.6 	     14.249   	16.4458	0.0073	 2.0733	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	BH_54
-0.076 	 0.2251	 0.1393	 3896.747	  337.462	  812.239	1.27 	15	 ---	132.42560157504	0.0178	-44.3667944867 	0.0207	5523706866152068608	  0.432  	0.0231	 -4.789	0.036	  5.231	0.042	1	    29238.0 	      7.5032 	14.5235	0.0003	    12726.0  	      37.709   	15.0897	0.0032	     24410.0 	     30.053   	13.793 	0.0013	 1.2967	   --- 	 --- 	4894.75	---   	---   	  3.68	    7.0  	  1.0  	BH_54
 0.0178	 0.3904	-0.0025	 2943.476	  408.63 	  849.092	1.306	16	 ---	132.60280355833	0.0194	-44.35701046087	0.023 	5523709133894758528	  0.4722 	0.0262	 -5.745	0.041	  4.927	0.042	0	    19869.0 	      6.7502 	14.9429	0.0004	     7440.1  	      18.207   	15.6724	0.0027	     18511.0 	     21.801   	14.0933	0.0013	 1.5791	   --- 	 --- 	4417.0 	---   	---   	  3.69	    4.677	  0.2  	BH_54
 0.1748	 0.2146	-0.0755	 1836.247	  151.695	  416.039	1.405	16	 ---	132.50739292029	0.0307	-44.27890190369	0.0348	5523713325782842112	  0.4579 	0.0383	 -4.762	0.071	  5.235	0.066	0	     9500.2 	      5.1737 	15.744 	0.0006	     2471.3  	      16.291   	16.8691	0.0072	     10876.0 	     26.141   	14.6708	0.0026	 2.1983	   --- 	 --- 	4025.49	2.2708	1.122 	  3.53	    2.943	  1.0  	BH_54
