pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.0848	-0.0276	-0.0253	  893.043	   74.318	  195.142	1.298	15	 ---	313.33542609098	0.0849	 46.33349259629	0.1071	2163412650910771968	  0.5323 	0.1001	 -2.949	0.19 	 -4.632	0.215	0	     1475.3 	      1.652  	17.7662	0.0012	      591.0  	       7.9524  	18.4224	0.0146	      1324.5 	      6.7874  	16.9568	0.0056	 1.4656	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Barkhatova_1
 0.0442	-0.0805	-0.0235	 4070.073	  894.025	 1093.053	1.213	16	 ---	313.25597570389	0.0161	 46.23728874061	0.0175	2163405989434951040	  0.4989 	0.0193	 -2.462	0.034	 -4.425	0.035	0	    34715.0 	      8.5292 	14.3371	0.0003	    19429.0  	      21.732   	14.6303	0.0012	     22680.0 	     20.749   	13.8728	0.001 	 0.7574	   --- 	 --- 	6583.84	---   	---   	  --- 	    ---  	  1.0  	Barkhatova_1
 0.0668	 0.0814	 0.0649	 1433.095	   73.283	  115.851	1.357	15	 ---	313.54069569969	0.047 	 46.33360768531	0.0505	2163410387481781248	  0.4585 	0.0579	 -2.476	0.107	 -3.906	0.11 	0	     4065.7 	      2.837  	16.6655	0.0008	     1822.8  	      24.873   	17.1996	0.0148	      3695.0 	     31.894   	15.8429	0.0094	 1.3567	   --- 	 --- 	4669.13	---   	---   	  1.47	    0.922	  0.1  	Barkhatova_1
 0.0874	-0.0697	-0.0309	 1138.487	   99.239	  252.631	1.311	15	 ---	313.46213375242	0.0622	 46.21617895207	0.0642	2163407982299946752	  0.3799 	0.0682	 -2.555	0.131	 -4.505	0.124	0	     2493.6 	      2.1902 	17.1963	0.001 	      997.88 	      10.055   	17.8537	0.0109	      2272.2 	      8.994   	16.3708	0.0043	 1.4829	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	Barkhatova_1
-0.0694	-0.0661	-0.0966	  773.996	   71.706	  141.912	1.325	16	 ---	313.46415595279	0.0883	 46.32949805901	0.0988	2163409734646669952	  0.4872 	0.1026	 -3.058	0.195	 -4.465	0.198	0	     1344.8 	      1.7375 	17.8667	0.0014	      537.46 	       7.4954  	18.5255	0.0151	      1244.2 	      8.7673  	17.0247	0.0077	 1.5008	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Barkhatova_1
 0.0059	-0.0301	 0.0022	 1469.217	  119.91 	  333.017	1.304	16	 ---	313.42510148922	0.0524	 46.28043848521	0.058 	2163409184890790656	  0.4172 	0.0623	 -2.167	0.114	 -4.931	0.112	0	     3017.6 	      2.0539 	16.9892	0.0007	     1166.9  	       9.7318  	17.6838	0.0091	      2769.0 	      8.3149  	16.1561	0.0033	 1.5277	   --- 	 --- 	4590.14	---   	---   	  --- 	    ---  	  0.3  	Barkhatova_1
 0.0679	 0.0058	-0.03  	 1580.251	  152.734	  279.16 	1.303	15	 ---	313.22597484643	0.0423	 46.16662188721	0.0443	2163404134009548928	  0.3965 	0.0475	 -2.485	0.091	 -4.613	0.089	0	     5736.6 	      3.6302 	16.2917	0.0007	     2527.1  	      16.546   	16.8448	0.0071	      4950.4 	     17.733   	15.5253	0.0039	 1.3195	   --- 	 --- 	4750.29	---   	---   	  1.92	    1.696	  0.3  	Barkhatova_1
 0.0961	-0.0661	-0.0655	 1011.004	   65.884	  160.52 	1.306	15	 ---	313.45110539241	0.08  	 46.23567709707	0.0854	2163408184144537856	  0.3531 	0.0902	 -2.11 	0.177	 -4.166	0.171	0	     1604.6 	      1.5871 	17.6749	0.0011	      622.12 	       9.4427  	18.3667	0.0165	      1474.1 	      9.1835  	16.8406	0.0068	 1.5261	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	Barkhatova_1
 0.1149	 0.0443	-0.0094	  969.241	   58.759	  185.353	1.334	16	 ---	313.34427574883	0.0851	 46.29979927124	0.0944	2163412341673048704	  0.4783 	0.101 	 -2.227	0.195	 -4.179	0.186	0	     1602.1 	      1.6529 	17.6767	0.0011	      588.36 	      10.013   	18.4273	0.0185	      1549.0 	      8.3572  	16.7868	0.0059	 1.6405	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Barkhatova_1
