pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.3657	 0.1852	 0.3174	 1781.603	  234.937	  324.705	1.267	16	 ---	201.53342568228	0.0326	-62.37832866458	0.0368	5868260447035220864	  0.429  	0.0573	 -4.872	0.059	 -1.898	0.067	0	     5008.6 	      2.8113 	16.4391	0.0006	     2080.4  	       8.8553  	17.056 	0.0046	      4267.6 	     13.143   	15.6865	0.0033	 1.3695	   --- 	 --- 	5025.0 	1.89  	0.949 	  1.43	    1.18 	  0.1  	Basel_18
 0.3573	 0.2226	 0.4081	  721.104	   62.376	  115.238	1.3  	15	 ---	201.59632612641	0.09  	-62.42165251984	0.0951	5868259137022450944	  0.6908 	0.1457	 -5.361	0.144	 -2.151	0.162	1	     1361.5 	      1.8881 	17.8533	0.0015	      551.54 	       8.8423  	18.4974	0.0174	      1218.7 	     10.575   	17.0472	0.0094	 1.4503	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Basel_18
 0.3006	 0.1348	 0.3859	 1209.033	   88.846	   96.451	1.342	15	 ---	201.68556278199	0.07  	-62.46271243224	0.0736	5868255911520688768	  0.4177 	0.1065	 -5.228	0.118	 -2.332	0.13 	0	     2058.4 	      1.7025 	17.4045	0.0009	      899.6  	      10.125   	17.9663	0.0122	      1862.3 	     19.308   	16.5868	0.0113	 1.3795	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Basel_18
 0.0941	 0.0377	 0.3801	 1072.9  	   68.492	  167.494	1.364	15	 ---	201.53271724324	0.0845	-62.27964274314	0.0925	5868308683765714432	  0.4702 	0.1316	 -4.973	0.149	 -1.756	0.162	0	     1671.0 	      1.5575 	17.6309	0.001 	      539.75 	       7.8806  	18.5209	0.0159	      1738.8 	     10.381   	16.6613	0.0065	 1.8596	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Basel_18
 0.2205	 0.083 	 0.2621	  877.648	   11.69 	  134.773	1.871	16	 ---	201.76032834881	0.0943	-62.25819413524	0.1021	5868355069410177152	  0.4709 	0.1495	 -5.21 	0.167	 -1.754	0.178	0	     1490.4 	      1.6982 	17.7551	0.0012	       91.363	       7.8154  	20.4495	0.0929	      2697.2 	     20.013   	16.1846	0.0081	 4.2648	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Basel_18
 0.5242	 0.0224	 0.079 	 3244.354	  479.746	  591.851	1.213	15	 ---	201.94092214761	0.0196	-62.32382796019	0.0219	5868352256256201856	  0.5704 	0.0301	 -5.072	0.036	 -1.682	0.04 	0	    34625.0 	     10.672  	14.3399	0.0003	    19353.0  	      40.341   	14.6345	0.0023	     22654.0 	     38.276   	13.8741	0.0018	 0.7604	   --- 	 --- 	5945.0 	1.389 	0.6527	  1.92	    4.166	  0.3  	Basel_18
 0.3292	 0.1765	 0.3493	  592.999	   73.553	  154.369	1.343	15	 ---	201.95604900531	0.0697	-62.30555342186	0.072 	5868352324975511552	  0.6739 	0.1045	 -5.012	0.12 	 -1.921	0.124	0	     1948.5 	      3.2858 	17.4641	0.0018	      709.49 	       9.6459  	18.224 	0.0148	      1907.4 	     12.356   	16.5608	0.007 	 1.6632	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	Basel_18
 0.2132	 0.0673	 0.2929	 1064.557	   95.491	  188.146	1.356	16	 ---	201.70241206764	0.0618	-62.33298221173	0.066 	5868354279136003072	  0.394  	0.0946	 -5.319	0.109	 -1.874	0.115	0	     1865.4 	      1.7523 	17.5114	0.001 	      608.73 	       6.3747  	18.3903	0.0114	      1920.3 	     10.206   	16.5535	0.0058	 1.8368	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Basel_18
 0.4444	 0.1152	 0.2433	 3216.991	  334.463	  534.396	1.242	18	 ---	202.16362107099	0.0252	-62.32059679864	0.0238	5868351569061246976	  0.5475 	0.0354	 -5.059	0.044	 -2.088	0.044	0	    11914.0 	      3.7034 	15.4983	0.0003	     6009.9  	      17.969   	15.9042	0.0032	      8783.0 	     16.435   	14.9028	0.002 	 1.0014	   --- 	 --- 	5177.12	---   	---   	  1.61	    1.676	  1.0  	Basel_18
