# %ECSV 1.0
# ---
# datatype:
# - name: _r
#   unit: ''
#   datatype: float64
#   format: '{:7.4f}'
#   description: Distance from center (098.55820660000+08.03809416000)[ICRS], at Epoch=J2016.0
#   meta: !!omap
#   - {ucd: POS_ANG_DIST_GENERAL}
#   - {width: 7}
#   - {precision: '4'}
# - name: Source
#   datatype: int64
#   description: Source identifier, identical to the Gaia-EDR3 source_id (id)
#   meta: !!omap
#   - {ucd: ID_MAIN}
#   - {width: 19}
# - name: RA_ICRS
#   unit: deg
#   datatype: float64
#   format: '{:15.11f}'
#   description: Barycentric right ascension (ICRS) at Ep=2016.0 (ra)
#   meta: !!omap
#   - {ucd: POS_EQ_RA_MAIN}
#   - {width: 15}
#   - {precision: '11'}
# - name: DE_ICRS
#   unit: deg
#   datatype: float64
#   format: '{:15.11f}'
#   description: Barycentric declination (ICRS) at Ep=2016.0 (dec)
#   meta: !!omap
#   - {ucd: POS_EQ_DEC_MAIN}
#   - {width: 15}
#   - {precision: '11'}
# - name: rgeo
#   unit: pc
#   datatype: float64
#   format: '{:15.8f}'
#   description: '? Median of the geometric distance posterior (r_med_geo)'
#   meta: !!omap
#   - {ucd: PHYS_DISTANCE_TRUE}
#   - {width: 15}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: b_rgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 16th percentile of the geometric distance posterior (r_lo_geo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: B_rgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 84th percentile of the geometric distance posterior (r_hi_geo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:15.8f}'
#   description: '? Median of the photogeometric distance posterior (r_med_photogeo)'
#   meta: !!omap
#   - {ucd: PHYS_DISTANCE_TRUE}
#   - {width: 15}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: b_rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 16th percentile of the photogeometric distance posterior (r_lo_photogeo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: B_rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 84th percentile of the photogeometric distance posterior (r_hi_photogeo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: Flag
#   datatype: int32
#   description: Flag (flag) (1)
#   meta: !!omap
#   - {ucd: CODE_MISC}
#   - {width: 5}
# meta: {ID: I_352_gedr3dis, description: Estimating distances from parallaxes (1467744818 sources), name: I/352/gedr3dis}
# schema: astropy-2.0
_r Source RA_ICRS DE_ICRS rgeo b_rgeo B_rgeo rpgeo b_rpgeo B_rpgeo Flag
0.3805 3326027209509797760 98.55355901642 8.03373002445 1726.91687 1227.07642 2844.02832 2235.02686 1848.86475 2919.73535 10033
0.4653 3326024258869415808 98.56063148913 8.03072091003 1425.68506 1304.93701 1569.96667 1447.6095 1306.37061 1605.89819 10033
0.9448 3326027316886127360 98.54684275189 8.04911078481 1167.77234 1065.57837 1266.96973 1182.6073 1083.20312 1298.26819 10033
1.0682 3326024224509673472 98.57266091282 8.02750585555 1591.79358 1108.54834 3045.83643 1924.4801 1630.1698 2385.34595 10033
1.6365 3326024155790212864 98.54280659793 8.01548029419 1360.12134 1318.00342 1400.75793 1342.07202 1298.6925 1384.14697 10033
1.6892 3326027694843236992 98.5568772276 8.0662167035 1257.70776 1224.49524 1293.32593 1253.11816 1223.4198 1280.49158 10033
1.7288 3326024185852779264 98.57533538804 8.01480164812 1520.57129 1250.58191 1908.70923 2086.84302 1708.84143 2668.31689 10033
1.8016 3326027690546222848 98.5613464505 8.06795862174 1679.21753 1519.92517 1821.44971 1672.64111 1504.73535 1889.47412 10033
1.8691 3326024117132373632 98.54082660573 8.01212878661 1445.86487 1405.83179 1494.29736 1423.55859 1373.78198 1463.09424 10033
2.0481 3326024087070736896 98.5546565823 8.00414144331 1258.45044 1128.12708 1381.63464 1255.48303 1160.12915 1422.48779 10033
2.1181 3326027660483491200 98.57919544529 8.06662986784 1539.49854 1321.61328 1813.57471 1760.38147 1519.9259 2068.70361 10033
2.1702 3326024602466779904 98.59450673374 8.04213885051 1349.28442 1303.14172 1390.06104 1348.47522 1306.91211 1400.8927 10033
2.2194 3326027931064391296 98.55791406085 8.07508381292 1692.23401 1624.33301 1771.44763 1716.79529 1640.44409 1792.27478 10033
2.5343 3326027140790311040 98.51657827504 8.02887603277 1488.32825 1352.47559 1674.13977 1608.401 1426.22424 1842.82324 10033
2.553 3326027488684822016 98.52417155977 8.06407248144 1288.43958 1243.48389 1339.48035 1273.17102 1224.09583 1310.32996 10033
2.5716 3326023842255409792 98.55775505865 7.99523578122 1478.01929 1340.41541 1599.98547 1534.80005 1391.1665 1759.69446 10033
2.592 3326023876615099136 98.57312676306 7.99749850552 1414.08472 1303.77209 1517.41504 1432.38904 1330.55225 1575.09851 10033
2.6339 3326027832282177792 98.5786271972 8.07705875534 1510.21643 1414.53503 1608.35986 1509.23193 1415.37097 1609.54675 10033
2.7064 3326024048419166208 98.55037863265 7.99365934224 1715.38049 1549.27185 1926.06409 1738.05676 1610.74976 1881.97339 10033
2.7874 3326027931064410496 98.5607089138 8.08448446149 1429.4624 1386.40283 1487.87305 1443.26807 1396.55383 1492.70349 10033
2.8102 3326027759264634624 98.58702824606 8.07523408692 1257.52917 1232.83325 1298.68018 1264.45007 1236.26294 1292.72168 10033
2.9507 3326027931064413056 98.56529213019 8.08676968438 1723.8374 1454.76343 2227.09424 1814.59668 1552.5957 2288.28467 10033
2.9569 3326024396308352768 98.60568844715 8.02332224122 1666.27734 1598.39551 1749.23462 1652.92578 1582.81836 1739.8479 10033
2.9783 3326027763562696192 98.59117328464 8.07548987802 1614.33484 929.054443 2824.9082 777.089783 641.952759 1401.52258 10033
3.004 3326024392011240576 98.60770404019 8.02787284571 1733.33875 1659.56714 1805.73962 1741.52429 1674.13562 1812.55078 10033
3.0462 3326021200849339648 98.51241688678 8.0152514743 1321.37659 766.921082 3118.56592 1171.91248 1014.51233 1299.58984 10033
3.0501 3326027346948756352 98.50710604962 8.03319818852 1640.98779 1434.93823 1885.93872 1803.4552 1571.25232 2286.22339 10033
3.0686 3326023807906146816 98.57781044304 7.9907788408 1576.46326 1477.56787 1677.04968 1582.18555 1497.41199 1679.02429 10033
3.0701 3326023842254469120 98.55031962528 7.98752507297 1409.47327 1354.19275 1463.96838 1424.59253 1367.87073 1477.43018 10033
3.1069 3326023807897189248 98.5794744738 7.99078808694 1308.95129 1085.99329 1555.4043 1678.04639 1466.06396 1979.43042 10033
3.1098 3326027832282173696 98.57820165544 8.08599396814 1477.14636 1381.58472 1591.00281 1551.81702 1413.50671 1721.87402 10033
3.2078 3326018177195756160 98.53126202171 7.99176367216 1250.79919 1189.88477 1311.44666 1219.06738 1155.40234 1294.71118 10033
3.2931 3326024739905722368 98.61186867287 8.05185043508 1507.94763 1460.66235 1551.74194 1493.48218 1448.25916 1545.08398 10033
3.3187 3326021200852732928 98.50997363054 8.01019520973 1613.69751 1472.4342 1750.453 1605.84863 1445.59766 1780.60083 10033
3.3272 3326027351246882304 98.50248155272 8.03257772789 1304.81067 1200.89917 1425.61267 1333.79065 1255.52844 1458.42322 10033
3.3454 3326027763562692736 98.59847898472 8.07706634567 1299.53088 1038.52368 1667.49292 1425.81885 1234.61609 1644.97168 10033
3.435 3326028313318543104 98.51292019762 8.07368816304 1712.75537 1506.77197 2062.21973 1635.75696 1423.13098 1864.56787 10033
3.4737 3326027793625439488 98.60174559183 8.07673801628 1653.974 1275.54578 2123.89136 1377.33948 1226.58215 1591.35498 10033
3.5064 3326021265275029504 98.50197740046 8.02033928367 1737.42273 852.996948 2970.46411 2001.36182 1774.26538 2305.71411 10033
3.5242 3326018177196738176 98.52871748668 7.98713117661 1275.20972 1192.60889 1363.09485 1301.00024 1218.6488 1400.11377 10033
3.5814 3326024426370984320 98.61817660254 8.03203706626 1548.11609 1007.13483 3441.29883 1369.83264 1188.69397 1581.50061 10033
3.629 3326028721339168512 98.5244870373 8.08852851945 1740.73621 1006.39673 3068.60156 1081.41357 934.592834 1314.53052 10033
3.6292 3326028343381263360 98.51545708412 8.08130443911 1336.18591 1158.56628 1556.21521 1275.25623 1171.3269 1444.82654 10033
3.6559 3326028068503384192 98.57783819315 8.09584322708 1633.38708 1341.15637 2069.89258 1418.29163 1245.66541 1687.84875 10033
3.7323 3326018142836022784 98.53055641963 7.98223990614 1573.15173 1485.2522 1654.32751 1582.80908 1475.15808 1679.54651 10033
3.7488 3326017971033943552 98.53941671094 7.9784492567 1487.51135 582.66394 2629.51367 6136.85791 3655.84839 9110.81152 10033
3.7682 3326023056278579200 98.59293876478 7.98554589491 1444.67053 1371.98608 1511.43298 1421.98486 1356.32178 1515.17798 10033
4.0299 3326023571674636416 98.6175611158 8.00558590969 1582.35339 1488.60315 1757.0293 1651.60498 1522.97107 1769.44922 10033
4.0701 3326024774265451136 98.62169596194 8.06358263706 1586.73486 1444.80566 1750.72717 1591.61121 1471.64246 1752.61597 10033
4.2799 3326017867958116224 98.54506484758 7.96795995515 1599.95264 1440.76367 1796.69348 1641.0686 1491.96094 1816.8075 10033
4.3792 3326017902317849856 98.5595295897 7.96511887598 1472.63354 1305.57019 1695.67456 1469.38733 1285.39624 1695.68298 10033
4.4095 3326023086341089792 98.6120342055 7.98749820943 1550.39441 1334.04553 1821.98633 1804.11316 1534.64563 2108.25195 10033
4.4336 3326021230915268352 98.48952312144 8.0092011385 1735.93054 1063.85718 3213.37988 2206.59106 1879.55286 2996.05249 10033
4.4736 3326024465027814528 98.63342266799 8.03457232372 1480.80823 1242.30066 1868.95801 "" "" "" 10099
4.4776 3326028412100777216 98.51034023147 8.0957411412 1199.34021 1136.99536 1270.99072 1223.51929 1164.32996 1288.57629 10033
4.5195 3326028863070879744 98.54405671976 8.11210442018 1686.57898 1613.63354 1772.67224 1654.73145 1585.5675 1737.75598 10033
4.6326 3326029339824035328 98.60453559123 8.10020132348 1477.88892 1069.43933 2438.99683 1230.17822 1069.58447 1366.01025 10033
4.6329 3326017867959700480 98.55187792856 7.96113414833 1563.52417 559.580078 3464.46753 2150.7356 1851.67078 2568.90698 11033
4.6368 3326021059116537984 98.49523283599 7.99244719619 1478.87036 1083.50024 2133.58618 2013.73901 1686.30786 2460.23901 10033
4.6532 3326021063413797632 98.49896632389 7.98736621103 1561.79346 1495.11694 1641.94604 1567.10303 1476.97937 1644.53979 10033
4.7019 3326028175879616256 98.47991490921 8.04956098629 1452.00476 1423.29114 1486.77441 1442.35791 1407.44592 1483.27234 10033
4.7112 3326023601737231744 98.63456211617 8.01690633008 1422.46521 1121.51941 1837.24561 1535.14636 1281.18494 2079.19214 10033
4.7436 3326024460730725888 98.63787894845 8.03290950202 1332.22595 1090.35608 1850.54871 1180.78381 1044.34717 1304.31726 10033
4.7953 3326028824417660160 98.52397387541 8.11047368189 1216.95557 1156.76245 1297.51575 1242.02576 1174.52087 1318.33215 10033
4.8836 3326028274661762944 98.48225805902 8.06923897206 1340.23364 1162.81274 1532.4198 1298.07678 1131.45142 1501.69812 10033
4.8986 3326022983261829888 98.60024713595 7.96786220025 1301.16858 990.116211 1741.08948 1221.75732 1122.10962 1384.82446 10033
4.9066 3326023124998042496 98.62440636889 7.9892056522 1674.00464 1545.36829 1823.64612 1716.00415 1539.44299 1893.87976 10033
