pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.0233	-0.0296	-0.0753	  931.028	   44.846	  109.958	1.388	17	 ---	305.11796586187	0.0722	 37.16815636647	0.0846	2060584502413122688	  0.4055 	0.0972	 -4.027	0.171	 -6.499	0.182	0	     1263.2 	      1.3567 	17.9347	0.0012	      430.04 	       9.5891  	18.7676	0.0242	      1323.0 	     12.032   	16.958 	0.0099	 1.8096	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Berkeley_87
 0.0528	-0.2455	-0.0354	 1284.3  	  142.919	  320.054	1.329	17	 ---	305.09190868966	0.0501	 37.21284846883	0.0571	2060585537519444992	  0.5925 	0.0685	 -3.34 	0.112	 -6.701	0.125	0	     2515.6 	      1.9588 	17.1867	0.0008	      845.51 	       5.916   	18.0336	0.0076	      2497.3 	      7.8029  	16.2682	0.0034	 1.7654	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Berkeley_87
-0.08  	-0.2948	-0.0326	 2406.797	  352.941	  684.477	1.357	17	 ---	305.7099667538 	0.0234	 37.48481818945	0.026 	2057988491042661376	  0.6186 	0.0314	 -4.18 	0.05 	 -6.502	0.045	0	   122010.0 	     50.695  	12.9723	0.0005	    36635.0  	     103.8     	13.9416	0.0031	    128880.0 	    188.29    	11.9864	0.0016	 1.9552	   --- 	 --- 	3929.57	1.4403	0.699 	 10.12	   22.004	  0.1  	Berkeley_87
-0.0945	-0.4563	 0.0771	 1724.496	  145.651	  442.378	1.389	15	 ---	305.48598570365	0.0311	 37.36136902471	0.0375	2057965504377370752	  0.5154 	0.0461	 -2.628	0.068	 -5.989	0.067	0	     8523.1 	      4.9423 	15.8619	0.0006	     2457.9  	      16.875   	16.875 	0.0075	      9381.8 	     21.208   	14.8312	0.0025	 2.0438	   --- 	 --- 	3671.0 	2.435 	1.1955	  4.02	    2.643	  0.2  	Berkeley_87
 0.0724	-0.1867	-0.1017	  425.394	    ---  	    ---  	---  	15	 ---	305.28629378059	0.1146	 37.11578061726	0.1244	2057953134871559040	  0.4905 	0.143 	 -3.341	0.261	 -6.055	0.229	0	     1216.3 	      2.8593 	17.9757	0.0026	        ---  	       ---     	 ---   	---   	         --- 	      ---     	 ---   	---   	 ---   	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Berkeley_87
-0.0492	-0.2043	 0.0057	 4489.485	  364.541	 1018.517	1.35 	15	 ---	305.40316984527	0.0121	 37.40913630412	0.0165	2057966737025926912	  0.5707 	0.0172	 -3.712	0.026	 -6.338	0.03 	0	    91344.0 	     20.346  	13.2867	0.0002	    28552.0  	      78.323   	14.2123	0.003 	     94749.0 	     93.027   	12.3205	0.0011	 1.8918	   --- 	 --- 	4094.0 	1.446 	0.7043	  8.3 	   17.431	  0.9  	Berkeley_87
 0.0162	-0.2002	 0.0609	  805.429	   22.661	  125.657	1.5  	16	 ---	305.76792208562	0.0957	 37.33003967715	0.1173	2057973986931258368	  0.5027 	0.1356	 -4.093	0.205	 -6.33 	0.232	0	     1312.3 	      1.6293 	17.8933	0.0013	      262.72 	      11.594   	19.3026	0.0479	      1706.0 	     13.577   	16.6819	0.0086	 2.6207	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Berkeley_87
-0.0699	-0.3104	 0.0113	 3147.111	  414.934	  995.285	1.328	15	 ---	305.44114912131	0.0201	 37.37376737703	0.0266	2057965637514300288	  0.59   	0.0283	 -3.743	0.042	 -6.241	0.047	0	   380020.0 	    120.75   	11.7388	0.0003	   123930.0  	     298.68    	12.6184	0.0026	    380650.0 	    382.46    	10.8106	0.0011	 1.8078	   --- 	 --- 	3937.5 	1.0053	0.529 	 18.6 	   74.925	  1.0  	Berkeley_87
-0.0993	-0.2865	 0.0161	 2491.742	  337.85 	  893.744	1.338	14	 ---	305.39629908948	0.0166	 37.37602783199	0.0175	2057966049831160320	  0.6342 	0.0209	 -3.679	0.035	 -6.185	0.031	0	    72850.0 	     29.237  	13.5323	0.0004	    23719.0  	      70.204   	14.4137	0.0032	     73752.0 	     82.52    	12.5925	0.0012	 1.8212	   --- 	 --- 	3924.25	1.294 	0.6513	  7.66	   12.544	  1.0  	Berkeley_87
