# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed Jun 19 07:51:11 UTC 2024
# isochrones based on PARSEC release v2.0 
# Basic references: Costa et al. 2019a,2019b for the code, Nguyen et al. 2020 for the tracks.
# Rotating tracks computed with omega_i=0.00, except for lower masses (see paper)
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=2.9, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z  Teff0 omega angvel vtaneq angmom Rpol Req  mbolmag  G_fSBmag  G_BP_fSBmag  G_RP_fSBmag G_fSB G_f0 G_fk G_i00 G_i05 G_i10 G_i15 G_i20 G_i25 G_i30 G_i35 G_i40 G_i45 G_i50 G_i55 G_i60 G_i65 G_i70 G_i75 G_i80 G_i85 G_i90 G_BP_fSB G_BP_f0 G_BP_fk G_BP_i00 G_BP_i05 G_BP_i10 G_BP_i15 G_BP_i20 G_BP_i25 G_BP_i30 G_BP_i35 G_BP_i40 G_BP_i45 G_BP_i50 G_BP_i55 G_BP_i60 G_BP_i65 G_BP_i70 G_BP_i75 G_BP_i80 G_BP_i85 G_BP_i90 G_RP_fSB G_RP_f0 G_RP_fk G_RP_i00 G_RP_i05 G_RP_i10 G_RP_i15 G_RP_i20 G_RP_i25 G_RP_i30 G_RP_i35 G_RP_i40 G_RP_i45 G_RP_i50 G_RP_i55 G_RP_i60 G_RP_i65 G_RP_i70 G_RP_i75 G_RP_i80 G_RP_i85 G_RP_i90
0.011816 -0.10000 7.10000 0.0900000036 1.0816895926    0.090 -2.110  3.4099  4.094    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.94e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2570          0          0          0          0     0.4458     0.4458 10.046 14.481 17.847 12.436 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 14.481 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 17.847 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436 12.436
0.011816 -0.10000 7.10000 0.0951238945 1.1290334054    0.095 -2.077  3.4134  4.099    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.07e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2590          0          0          0          0     0.4566     0.4566 9.963 14.375 17.712 12.336 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 17.712 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336
0.011816 -0.10000 7.10000 0.0997471064 1.1689904165    0.100 -2.048  3.4165  4.103    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.19e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2609          0          0          0          0     0.4649     0.4649 9.890 14.280 17.593 12.246 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 14.280 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 17.593 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246 12.246
0.011816 -0.10000 7.10000 0.0999999940 1.1711063499    0.100 -2.046  3.4166  4.103    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.2e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2610          0          0          0          0     0.4653     0.4653 9.886 14.275 17.586 12.241 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 14.275 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 17.586 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241 12.241
0.011816 -0.10000 7.10000 0.1018910930 1.1867119213    0.102 -2.035  3.4178  4.105    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.24e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2617          0          0          0          0     0.4693     0.4693 9.859 14.239 17.540 12.207 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 14.239 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 17.540 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207 12.207
0.011816 -0.10000 7.10000 0.1087383926 1.2402141626    0.109 -1.996  3.4220  4.110    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.41e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2643          0          0          0          0     0.4827     0.4827 9.760 14.097 17.345 12.075 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 14.097 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 17.345 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075 12.075
0.011816 -0.10000 7.10000 0.1160534546 1.2927349597    0.116 -1.955  3.4264  4.115    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.61e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2669          0          0          0          0     0.4951     0.4951 9.658 13.934 17.108 11.926 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 13.934 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 17.108 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926 11.926
0.011816 -0.10000 7.10000 0.1200000048 1.3193154741    0.120 -1.934  3.4287  4.117    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.71e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2683          0          0          0          0      0.501      0.501 9.604 13.848 16.985 11.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 13.848 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 16.985 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848 11.848
0.011816 -0.10000 7.10000 0.1215849295 1.3296722812    0.122 -1.926  3.4296  4.119    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.75e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2689          0          0          0          0     0.5039     0.5039 9.584 13.815 16.934 11.817 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 13.815 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 16.934 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817 11.817
0.011816 -0.10000 7.10000 0.1324874312 1.3964573056    0.132 -1.871  3.4358  4.126    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.05e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2728          0          0          0          0     0.5225     0.5225 9.446 13.599 16.631 11.620 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 13.599 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 16.631 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620 11.620
