# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Tue Jul  9 12:15:00 UTC 2024
# isochrones based on PARSEC release v2.0 
# Basic references: Costa et al. 2019a,2019b for the code, Nguyen et al. 2020 for the tracks.
# Rotating tracks computed with omega_i=0.00, except for lower masses (see paper)
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=3.1, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z  Teff0 omega angvel vtaneq angmom Rpol Req  mbolmag  G_fSBmag  G_BP_fSBmag  G_RP_fSBmag G_fSB G_f0 G_fk G_i00 G_i05 G_i10 G_i15 G_i20 G_i25 G_i30 G_i35 G_i40 G_i45 G_i50 G_i55 G_i60 G_i65 G_i70 G_i75 G_i80 G_i85 G_i90 G_BP_fSB G_BP_f0 G_BP_fk G_BP_i00 G_BP_i05 G_BP_i10 G_BP_i15 G_BP_i20 G_BP_i25 G_BP_i30 G_BP_i35 G_BP_i40 G_BP_i45 G_BP_i50 G_BP_i55 G_BP_i60 G_BP_i65 G_BP_i70 G_BP_i75 G_BP_i80 G_BP_i85 G_BP_i90 G_RP_fSB G_RP_f0 G_RP_fk G_RP_i00 G_RP_i05 G_RP_i10 G_RP_i15 G_RP_i20 G_RP_i25 G_RP_i30 G_RP_i35 G_RP_i40 G_RP_i45 G_RP_i50 G_RP_i55 G_RP_i60 G_RP_i65 G_RP_i70 G_RP_i75 G_RP_i80 G_RP_i85 G_RP_i90
0.011816 -0.10000 7.00000 0.0900000036 1.0816895926    0.090 -2.042  3.4083  4.019    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.77e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2560          0          0          0          0     0.4862     0.4862 9.874 14.472 17.863 12.390 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 14.472 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 17.863 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390 12.390
0.011816 -0.10000 7.00000 0.0936721414 1.1159622629    0.094 -2.018  3.4109  4.023    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.87e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2575          0          0          0          0     0.4944     0.4944 9.816 14.409 17.793 12.328 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 14.409 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 17.793 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328 12.328
0.011816 -0.10000 7.00000 0.0996335894 1.1680383400    0.100 -1.981  3.4146  4.028    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.06e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2598          0          0          0          0     0.5065     0.5065 9.723 14.290 17.644 12.215 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 14.290 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 17.644 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215 12.215
0.011816 -0.10000 7.00000 0.0999999940 1.1711063499    0.100 -1.979  3.4148  4.028    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.08e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2599          0          0          0          0     0.5072     0.5072 9.718 14.283 17.635 12.208 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 14.283 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 17.635 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208 12.208
0.011816 -0.10000 7.00000 0.1039064154 1.2029334537    0.104 -1.957  3.4173  4.033    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.18e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2614          0          0          0          0     0.5153     0.5153 9.663 14.211 17.544 12.141 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 14.211 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 17.544 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141 12.141
0.011816 -0.10000 7.00000 0.1104654223 1.2530200425    0.110 -1.922  3.4211  4.039    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.36e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2637          0          0          0          0      0.528      0.528 9.574 14.088 17.380 12.025 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 14.088 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 17.380 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025 12.025
0.011816 -0.10000 7.00000 0.1177879497 1.3045595443    0.118 -1.882  3.4252  4.044    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.6e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2662          0          0          0          0     0.5406     0.5406 9.476 13.933 17.156 11.883 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 13.933 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 17.156 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883 11.883
0.011816 -0.10000 7.00000 0.1200000048 1.3193154741    0.120 -1.871  3.4265  4.046    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2670          0          0          0          0     0.5443     0.5443 9.447 13.886 17.090 11.840 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 13.886 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 17.090 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840 11.840
0.011816 -0.10000 7.00000 0.1275969893 1.3674187692    0.128 -1.832  3.4309  4.052    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.91e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2697          0          0          0          0     0.5583     0.5583 9.351 13.730 16.862 11.698 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 13.730 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 16.862 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698
0.011816 -0.10000 7.00000 0.1390654743 1.4333900587    0.139 -1.777  3.4370  4.058    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.29e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2735          0          0          0          0     0.5774     0.5774 9.213 13.516 16.563 11.501 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 13.516 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 16.563 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501 11.501
0.011816 -0.10000 7.00000 0.1399999857 1.4384525915    0.140 -1.773  3.4375  4.059    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.33e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2738          0          0          0          0     0.5788     0.5788 9.203 13.499 16.539 11.486 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 13.499 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 16.539 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486 11.486
