TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	22 39 23.976	59 00 16.560	0.36114121	0.0173	0	0	0	-2.733	0.099	-1.884	0.099	Berkeley_97
1	22 39 07.865	59 04 15.129	0.38371979	0.0315	0	0	0	-3.951	0.035	-0.770	0.034	2008431406040225664
1	22 40 26.573	58 55 37.566	0.39844153	0.0235	0	0	0	-5.845	0.025	-4.092	0.027	2008379900791042048
1	22 38 57.863	58 50 09.627	0.38047675	0.0111	0	0	0	-4.228	0.012	-2.178	0.012	2008378212857607680
1	22 37 43.556	58 57 01.189	0.42281578	0.0452	0	0	0	-0.075	0.051	-2.012	0.046	2008409862483646080
1	22 39 07.709	58 52 00.696	0.46700218	0.0126	0	0	0	-5.181	0.014	-4.065	0.013	2008381309540033024
1	22 37 39.367	58 59 51.005	0.45744729	0.0151	0	0	0	-5.271	0.017	-4.514	0.016	2008410201776259968
1	22 38 15.588	58 59 36.417	0.34299842	0.0119	0	0	0	-4.332	0.013	-3.729	0.013	2008407491661705216
1	22 39 38.492	58 53 06.926	0.45486134	0.0105	0	0	0	-2.936	0.011	-5.070	0.011	2008378625176070272
1	22 39 58.681	59 14 51.638	0.45790663	0.0109	0	0	0	-5.817	0.011	-4.274	0.012	2008443049687284736
1	22 40 00.435	58 53 03.739	0.44042253	0.0117	0	0	0	-7.646	0.012	-4.079	0.012	2008379351034972928
1	22 38 45.753	58 55 46.990	0.46663146	0.0111	0	0	0	0.251	0.012	-1.163	0.012	2008382615210048384
1	22 40 15.768	58 47 32.393	0.47737776	0.0129	0	0	0	-3.400	0.014	-3.972	0.013	2008366225614969728
1	22 38 37.530	59 13 48.640	0.35779013	0.0195	0	0	0	-5.121	0.021	-2.355	0.022	2008448139232671872
1	22 40 46.188	59 12 11.510	0.48389639	0.0122	0	0	0	-6.296	0.013	-6.793	0.013	2008439171341125376
1	22 41 18.131	59 05 21.033	0.35405466	0.0129	0	0	0	-0.006	0.013	-0.333	0.014	2008387631732136960
1	22 41 04.109	59 05 16.830	0.40701266	0.0148	0	0	0	-1.993	0.015	0.027	0.016	2008390517950146944
1	22 38 35.856	59 07 23.721	0.41830420	0.0122	0	0	0	0.405	0.013	0.243	0.013	2008435632287730176
1	22 37 53.999	59 09 42.210	0.48952347	0.0131	0	0	0	0.808	0.013	-0.850	0.013	2008424740250271744
1	22 39 09.599	59 05 13.939	0.37518685	0.0132	0	0	0	-4.647	0.015	-2.334	0.013	2008431612198647680
1	22 39 33.537	58 49 36.864	0.44166277	0.0144	0	0	0	-6.081	0.015	-4.721	0.014	2008377598688320128
1	22 38 55.536	59 03 16.752	0.48592877	0.0137	0	0	0	-6.118	0.016	-4.308	0.014	2008431474759403904
1	22 41 13.536	58 56 21.913	0.45285534	0.0129	0	0	0	-5.944	0.014	-3.934	0.014	2008374059635553280
1	22 37 29.938	58 59 04.948	0.41416740	0.0161	0	0	0	-1.311	0.017	-1.298	0.015	2008410858916032768
1	22 40 05.661	58 53 21.800	0.40227375	0.0178	0	0	0	-4.631	0.019	-4.046	0.018	2008379351034975360
1	22 39 45.511	58 59 25.282	0.36349408	0.0149	0	0	0	-6.094	0.015	-3.118	0.015	2008383817801137152
1	22 40 56.365	58 52 05.115	0.36624515	0.0150	0	0	0	-4.801	0.017	-3.578	0.016	2008372616526560384
1	22 39 06.255	59 10 56.801	0.38647959	0.1690	0	0	0	-9.332	0.196	-6.003	0.196	2008437281555560192
1	22 39 19.039	59 03 27.605	0.34824007	0.0157	0	0	0	-4.105	0.017	-3.146	0.016	2008432058875274496
1	22 39 55.334	59 15 12.448	0.34759031	0.0166	0	0	0	-4.123	0.018	-3.798	0.017	2008443053991472896
