pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.086 	 0.1229	 0.2312	  151.835	   50.492	   66.416	3.408	16	 ---	161.73466597462	0.0967	-60.07499329944	0.1032	5350290719690890240	  0.2532 	0.1217	 -6.123	0.215	  1.732	0.204	0	     1440.0 	      9.4838 	17.7925	0.0072	     1742.8  	      34.517   	17.2483	0.0215	      3164.2 	     47.642   	16.0113	0.0163	 1.237 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	Bochum_11
 0.122 	 0.3516	 0.1568	 1258.308	  179.591	  265.741	1.635	17	 ---	161.88341285823	0.0313	-59.94950685547	0.0306	5350292682515547904	  0.4094 	0.0376	 -6.444	0.06 	  2.14 	0.058	0	     7932.7 	      6.3043 	15.9398	0.0009	     5545.2  	      30.877   	15.9916	0.006 	      7428.8 	     27.955   	15.0846	0.0041	 0.907 	   --- 	 --- 	5239.98	---   	---   	  --- 	    ---  	  0.3  	Bochum_11
-0.057 	 0.2114	 0.0785	 3135.977	  533.297	  641.546	1.379	17	 ---	161.63088024325	0.0199	-60.02664060791	0.0198	5350302818637579648	  0.3591 	0.0235	 -6.336	0.042	  1.829	0.038	0	    21354.0 	      6.8095 	14.8646	0.0003	    12397.0  	      23.245   	15.1181	0.002 	     17061.0 	     26.594   	14.1819	0.0017	 0.9363	   --- 	 --- 	5409.0 	---   	---   	  2.96	    6.755	  1.0  	Bochum_11
-0.1431	 0.1158	 0.2485	  130.675	   30.339	   22.185	2.332	16	 ---	161.65387738074	0.0544	-60.09333755061	0.0569	5350284985933957888	  0.3745 	0.0665	 -6.249	0.121	  1.689	0.114	0	     2967.1 	     22.706  	17.0075	0.0083	     2449.4  	      80.733   	16.8788	0.0358	      4470.6 	    201.51    	15.636 	0.0489	 1.2428	   --- 	 --- 	5095.63	---   	---   	  --- 	    ---  	  0.9  	Bochum_11
-0.1211	 0.1994	 0.2368	  680.143	   85.653	  162.858	2.332	18	 ---	162.04529962479	0.0926	-60.09555779867	0.0989	5350288456267334656	  0.4161 	0.1233	 -6.525	0.196	  1.645	0.177	0	     1308.3 	      1.9236 	17.8966	0.0016	     1185.8  	      13.844   	17.6664	0.0127	      1865.6 	     11.456   	16.5848	0.0067	 1.0815	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	Bochum_11
-0.1166	 0.3157	 0.0994	 2553.927	  316.474	  478.28 	1.486	16	 ---	161.65032470826	0.0248	-60.03031609972	0.0225	5350302784277843200	  0.3402 	0.0296	 -6.552	0.051	  1.816	0.043	0	    21796.0 	      8.5342 	14.8424	0.0004	     7262.9  	      22.95    	15.6986	0.0034	     25116.0 	     52.513   	13.7621	0.0023	 1.9366	   --- 	 --- 	3942.85	---   	---   	  7.69	   12.88 	  0.3  	Bochum_11
 0.1821	 0.2116	 0.1321	 3644.962	  657.6  	  998.513	1.238	14	 ---	161.66359501599	0.0155	-60.13699286564	0.0228	5350284470537881344	  0.4167 	0.0204	 -6.376	0.033	  1.491	0.041	0	    77896.0 	     21.371  	13.4596	0.0003	    47857.0  	      72.775   	13.6515	0.0017	     48606.0 	     48.678   	13.0452	0.0011	 0.6063	   --- 	 --- 	6517.5 	---   	---   	  3.27	   17.354	  0.9  	Bochum_11
 0.0862	 0.2993	 0.0697	 3590.064	  361.689	  669.535	1.309	19	 ---	161.99417920398	0.0197	-60.07267264089	0.0191	5350288731145242752	  0.385  	0.0228	 -6.383	0.038	  1.579	0.036	1	    22408.0 	      6.2418 	14.8123	0.0003	    11849.0  	      32.761   	15.1672	0.003 	     17493.0 	     26.128   	14.1547	0.0016	 1.0124	   --- 	 --- 	5339.0 	---   	---   	  2.91	    6.22 	  0.9  	Bochum_11
 0.0343	 0.1174	 0.1334	 6823.088	  578.254	 1017.994	1.229	15	 ---	161.64152432558	0.0256	-60.08739765131	0.0247	5350296736964471808	  0.3534 	0.0288	 -6.449	0.051	  1.631	0.047	1	   179890.0 	     26.364  	12.5509	0.0002	   110390.0  	     190.9     	12.7441	0.0019	    110710.0 	    108.75    	12.1515	0.0011	 0.5926	   --- 	 --- 	6845.18	---   	---   	  5.31	   55.799	  0.9  	Bochum_11
