pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.4506	 0.4285	 0.0913	 1177.731	  190.42 	  620.286	1.284	 9	 ---	 84.59798661683	0.0766	 28.07802765676	0.0682	3442505283761492224	  0.5454 	0.0727	  0.031	0.147	 -4.627	0.113	0	     9129.7 	      7.752  	15.7872	0.0009	     3736.1  	      19.62    	16.4203	0.0057	      7982.4 	     12.869   	15.0066	0.0018	 1.4138	   --- 	 --- 	4428.26	---   	---   	  2.15	    1.603	  0.0  	COIN-Gaia_21
-0.2013	 0.0639	 0.1495	 1075.458	  115.62 	  363.06 	1.299	10	 ---	 84.84907044944	0.0563	 28.08242353748	0.0475	3442502908645031296	  0.4422 	0.059 	  0.207	0.121	 -3.046	0.102	0	     5984.3 	      5.5644 	16.2458	0.001 	     2383.1  	      20.611   	16.9086	0.0094	      5387.8 	     14.84    	15.4334	0.003 	 1.4752	   --- 	 --- 	4399.41	---   	---   	  2.19	    1.619	  0.0  	COIN-Gaia_21
-0.0948	 0.2195	 0.1763	 1360.119	  204.683	  263.242	1.28 	10	 ---	 84.59597275994	0.0498	 28.05659460663	0.0448	3442499305169299840	  0.6436 	0.0517	  0.119	0.098	 -3.525	0.076	0	    12629.0 	      9.2852 	15.4349	0.0008	     5286.1  	      25.826   	16.0435	0.0053	     10874.0 	     41.31    	14.6709	0.0041	 1.3726	   --- 	 --- 	4866.67	---   	---   	  1.65	    1.372	  0.1  	COIN-Gaia_21
-0.2524	 0.25  	 0.1936	  609.378	   33.15 	  118.008	1.399	10	 ---	 84.52520958504	0.1501	 28.09364892104	0.1344	3442500366027124480	  1.0664 	0.1538	 -1.125	0.284	 -4.104	0.228	0	     1371.0 	      2.2498 	17.8458	0.0018	      457.18 	      13.791   	18.7012	0.0328	      1461.2 	     12.382   	16.8501	0.0092	 1.851 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.0  	COIN-Gaia_21
-0.5165	 0.4121	 0.0001	  812.298	   50.85 	  137.895	1.337	 8	 ---	 84.64068081676	0.1065	 28.16090933288	0.0935	3442506688216157952	  0.4876 	0.0965	 -0.248	0.226	 -3.081	0.182	0	     3331.2 	      4.101  	16.8819	0.0013	     1300.7  	      25.579   	17.5659	0.0214	      3154.7 	     22.877   	16.0145	0.0079	 1.5514	   --- 	 --- 	4374.0 	2.018 	1.0093	  --- 	    ---  	  0.0  	COIN-Gaia_21
-0.1208	 0.2772	 0.2346	 1194.09 	  114.186	  331.11 	1.323	10	 ---	 84.66484542402	0.0659	 28.22859598768	0.0613	3442508715441062784	  0.4361 	0.0705	  0.309	0.13 	 -3.545	0.105	0	     6159.2 	      5.1581 	16.2145	0.0009	     2175.3  	      19.051   	17.0076	0.0095	      5974.4 	     18.044   	15.3212	0.0033	 1.6864	   --- 	 --- 	4226.5 	2.4632	1.2043	  --- 	    ---  	  0.1  	COIN-Gaia_21
 0.066 	 0.1895	 0.2273	  663.074	   64.836	  218.124	1.312	11	 ---	 84.82501522764	0.1107	 28.08586300184	0.0993	3442502947301875584	  0.7602 	0.134 	  0.099	0.209	 -3.66 	0.164	0	     2429.9 	      3.6647 	17.2244	0.0016	      925.11 	      14.268   	17.9359	0.0167	      2262.1 	     10.371   	16.3756	0.005 	 1.5603	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	COIN-Gaia_21
-0.462 	-0.054 	 0.3185	  907.091	   89.508	  375.809	1.404	10	 ---	 84.87972141794	0.0743	 28.10709369265	0.0614	3442503428338204928	  0.3501 	0.0814	 -0.012	0.179	 -4.39 	0.15 	0	     4406.7 	      4.8581 	16.5781	0.0012	     1108.4  	      12.383   	17.7397	0.0121	      5080.7 	     13.519   	15.4971	0.0029	 2.2426	   --- 	 --- 	3530.33	2.33  	1.1712	  --- 	    ---  	  0.0  	COIN-Gaia_21
-0.3838	 0.3141	 0.1229	  819.304	   50.048	  265.723	1.32 	 9	 ---	 84.66941482407	0.1029	 28.0916743156 	0.0853	3442505180684885504	  0.4335 	0.1037	  0.344	0.218	 -3.207	0.17 	0	     2893.7 	      3.5318 	17.0347	0.0013	     1052.4  	      21.028   	17.7959	0.0217	      2767.2 	     10.414   	16.1568	0.0041	 1.6391	   --- 	 --- 	4373.67	---   	---   	  --- 	    ---  	  0.0  	COIN-Gaia_21
