pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.2983	 0.0764	 0.3186	  418.654000000	    36.078000000	   61.776000000	1.332	11	 99.15665197202	0.1542	  4.60616583673	0.1508	3130874444018493696	  0.1021 	0.1870	 -2.172	0.321	 -0.548	0.337	0	      760.57001	      1.81670	18.485500	0.002600	      257.48999	      7.13700 	19.324500	0.030100	      755.39001	     12.22800	17.566500	0.017600	 1.7580	       	     	       	      	      	      	         	0.01
-0.2475	 0.2040	 0.2207	 1594.318000000	   368.104000000	  352.872000000	1.250	11	 99.15772212646	0.0340	  4.60349028158	0.0332	3130874444018491008	  0.4053 	0.0398	 -0.764	0.067	 -0.824	0.066	0	    11235.00000	      7.04670	15.562000	0.000700	     5424.60010	     14.73600 	16.015500	0.002900	     8620.50000	     24.43000	14.923100	0.003100	 1.0924	       	     	5097.3 	      	      	  2.19	    2.924	0.00
-0.2056	 0.2542	 0.2892	  959.623000000	   206.690000000	  305.245000000	1.239	11	 99.12646515123	0.0447	  4.60241247096	0.0460	3130874585755575808	  0.9318 	0.0570	  0.672	0.089	 -2.941	0.089	0	     6710.20020	      6.99260	16.121500	0.001100	     2940.50000	     14.22700 	16.680300	0.005300	     5376.70020	     17.61400	15.435600	0.003600	 1.2447	       	     	4871.5 	0.4790	0.2230	  0.83	    0.347	0.00
-0.1832	 0.2898	 0.2545	 2523.025000000	   763.331000000	  733.762000000	1.227	11	 99.12398349977	0.0262	  4.60741477318	0.0269	3130874688834788992	  0.9132 	0.0325	 -2.881	0.051	 -2.662	0.050	0	    24718.00000	      9.79680	14.705900	0.000400	    12172.00000	     15.94500 	15.138000	0.001400	    18160.00000	     24.75000	14.114100	0.001500	 1.0239	       	     	5344.1 	0.7277	0.3783	  1.29	    1.219	0.00
-0.2271	 0.2125	 0.3200	  686.146000000	    55.647000000	  156.052000000	1.342	11	 99.14221107483	0.0918	  4.61788720644	0.0951	3130874718896420992	  0.3761 	0.1202	 -1.169	0.184	 -2.123	0.188	1	     2017.40002	      2.94020	17.426400	0.001600	      648.27002	     11.65000 	18.322000	0.019500	     2059.89990	     13.20000	16.477300	0.007000	 1.8447	       	     	       	      	      	      	         	0.00
-0.2589	 0.0469	 0.2987	  309.626000000	    21.919000000	   73.687000000	1.367	11	 99.14548191234	0.2013	  4.61965781585	0.1964	3130874718896424064	 -0.0897 	0.2408	  0.653	0.425	 -0.707	0.450	0	      521.54999	      1.68450	18.895100	0.003500	      154.97000	      7.06980 	19.875800	0.049500	      558.21002	      7.57550	17.894900	0.014700	 1.9809	       	     	       	      	      	      	         	0.00
-0.2222	 0.1815	 0.3386	  559.078000000	    51.744000000	   56.613000000	1.363	11	 99.14351437322	0.1352	  4.60480700281	0.1259	3130874615817183616	  0.6727 	0.1617	  0.543	0.267	  1.128	0.274	0	     1143.50000	      2.04540	18.042700	0.001900	      382.41000	      7.39040 	18.895100	0.021000	     1176.30005	     20.77700	17.085600	0.019200	 1.8094	       	     	       	      	      	      	         	0.00
-0.3234	 0.1059	 0.2708	  575.860000000	    37.223000000	  123.388000000	1.324	11	 99.14265844308	0.1215	  4.60096779683	0.1189	3130874615817176960	  0.8562 	0.1429	  4.569	0.252	 -2.204	0.260	0	     1115.30005	      1.93680	18.069900	0.001900	      371.22000	      9.97280 	18.927300	0.029200	     1105.30005	      8.95820	17.153200	0.008800	 1.7741	       	     	       	      	      	      	         	0.00
-0.2536	 0.1953	 0.2349	 1671.465000000	   184.367000000	  305.727000000	1.250	11	 99.15090181804	0.0450	  4.61577545965	0.0442	3130874654475039232	  0.8652 	0.0533	  3.538	0.089	 -1.933	0.089	0	     6471.89990	      3.87200	16.160800	0.000600	     2714.30005	     14.72200 	16.767200	0.005900	     5373.89990	     17.57700	15.436200	0.003600	 1.3310	       	     	4909.8 	0.8388	0.4153	  0.86	    0.385	0.00
-0.4132	 0.0117	 0.2901	 3934.537000000	   410.468000000	  649.209000000	1.216	10	 99.22566614313	0.0197	  4.62225306906	0.0189	3130875272950303488	  1.7934 	0.0223	 10.492	0.044	-25.097	0.048	0	    80297.00000	     20.40800	13.426600	0.000300	    42627.00000	    103.85000 	13.777200	0.002600	    54976.00000	     84.68100	12.911500	0.001700	 0.8657	       	     	5766.5 	0.1605	0.0780	  1.00	    0.987	0.00
