pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0195	-0.0726	 0.0759	  359.565	   74.134	  157.782	1.343	16	 ---	111.47322835187	0.0296	-31.42680784527	0.0395	5593268053404943488	  1.445  	0.0435	 -4.258	0.07 	  3.251	0.086	0	     5060.0 	     14.072  	16.428 	0.003 	     1572.7  	      21.214   	17.3598	0.0146	      5223.8 	     33.107   	15.467 	0.0069	 1.8928	   --- 	 --- 	3976.89	1.4363	0.7445	  0.85	    0.162	  0.2  	Collinder_132
-0.0642	-0.0822	 0.0861	  968.229	   37.251	  145.126	1.503	16	 ---	111.48810389899	0.0386	-31.3803305061 	0.0483	5593274341237042304	  1.3501 	0.0556	 -4.054	0.092	  2.846	0.103	0	     3712.8 	      3.8346 	16.7641	0.0011	     1713.2  	      45.99    	17.2669	0.0291	      3867.6 	     26.65    	15.7933	0.0075	 1.4736	   --- 	 --- 	4572.52	---   	---   	  0.5 	    0.1  	  0.3  	Collinder_132
-0.0814	 0.0054	 0.0603	  581.742	   98.361	  188.381	1.356	15	 ---	110.11796332278	0.0361	-33.10563536605	0.0439	5592650265304376704	  1.6406 	0.0488	 -4.269	0.082	  4.262	0.092	0	     4390.4 	      7.547  	16.5821	0.0019	     1391.3  	      14.145   	17.4928	0.011 	      4561.8 	     24.216   	15.6141	0.0058	 1.8787	   --- 	 --- 	4149.6 	1.1393	0.523 	  0.61	    0.098	  0.8  	Collinder_132
-0.0204	 0.0774	 0.0777	  488.367	   34.045	  150.177	1.48 	15	 ---	110.03799031064	0.0711	-32.91491445816	0.09  	5592703694699008640	  1.6627 	0.1014	 -4.253	0.156	  3.693	0.197	0	     1728.8 	      3.54   	17.594 	0.0022	      323.9  	       9.514   	19.0754	0.0319	      2234.4 	     14.878   	16.389 	0.0072	 2.6863	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	Collinder_132
 0.0996	 0.1051	-0.0903	  695.362	   54.311	  217.583	1.496	16	 ---	110.04641617151	0.0542	-32.85863981599	0.0653	5592704966009302784	  1.6016 	0.0745	 -4.365	0.118	  4.169	0.135	0	     3258.5 	      4.686  	16.9058	0.0016	      593.42 	      10.926   	18.418 	0.02  	      4282.9 	     19.684   	15.6826	0.005 	 2.7354	   --- 	 --- 	4042.77	0.85  	0.441 	  0.58	    0.082	  0.5  	Collinder_132
 0.1018	 0.0765	-0.2608	  826.521	   15.444	   83.436	1.63 	15	 ---	110.35896471705	0.0954	-32.95426559773	0.1264	5592658095024648576	  1.4885 	0.1434	 -4.251	0.212	  3.502	0.222	0	     1234.7 	      1.4938 	17.9595	0.0013	      234.68 	      15.195   	19.4252	0.0703	      1777.2 	     21.3     	16.6376	0.013 	 2.7876	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Collinder_132
 0.1665	 0.0747	-0.2116	  536.08 	   70.918	  184.005	1.38 	15	 ---	109.98983899101	0.0528	-32.65586290571	0.0669	5592728017090535040	  1.4417 	0.0748	 -4.141	0.115	  3.419	0.135	0	     2814.4 	      5.2499 	17.0649	0.002 	      717.47 	      10.117   	18.2119	0.0153	      3167.2 	     17.213   	16.0102	0.0059	 2.2017	   --- 	 --- 	3910.01	---   	---   	  0.67	    0.095	  0.5  	Collinder_132
 0.0621	-0.0121	-0.0955	  466.007	   88.809	  128.44 	1.327	16	 ---	110.42070469899	0.0326	-32.4163415739 	0.0408	5592746644372638592	  1.4978 	0.0472	 -4.211	0.074	  3.304	0.082	0	     5507.2 	     11.818  	16.336 	0.0023	     1812.3  	      20.407   	17.2058	0.0122	      5493.2 	     42.769   	15.4124	0.0085	 1.7935	   --- 	 --- 	4041.16	1.423 	0.695 	  0.81	    0.158	  0.4  	Collinder_132
-0.0618	 0.0348	 0.0511	  733.534	   60.459	  159.738	1.338	15	 ---	111.01880262405	0.1555	-32.33295680851	0.1811	5592797874742356736	  1.5201 	0.2067	 -4.53 	0.333	  4.441	0.381	0	     1956.8 	      2.6677 	17.4595	0.0015	      713.26 	      11.797   	18.2183	0.018 	      1905.8 	     11.931   	16.5617	0.0068	 1.6565	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Collinder_132
