pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.2983	 0.1214	-0.0115	 1019.001	  160.948	  278.884	1.26 	14	 ---	 38.28607693932	0.0235	 58.67544586961	0.0281	 458231886179612288	  0.4396 	0.0352	  0.059	0.064	 -1.104	0.074	0	    13054.0 	     12.811  	15.399 	0.0011	     6099.8  	      37.899   	15.8881	0.0067	     10350.0 	     37.113   	14.7246	0.0039	 1.1635	   --- 	 --- 	5004.06	---   	---   	  2.28	    2.944	  0.1  	Czernik_8
 0.2427	 0.1213	 0.0504	 1434.996	  175.614	  437.247	1.292	14	 ---	 38.31175440485	0.0492	 58.69394109774	0.0591	 458232298496459136	  0.3673 	0.0722	  0.239	0.131	 -0.485	0.148	0	     4179.4 	      2.9125 	16.6356	0.0008	     1651.8  	       9.4061  	17.3065	0.0062	      3746.8 	      8.569   	15.8278	0.0025	 1.4787	   --- 	 --- 	4414.19	---   	---   	  --- 	    ---  	  0.2  	Czernik_8
 0.2179	 0.1698	 0.0214	  786.357	   39.357	   91.402	1.436	14	 ---	 38.28224906777	0.0933	 58.77007106961	0.1008	 458989273591995008	  0.263  	0.1279	  0.576	0.246	 -1.148	0.264	0	     1199.6 	      1.5255 	17.9908	0.0014	      406.31 	      10.324   	18.8292	0.0276	      1315.8 	     14.396   	16.9639	0.0119	 1.8653	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Czernik_8
 0.3394	 0.1661	-0.0345	 3192.373	  438.878	  708.722	1.275	13	 ---	 38.20788209094	0.0211	 58.76659668805	0.0226	 458984089573472768	  0.3583 	0.0292	  0.42 	0.055	 -0.815	0.065	0	    22571.0 	      7.0702 	14.8045	0.0003	     9634.0  	      21.951   	15.3919	0.0025	     19138.0 	     27.004   	14.0572	0.0015	 1.3347	   --- 	 --- 	4726.58	---   	---   	  4.28	    8.231	  1.0  	Czernik_8
 0.2988	 0.0838	-0.0431	 1255.122	  161.935	  205.96 	1.391	13	 ---	 38.24282075362	0.0416	 58.75840346657	0.0475	 458984119631246080	  0.2386 	0.0591	  0.515	0.114	 -1.138	0.135	0	     4642.9 	      3.6992 	16.5214	0.0009	     1835.0  	      11.332   	17.1923	0.0067	      4623.7 	     22.449   	15.5995	0.0053	 1.5928	   --- 	 --- 	4459.0 	---   	---   	  --- 	    ---  	  0.8  	Czernik_8
 0.396 	 0.189 	 0.0602	  317.248	  118.158	  102.769	1.323	13	 ---	 38.22694007605	0.0277	 58.76020827234	0.0342	 458984016552030080	  0.2401 	0.0405	  0.246	0.075	 -0.764	0.088	0	    35913.0 	    113.2    	14.3002	0.0034	    15539.0  	     131.51    	14.8728	0.0092	     31959.0 	    310.98    	13.5004	0.0106	 1.3724	   --- 	 --- 	4486.5 	---   	---   	  --- 	    ---  	  0.4  	Czernik_8
 0.2928	 0.1111	-0.0372	 1875.123	  230.013	  504.513	1.282	14	 ---	 38.20855921598	0.0295	 58.77690373294	0.0332	 458984192652440448	  0.3079 	0.0418	  0.558	0.082	 -0.903	0.091	0	     8096.1 	      4.3176 	15.9177	0.0006	     3397.6  	      14.772   	16.5234	0.0047	      6982.1 	     13.839   	15.152 	0.0022	 1.3715	   --- 	 --- 	5033.0 	---   	---   	  --- 	    ---  	  0.9  	Czernik_8
 0.3029	 0.2697	 0.0532	 1332.632	  122.539	  308.545	1.35 	13	 ---	 38.2473857899 	0.0487	 58.77444310961	0.0558	 458984158292701440	  0.4131 	0.0695	  0.442	0.139	 -0.67 	0.158	0	     3416.4 	      2.5637 	16.8544	0.0008	     1132.9  	       9.245   	17.7159	0.0089	      3479.7 	     11.278   	15.9081	0.0035	 1.8079	   --- 	 --- 	3950.0 	---   	---   	  --- 	    ---  	  0.7  	Czernik_8
 0.2273	 0.2778	-0.0043	  970.59 	   43.951	  179.896	1.34 	13	 ---	 38.15165857019	0.0765	 58.74674134146	0.0787	 458983879113050112	  0.39   	0.1074	  0.647	0.213	 -0.349	0.21 	0	     1624.7 	      1.6739 	17.6614	0.0011	      549.27 	      12.497   	18.5019	0.0247	      1627.0 	      9.0441  	16.7335	0.006 	 1.7685	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Czernik_8
