pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1618	-0.2388	 0.2294	 2266.041	  290.963	  786.624	1.277	19	 ---	 10.63416492565	0.0271	 64.06067431319	0.0267	 523960931809137536	  0.3919 	0.0355	 -2.697	0.056	 -0.448	0.05 	0	     9711.8 	      4.2858 	15.7201	0.0005	     4139.4  	      14.227   	16.309 	0.0037	      8263.4 	     10.505   	14.969 	0.0014	 1.34  	   --- 	 --- 	4812.25	---   	---   	  2.44	    2.887	  0.9  	Dias_1
-0.1786	-0.1613	 0.2231	  751.298	   43.227	  233.843	1.413	19	 ---	 10.69393302127	0.0795	 63.99732338949	0.085 	 523959591779368704	  0.3429 	0.1103	 -2.671	0.152	 -0.474	0.151	0	     1265.7 	      1.6847 	17.9326	0.0014	      328.55 	       7.6007  	19.0599	0.0251	      1460.0 	      6.2435  	16.851 	0.0046	 2.2088	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	Dias_1
-0.2087	-0.1586	 0.2228	 5416.967	  779.121	 1498.411	1.259	19	 ---	 10.63060915209	0.013 	 64.05335283437	0.0138	 523960828729924992	  0.3853 	0.0169	 -2.639	0.025	 -0.596	0.025	0	    55036.0 	     10.16   	13.8368	0.0002	    24920.0  	      31.985   	14.36  	0.0014	     44367.0 	     29.609   	13.1443	0.0007	 1.2157	   --- 	 --- 	4917.0 	---   	---   	  5.59	   16.474	  0.9  	Dias_1
-0.2897	-0.1367	 0.2253	 4677.83 	  769.887	 1560.157	1.266	18	 ---	 10.61948568832	0.0145	 64.05131300526	0.014 	 523961034888355712	  0.3873 	0.0179	 -2.865	0.027	 -0.537	0.026	0	    45068.0 	      9.6343 	14.0537	0.0002	    19779.0  	      25.691   	14.6109	0.0014	     37267.0 	     23.887   	13.3336	0.0007	 1.2773	   --- 	 --- 	4791.76	---   	---   	  5.39	   13.794	  0.8  	Dias_1
-0.2043	-0.1642	 0.2036	 1133.853	   91.431	  346.024	1.345	19	 ---	 10.63764887223	0.0473	 64.05716514158	0.0467	 523960931809138688	  0.4154 	0.0619	 -2.699	0.092	 -0.27 	0.087	0	     2958.7 	      2.6094 	17.0106	0.001 	      950.56 	      10.396   	17.9064	0.0119	      3030.2 	      8.7571  	16.0582	0.0031	 1.8482	   --- 	 --- 	3896.14	---   	---   	  --- 	    ---  	  0.5  	Dias_1
-0.3879	-0.3694	 0.373 	 1627.707	  172.907	  641.307	1.299	16	 ---	 10.61315583182	0.0519	 64.05325070542	0.0376	 523961034888354432	  0.2713 	0.0607	 -2.741	0.088	 -0.533	0.069	0	     7006.7 	      4.3046 	16.0746	0.0007	     2796.1  	      16.171   	16.735 	0.0063	      6308.2 	      9.8365  	15.2621	0.0017	 1.4729	   --- 	 --- 	4354.0 	---   	---   	  --- 	    ---  	  0.5  	Dias_1
-0.1952	-0.1252	 0.2449	 2192.236	  276.49 	  665.37 	1.286	19	 ---	 10.62463987378	0.0266	 64.05408502512	0.0244	 523961034888354560	  0.3814 	0.0332	 -2.728	0.051	 -0.298	0.045	0	     9723.7 	      4.4355 	15.7188	0.0005	     4147.3  	      15.0     	16.307 	0.0039	      8354.0 	     12.555   	14.9572	0.0016	 1.3498	   --- 	 --- 	4777.0 	---   	---   	  2.56	    3.083	  0.4  	Dias_1
-0.273 	-0.1264	 0.1852	 3252.898	  627.733	  918.858	1.268	18	 ---	 10.62964174022	0.0148	 64.04962758402	0.015 	 523960828729926656	  0.3623 	0.0183	 -2.675	0.028	 -0.7  	0.028	0	    42187.0 	     12.969  	14.1254	0.0003	    18490.0  	      29.456   	14.684 	0.0017	     35010.0 	     38.101   	13.4015	0.0012	 1.2826	   --- 	 --- 	4780.0 	---   	---   	  5.61	   14.805	  0.8  	Dias_1
-0.1906	-0.1761	 0.2031	 1247.448	  120.677	  261.328	1.363	18	 ---	 10.61750148672	0.0494	 64.04677027646	0.0487	 523961000528618752	  0.3553 	0.065 	 -2.981	0.097	 -0.729	0.089	0	     2826.1 	      2.2655 	17.0604	0.0009	      933.84 	       7.7384  	17.9257	0.009 	      2919.2 	     11.171   	16.0988	0.0042	 1.8269	   --- 	 --- 	3969.25	2.4535	1.275 	  --- 	    ---  	  0.2  	Dias_1
