pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1579	-0.1362	-0.1988	  607.259	   26.309	   47.901	1.785	16	 ---	305.09249094754	0.08  	 39.33837235127	0.1015	2061416355985292416	  0.3209 	0.1076	 -1.864	0.181	 -5.17 	0.178	0	     1618.4 	      2.6651 	17.6657	0.0018	      832.84 	      31.656   	18.05  	0.0413	      2055.6 	     42.914   	16.4796	0.0227	 1.5704	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	Dolidze_5
-0.0909	-0.1702	-0.1212	 4199.483	  423.088	 1639.501	1.238	16	 ---	304.98612769573	0.0167	 39.22478632739	0.0225	2061408247086766592	  0.5097 	0.0231	 -2.302	0.038	 -5.406	0.038	0	    33916.0 	      8.0762 	14.3624	0.0003	    17811.0  	      42.097   	14.7247	0.0026	     24191.0 	     14.755   	13.8028	0.0007	 0.9219	   --- 	 --- 	5370.0 	1.5985	0.772 	  2.67	    5.35 	  0.3  	Dolidze_5
-0.1388	-0.081 	-0.0868	 1655.789	  167.694	  527.597	1.339	16	 ---	305.11815629361	0.0372	 39.35916523428	0.0483	2061416287265824128	  0.4857 	0.0496	 -1.868	0.083	 -5.363	0.089	0	     5677.1 	      3.4286 	16.3031	0.0007	     2197.0  	      13.101   	16.9968	0.0065	      5404.9 	     10.244   	15.43  	0.0021	 1.5669	   --- 	 --- 	4344.17	---   	---   	  2.02	    1.306	  1.0  	Dolidze_5
-0.1873	 0.0164	-0.237 	  739.707	   61.589	  118.011	1.471	15	 ---	305.03452659874	0.0871	 39.25325062886	0.1234	2061414083937925888	  0.4448 	0.1231	 -1.999	0.201	 -5.65 	0.208	0	     1312.9 	      1.7749 	17.8928	0.0015	      487.3  	       7.9122  	18.6319	0.0176	      1443.8 	     12.235   	16.8631	0.0092	 1.7688	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	Dolidze_5
-0.1796	-0.1076	-0.1696	 2883.692	  400.804	  980.332	1.283	16	 ---	305.11879018364	0.0222	 39.32038027529	0.0289	2061416081107376512	  0.4761 	0.0292	 -2.049	0.05 	 -5.374	0.051	0	    15651.0 	      5.4274 	15.202 	0.0004	     6789.0  	      16.939   	15.7719	0.0027	     13294.0 	     13.561   	14.4528	0.0011	 1.3191	   --- 	 --- 	4852.0 	---   	---   	  2.5 	    3.12 	  1.0  	Dolidze_5
-0.2401	 0.0919	-0.2762	 2420.944	  464.785	  826.226	1.248	14	 ---	305.06877211275	0.0284	 39.3097288424 	0.0334	2061414844156783488	  0.4536 	0.0343	 -1.911	0.065	 -5.442	0.063	0	   153770.0 	     63.515  	12.7212	0.0004	    75877.0  	     163.25    	13.1511	0.0023	    116010.0 	    140.41    	12.1007	0.0013	 1.0504	   --- 	 --- 	5171.23	---   	---   	  7.0 	   31.534	  0.9  	Dolidze_5
-0.1482	 0.0165	-0.2315	 1677.138	  160.87 	  466.01 	1.292	15	 ---	305.11906480586	0.027 	 39.30741216877	0.0401	2061415325193123200	  0.4979 	0.0406	 -1.771	0.064	 -5.282	0.076	0	     9250.2 	      5.5155 	15.773 	0.0006	     4092.0  	      25.437   	16.3215	0.0067	      7862.1 	     16.871   	15.0231	0.0023	 1.2985	   --- 	 --- 	4922.5 	---   	---   	  1.77	    1.656	  0.9  	Dolidze_5
-0.1461	-0.014 	-0.1067	 1038.579	   82.735	  237.991	1.414	14	 ---	305.04303840607	0.0517	 39.3157926108 	0.0787	2061414809797048320	  0.5238 	0.082 	 -2.039	0.122	 -5.726	0.13 	0	     3060.3 	      2.9466 	16.974 	0.001 	     1120.3  	      13.541   	17.7281	0.0131	      3206.0 	     13.471   	15.997 	0.0046	 1.7311	   --- 	 --- 	4109.0 	2.293 	1.2135	  --- 	    ---  	  0.9  	Dolidze_5
-0.1723	-0.0396	-0.0062	 1100.61 	  113.783	  294.061	1.387	13	 ---	305.0670832931 	0.0592	 39.3181716668 	0.1085	2061414844156788480	  0.3979 	0.0811	 -1.951	0.122	 -5.664	0.186	0	     3338.4 	      3.0332 	16.8795	0.001 	     1282.2  	      11.268   	17.5815	0.0095	      3347.0 	     11.382   	15.9503	0.0037	 1.6313	   --- 	 --- 	4374.67	---   	---   	  --- 	    ---  	  0.8  	Dolidze_5
