pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.1695	-0.1438	 0.2785	  984.572000000	    48.055000000	  294.440000000	1.669	11	253.65428642878	0.1219	-40.83067401867	0.0835	5969574052613116544	 -0.0255 	0.1445	 -1.307	0.230	 -1.893	0.151	0	     3335.50000	      3.38780	16.880400	0.001100	      485.67001	     10.10600 	18.635500	0.022600	     5080.50000	     17.25500	15.497200	0.003700	 3.1384	       	     	4437.3 	      	      	      	         	0.00
 0.0770	 0.0340	 0.1436	  688.515000000	    32.097000000	   91.168000000	1.776	11	253.63696242867	0.1896	-40.83742522684	0.1253	5969574018253380224	  0.5095 	0.2177	  0.711	0.342	 -4.212	0.218	0	     1742.30005	      2.53060	17.585500	0.001600	      279.63000	      8.71210 	19.234900	0.033800	     2814.60010	     30.87200	16.138400	0.011900	 3.0965	       	     	       	      	      	      	         	0.00
 0.2091	-0.0900	 0.3276	  660.738000000	    74.806000000	  126.622000000	1.441	11	253.66047632962	0.1452	-40.82763833059	0.0998	5969574048278418560	  0.9786 	0.1756	-11.803	0.276	-17.743	0.181	0	     1556.09998	      2.35510	17.708300	0.001600	      505.59000	      6.75870 	18.591900	0.014500	     1737.00000	     13.71800	16.662400	0.008600	 1.9295	       	     	       	      	      	      	         	0.00
 0.0987	-0.1599	 0.3201	  872.912000000	    25.328000000	  134.315000000	1.807	11	253.65767652093	0.1485	-40.83387963302	0.1044	5969574052613114752	 -0.3590 	0.1821	 -2.485	0.262	 -2.605	0.183	0	     2482.69995	      2.84410	17.201100	0.001200	      270.98999	     10.69900 	19.269000	0.042900	     4215.79980	     31.38700	15.699700	0.008100	 3.5693	       	     	       	      	      	      	         	0.00
-0.0507	-0.1432	 0.3320	 1305.463000000	   159.831000000	  421.181000000	1.539	11	253.65147997108	0.0829	-40.83447764206	0.0580	5969574052613115648	 -0.0827 	0.0994	  3.377	0.138	 -0.723	0.100	0	     7810.60010	      5.98300	15.956700	0.000800	     1268.80005	      7.93820 	17.592900	0.006800	    10753.00000	     25.53000	14.683100	0.002600	 2.9098	       	     	4630.1 	      	      	      	         	0.00
 0.1014	-0.1344	 0.2978	  925.541000000	    36.652000000	  187.373000000	1.653	11	253.66834196003	0.1169	-40.83913828269	0.0812	5969573979558939520	  0.2014 	0.1430	 -5.092	0.207	 -2.394	0.145	0	     2410.89990	      2.60480	17.232900	0.001200	      353.88000	      9.65510 	18.979300	0.029600	     3631.19995	     19.38000	15.861800	0.005800	 3.1175	       	     	       	      	      	      	         	0.00
 0.1942	-0.1414	 0.2930	  832.677000000	    37.260000000	  236.035000000	1.697	11	253.66517344570	0.1467	-40.83831455704	0.1009	5969573979558940544	  0.0973 	0.1776	 -2.793	0.275	 -3.286	0.184	0	     2194.89990	      2.63600	17.334800	0.001300	      302.17999	      8.10990 	19.150700	0.029100	     3421.80005	     14.49700	15.926300	0.004600	 3.2245	       	     	       	      	      	      	         	0.00
 0.1709	-0.0978	 0.3014	  613.658000000	    46.936000000	  112.404000000	1.460	11	253.65937349623	0.1901	-40.83332524504	0.1278	5969574052583588992	  0.6958 	0.2071	 -2.863	0.319	  1.252	0.218	0	     1168.30005	      1.90380	18.019500	0.001800	      465.82999	      9.92470 	18.680800	0.023100	     1240.00000	     11.03200	17.028300	0.009700	 1.6525	       	     	       	      	      	      	         	0.00
-0.1653	-0.0423	 0.1997	 4690.397000000	   500.781000000	  651.901000000	1.293	11	253.65359304710	0.0377	-40.82122269760	0.0262	5969574052613120896	  0.7761 	0.0427	 -3.466	0.060	-15.300	0.044	0	    39001.00000	      8.31510	14.210700	0.000200	    14263.00000	     28.48100 	14.965900	0.002200	    36184.00000	     55.50500	13.365600	0.001700	 1.6002	       	     	4354.7 	      	      	  3.29	    3.496	0.00
 0.1602	-0.1273	 0.2592	 1245.747000000	    51.309000000	  111.817000000	1.532	11	253.65027342304	0.0764	-40.83782157903	0.0531	5969574048278161280	  0.3446 	0.0913	 -2.524	0.143	 -4.249	0.096	0	     5032.00000	      4.03930	16.434000	0.000900	     1569.19995	     30.58400 	17.362200	0.021200	     6139.39990	     54.90600	15.291600	0.009700	 2.0705	       	     	3754.0 	      	      	      	         	0.00
