pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.1004	-0.1687	-0.0794	  978.831000000	    52.653000000	  170.471000000	1.496	17	308.15909022394	0.0698	 41.37527508074	0.0864	2067831417912269824	  0.3735 	0.0962	 -1.218	0.155	 -3.504	0.169	0	     1643.50000	      1.67910	17.648900	0.001100	      372.07999	      7.06670 	18.924800	0.020600	     2087.39990	     12.24500	16.462900	0.006400	 2.4619	       	     	       	      	      	      	         	0.00
-0.0887	-0.1349	-0.0438	 1586.060000000	   126.471000000	  475.084000000	1.436	17	308.14982798028	0.0354	 41.38647530462	0.0435	2067831628369189376	  0.5068 	0.0486	 -2.591	0.079	 -4.545	0.085	0	     5887.60010	      3.71210	16.263500	0.000700	     1532.59998	     12.11800 	17.387800	0.008600	     6921.89990	     14.57000	15.161400	0.002300	 2.2264	       	     	3933.6 	2.4660	1.2272	  2.70	    1.577	0.70
-0.0840	-0.1403	-0.0169	 2997.620000000	   383.624000000	 1005.616000000	1.384	17	308.14215467590	0.0190	 41.38219901682	0.0236	2067831594009451648	  0.5203 	0.0261	 -2.624	0.042	 -4.240	0.046	0	    25651.00000	      8.55730	14.665600	0.000400	     7281.00000	     18.98000 	15.695900	0.002800	    28225.00000	     28.06700	13.635400	0.001100	 2.0606	       	     	3910.4 	1.8130	0.8950	  5.61	    6.624	1.00
-0.0942	-0.0582	-0.0868	 1038.460000000	    55.668000000	  291.848000000	1.432	15	308.15405589387	0.0722	 41.39986654346	0.0813	2067831692790194176	  0.4040 	0.0946	 -4.359	0.161	 -5.732	0.155	0	     1963.09998	      1.89040	17.456000	0.001000	      512.82001	      9.21210 	18.576500	0.019500	     2298.80005	      7.87680	16.358200	0.003700	 2.2183	       	     	       	      	      	      	         	0.00
-0.1032	-0.1671	-0.0831	  826.287000000	    21.724000000	   67.274000000	1.714	17	308.15842041353	0.0806	 41.38715348431	0.0983	2067831624070708608	  0.4655 	0.1109	  4.284	0.180	 -3.732	0.193	0	     1317.90002	      1.59500	17.888600	0.001300	      229.10001	     10.54600 	19.451300	0.050000	     2029.69995	     30.17100	16.493300	0.016100	 2.9580	       	     	       	      	      	      	         	0.00
-0.0796	-0.1383	-0.0172	 5399.676000000	   467.256000000	 1153.794000000	1.373	17	308.15422607155	0.0193	 41.38475566505	0.0243	2067831624070707840	  0.5471 	0.0267	 -2.590	0.041	 -4.108	0.047	0	   224460.00000	     41.56800	12.310500	0.000200	    63878.00000	    136.71001 	13.338000	0.002300	   244280.00000	    211.72000	11.292200	0.000900	 2.0458	       	     	3961.4 	1.3867	0.6677	 15.11	   50.641	1.00
-0.0064	-0.0830	 0.0700	 1548.513000000	   125.051000000	  275.934000000	1.312	16	308.15366866133	0.0466	 41.37936258367	0.0600	2067831628369186944	  1.4138 	0.0673	 10.537	0.105	 -1.393	0.122	0	     3224.39990	      2.08230	16.917200	0.000700	     1110.19995	      8.87760 	17.737900	0.008700	     3120.19995	     11.30800	16.026500	0.003900	 1.7115	       	     	4204.5 	0.2700	0.1617	  0.58	    0.094	0.00
-0.0881	-0.1201	-0.0352	 4287.273000000	   409.211000000	  962.532000000	1.385	17	308.13465245695	0.0148	 41.38270206720	0.0187	2067831662728930304	  0.5688 	0.0206	 -2.382	0.032	 -4.272	0.036	0	    58362.00000	     13.61300	13.773000	0.000300	    16278.00000	     39.77900 	14.822400	0.002700	    64574.00000	     67.08700	12.736800	0.001100	 2.0856	       	     	3973.8 	1.7502	0.8520	  7.33	   12.081	1.00
-0.0894	-0.1571	-0.0525	 1192.437000000	    58.115000000	  320.751000000	1.502	17	308.13506980673	0.0664	 41.37874672342	0.0822	2067831662728929792	  0.3834 	0.0917	 -4.978	0.148	 -8.334	0.161	0	     2353.60010	      1.97370	17.259000	0.000900	      443.06000	      7.62400 	18.735200	0.018700	     3091.30005	      9.63780	16.036600	0.003400	 2.6987	       	     	       	      	      	      	         	0.00
 0.0056	-0.0649	 0.0848	  550.149000000	    61.198000000	  189.054000000	1.583	16	308.14115140330	0.0748	 41.38455801077	0.0944	2067831662728929408	  0.7464 	0.1066	 -1.976	0.171	 -3.617	0.197	0	     3094.00000	      5.62390	16.962100	0.002000	      509.42001	      8.32420 	18.583700	0.017700	     4389.89990	     23.22000	15.655800	0.005700	 2.9279	       	     	4620.3 	2.9190	1.4815	  0.81	    0.269	0.81
