pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1802	-0.2844	-0.2386	 1115.078	   60.823	   91.173	1.372	13	 ---	322.15291198484	0.0762	 51.3904865681 	0.0799	2171675759976630528	  0.4371 	0.0958	 -2.223	0.169	 -2.959	0.186	0	     2083.1 	      1.8681 	17.3916	0.001 	      705.8  	      11.604   	18.2297	0.0179	      2151.9 	     23.603   	16.4299	0.0119	 1.7998	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	FSR_0306
-0.3429	-0.2316	-0.1561	  671.147	   14.72 	  185.692	1.633	13	 ---	322.08498279821	0.1184	 51.35731450915	0.1195	2171675412076621824	  0.2219 	0.142 	 -2.152	0.279	 -2.894	0.274	0	     1215.5 	      1.811  	17.9765	0.0016	      169.47 	      11.513   	19.7786	0.0738	      1815.6 	      9.7777  	16.6144	0.0058	 3.1643	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	FSR_0306
-0.265 	-0.2545	-0.1784	  710.748	   45.647	  172.151	1.357	13	 ---	322.20038837087	0.1097	 51.36222304839	0.113 	2171674862318817408	  0.4789 	0.135 	 -2.028	0.241	 -1.585	0.229	0	     1218.0 	      1.7137 	17.9742	0.0015	      413.15 	       9.051   	18.8111	0.0238	      1240.1 	      7.2033  	17.0283	0.0063	 1.7828	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	FSR_0306
-0.2629	-0.2717	-0.0851	  766.989	   52.038	  171.429	1.348	13	 ---	322.06102933699	0.1042	 51.36069357716	0.1096	2171675450738981888	  0.3986 	0.1237	 -2.651	0.234	 -2.433	0.244	0	     1322.9 	      1.7248 	17.8845	0.0014	      441.13 	       8.4771  	18.74  	0.0209	      1342.5 	      7.8312  	16.9421	0.0063	 1.7978	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	FSR_0306
-0.2247	-0.1468	-0.2547	 1032.847	   61.818	  212.573	1.323	13	 ---	322.174521894  	0.0806	 51.36473138534	0.0747	2171674935342919552	  0.3619 	0.0928	 -2.534	0.175	 -3.246	0.16 	0	     1908.7 	      1.848  	17.4865	0.0011	      685.35 	      11.087   	18.2616	0.0176	      1840.1 	      8.6565  	16.5998	0.0051	 1.6618	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	FSR_0306
 0.0012	-0.3304	-0.1981	  933.653	   65.167	  316.139	1.432	14	 ---	322.16127897905	0.0882	 51.41038042363	0.0872	2171676069214272896	  0.3307 	0.1092	 -2.184	0.184	 -3.48 	0.179	0	     3172.8 	      3.3983 	16.9348	0.0012	      922.12 	      14.15    	17.9394	0.0167	      3622.2 	     11.458   	15.8645	0.0034	 2.0749	   --- 	 --- 	3640.0 	2.61  	1.325 	  --- 	    ---  	  0.2  	FSR_0306
-0.1003	-0.3137	-0.1153	  672.192	   94.383	  229.398	1.294	14	 ---	322.38372816   	0.0688	 51.43999979072	0.0652	2171678371316918016	  0.4741 	0.0821	 -1.822	0.147	 -2.038	0.128	0	     2127.8 	      3.1654 	17.3686	0.0016	      787.88 	       8.3476  	18.1102	0.0115	      1966.0 	      8.5701  	16.528 	0.0047	 1.5823	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	FSR_0306
-0.0938	-0.2454	-0.155 	 1632.385	  306.578	  706.872	1.299	15	 ---	322.23206351744	0.0285	 51.44504487421	0.0281	2171681807290735616	  0.3393 	0.0347	 -1.902	0.063	 -2.825	0.057	0	     9362.6 	      5.7355 	15.7599	0.0007	     3626.4  	      11.829   	16.4527	0.0035	      8539.1 	     12.08    	14.9334	0.0015	 1.5193	   --- 	 --- 	4349.97	---   	---   	  3.69	    4.401	  0.4  	FSR_0306
-0.112 	-0.3429	 0.0345	  920.424	   72.784	  232.003	1.387	16	 ---	322.500495617  	0.0927	 51.65477072036	0.0899	2171708333009300736	  0.3917 	0.1112	 -2.005	0.195	 -2.624	0.172	0	     1508.9 	      1.6394 	17.7417	0.0012	      449.22 	       6.172   	18.7202	0.0149	      1643.3 	      7.0831  	16.7226	0.0047	 1.9976	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	FSR_0306
