pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.014 	 0.0397	-0.0134	  994.489	   62.944	  160.082	1.27 	17	 ---	122.64774311977	0.0667	-37.69115505862	0.0789	5541042694192753920	  0.7177 	0.0906	 -5.359	0.156	  4.415	0.152	0	     1901.1 	      1.9117 	17.4908	0.0011	      807.46 	      12.828   	18.0836	0.0172	      1607.1 	     10.039   	16.7468	0.0068	 1.3368	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Gulliver_2
-0.0185	 0.041 	 0.0473	 2691.0  	  859.243	 1094.717	1.213	16	 ---	122.71433600687	0.0136	-37.68090270507	0.0165	5541044068582213760	  0.6106 	0.0172	 -4.975	0.03 	  4.359	0.033	0	   113330.0 	     42.116  	13.0525	0.0004	    63175.0  	      73.524   	13.35  	0.0013	     74307.0 	     67.878   	12.5843	0.001 	 0.7657	   --- 	 --- 	5712.48	---   	---   	  3.54	   12.054	  0.7  	Gulliver_2
 0.0028	 0.2965	-0.0258	 2186.886	  717.018	  908.482	1.271	14	 ---	122.73246641779	0.0241	-37.59291292889	0.0336	5541045644829979648	  0.6035 	0.0342	 -4.873	0.053	  4.709	0.063	0	    21449.0 	      9.808  	14.8598	0.0005	     9546.0  	      13.313   	15.4018	0.0015	     17721.0 	     19.506   	14.1407	0.0012	 1.2611	   --- 	 --- 	4900.01	---   	---   	  2.25	    2.629	  0.6  	Gulliver_2
 0.0167	 0.0642	-0.0244	 4676.105	  986.946	 1567.034	1.194	17	 ---	122.6491657209 	0.0207	-37.68301270083	0.0235	5541044927575740800	  0.6454 	0.0263	 -4.507	0.047	  4.805	0.046	0	   128920.0 	     27.569  	12.9126	0.0002	    80895.0  	      81.965   	13.0816	0.0011	     73023.0 	     46.599   	12.6033	0.0007	 0.4783	   --- 	 --- 	7539.33	1.1055	0.557 	  2.05	   12.238	  0.2  	Gulliver_2
-0.0102	 0.1047	 0.0577	 1331.298	  120.402	  201.217	1.259	16	 ---	122.75517573244	0.051 	-37.77756692537	0.0799	5541039773614951296	  0.541  	0.0777	 -5.079	0.113	  4.418	0.157	0	     2846.3 	      2.138  	17.0527	0.0008	     1214.3  	      10.085   	17.6406	0.009 	      2369.7 	     11.777   	16.3252	0.0054	 1.3154	   --- 	 --- 	4734.32	0.8103	0.4082	  --- 	    ---  	  0.4  	Gulliver_2
 0.0748	 0.1219	 0.0517	 4987.105	 1260.62 	 1631.707	1.201	15	 ---	122.74201253735	0.0125	-37.76274307405	0.0183	5541040529529197568	  0.6886 	0.019 	 -4.958	0.028	  4.489	0.036	0	    68997.0 	     13.835  	13.5913	0.0002	    40166.0  	      31.862   	13.8417	0.0009	     42700.0 	     26.169   	13.1858	0.0007	 0.6559	   --- 	 --- 	6475.0 	---   	---   	  1.89	    5.63 	  1.0  	Gulliver_2
-0.6893	-0.782 	 0.7697	  465.305	    ---  	    ---  	---  	 7	 ---	122.50263228991	0.1577	-37.38307507032	0.4155	5541098734928026368	  0.644  	0.3145	 -4.679	0.745	  4.504	1.077	0	     2126.9 	      4.571  	17.369 	0.0023	        ---  	       ---     	 ---   	---   	         --- 	      ---     	 ---   	---   	 ---   	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Gulliver_2
 0.0116	 0.2304	-0.0829	  709.2  	  190.99 	  228.342	1.296	16	 ---	122.66423850533	0.0302	-37.54055142981	0.0391	5541092962491703296	  0.7591 	0.0428	 -5.064	0.067	  4.56 	0.075	0	     6547.8 	      9.2327 	16.1481	0.0015	     2540.7  	      13.303   	16.839 	0.0057	      5942.4 	     26.024   	15.327 	0.0048	 1.512 	   --- 	 --- 	4369.98	---   	---   	  1.36	    0.609	  0.9  	Gulliver_2
-0.0247	 0.2698	 0.0224	  668.887	   71.709	  181.15 	1.341	17	 ---	122.47707004125	0.0816	-37.44514752087	0.0924	5541098112150628608	  0.6452 	0.1132	 -5.327	0.188	  4.206	0.173	0	     2032.3 	      3.0384 	17.4184	0.0016	      762.59 	      10.634   	18.1457	0.0151	      1962.2 	     10.832   	16.5301	0.006 	 1.6156	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Gulliver_2
