pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.1476	-0.207 	 0.3459	 1393.407	  113.47 	  348.246	1.342	11	 ---	262.56485068603	0.053 	-37.07411862593	0.0439	5974228624612553600	  0.6229 	0.0617	 -0.772	0.101	 -0.768	0.073	0	     9601.5 	      6.8907 	15.7325	0.0008	     3423.3  	      30.169   	16.5153	0.0096	      9460.2 	     27.165   	14.8222	0.0031	 1.6931	   --- 	 --- 	4251.67	---   	---   	  2.19	    1.406	  1.0  	Harvard_16
 0.0631	-0.2203	 0.345 	  995.965	   21.141	  225.611	1.72 	10	 ---	262.57910574904	0.1095	-37.03691989172	0.0834	5974228830757909504	  0.4913 	0.1191	 -0.504	0.202	 -0.048	0.143	0	     6456.0 	      6.4821 	16.1635	0.0011	      806.26 	      38.136   	18.0852	0.0514	     10297.0 	     45.639   	14.7302	0.0048	 3.355 	   --- 	 --- 	3816.39	2.885 	1.4597	  --- 	    ---  	  0.3  	Harvard_16
-0.0338	-0.1346	 0.2115	  712.578	   34.032	  134.45 	1.383	10	 ---	262.6887091066 	0.1246	-36.89885695516	0.1014	5974234504421106688	  0.6813 	0.1251	 -0.868	0.249	 -0.708	0.177	0	     1859.5 	      2.6095 	17.5149	0.0015	      627.81 	      18.448   	18.3568	0.0319	      1943.1 	     14.452   	16.5407	0.0081	 1.8161	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	Harvard_16
 0.2011	-0.2387	 0.2734	  676.226	    8.018	   87.687	1.538	11	 ---	262.4723661462 	0.142 	-37.14872485903	0.1129	5974222203634277888	  0.7243 	0.1496	 -0.849	0.268	 -0.139	0.19 	0	     1363.5 	      2.0163 	17.8517	0.0016	      487.12 	      60.751   	18.6323	0.1354	      1609.6 	     18.356   	16.7451	0.0124	 1.8872	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Harvard_16
 0.3477	-0.0986	 0.2804	 1253.079	  120.077	  207.842	1.348	10	 ---	262.58892135206	0.0798	-36.92545082933	0.0597	5974234190876353024	  0.6877 	0.0827	 -0.505	0.167	 -0.768	0.117	0	     3757.4 	      2.9985 	16.7511	0.0009	     1261.8  	      10.509   	17.5989	0.009 	      3803.4 	     18.3     	15.8115	0.0052	 1.7874	   --- 	 --- 	3974.0 	2.191 	1.103 	  1.54	    0.532	  1.0  	Harvard_16
-0.0054	-0.1746	 0.2267	 2771.705	  377.278	  477.0  	1.296	10	 ---	262.70090399985	0.0354	-36.89912363687	0.0281	5974231579537073152	  0.6257 	0.0343	 -0.838	0.07 	 -0.791	0.048	0	    32374.0 	     11.68   	14.4129	0.0004	    12500.0  	      33.131   	15.1092	0.0029	     29469.0 	     61.779   	13.5885	0.0023	 1.5206	   --- 	 --- 	4344.1 	---   	---   	  3.74	    4.488	  1.0  	Harvard_16
-0.1853	-0.3654	 0.4605	 1364.624	   91.169	  109.795	1.305	 9	 ---	262.64382035658	0.0689	-36.82704974186	0.0606	5974235707011966976	  0.6285 	0.0769	  0.079	0.142	 -1.373	0.103	0	     7530.3 	      5.5182 	15.9963	0.0008	     3037.9  	      33.321   	16.645 	0.0119	      6786.5 	     61.811   	15.1828	0.0099	 1.4622	   --- 	 --- 	4349.53	1.95  	0.9977	  1.79	    1.032	  0.2  	Harvard_16
 0.0224	-0.1001	 0.2477	 1220.946	   94.641	  208.748	1.368	10	 ---	262.67686589436	0.0716	-36.89338609403	0.0584	5974234573140585088	  0.7232 	0.0733	 -0.138	0.15 	 -1.56 	0.106	0	     4954.9 	      4.0583 	16.4508	0.0009	     1597.6  	      16.881   	17.3427	0.0115	      5179.7 	     24.813   	15.4762	0.0052	 1.8666	   --- 	 --- 	3883.5 	---   	---   	  1.81	    0.674	  0.2  	Harvard_16
 0.122 	-0.2177	 0.2669	  769.86 	   57.094	  114.757	1.337	 9	 ---	262.61966939052	0.0943	-36.80667932189	0.079 	5974235977582848128	  0.7362 	0.0949	 -0.575	0.213	 -1.171	0.152	0	     3251.5 	      4.2235 	16.9081	0.0014	     1193.8  	      20.909   	17.6591	0.019 	      3152.0 	     27.467   	16.0155	0.0095	 1.6436	   --- 	 --- 	4201.0 	---   	---   	  1.12	    0.35 	  0.6  	Harvard_16
