pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.3912	-0.0597	 0.1062	 1431.059000000	    56.694000000	  207.550000000	1.322	17	202.27481261211	0.0651	-61.29270000170	0.0589	5868654274013455744	  0.9324 	0.0844	-16.328	0.115	 -5.253	0.112	0	     2049.50000	      1.43220	17.409200	0.000800	      710.69000	     12.53600 	18.222200	0.019200	     1999.69995	      9.63480	16.509500	0.005200	 1.7127	       	     	       	      	      	      	         	0.00
 0.3301	-0.0314	 0.1443	  791.999000000	    41.193000000	   93.996000000	1.377	17	202.28501025395	0.1060	-61.29127855093	0.1011	5868654274013460864	  0.3560 	0.1370	-10.610	0.196	 -4.215	0.195	0	      864.69000	      1.09180	18.346200	0.001400	      345.22000	      8.38060 	19.006100	0.026400	      845.63000	      8.99640	17.444000	0.011600	 1.5622	       	     	       	      	      	      	         	0.00
 0.3746	-0.0923	 0.0975	 1253.700000000	    21.772000000	  217.708000000	1.867	17	202.28126708254	0.0939	-61.28728883984	0.0828	5868654278360255872	  0.1993 	0.1230	 -7.762	0.167	 -1.512	0.160	0	     2423.89990	      1.93340	17.227100	0.000900	      144.14999	      6.62070 	19.954400	0.049900	     4382.10010	     20.12800	15.657700	0.005000	 4.2967	       	     	       	      	      	      	         	0.00
 0.3496	-0.0123	 0.1092	  751.444000000	    25.744000000	  122.771000000	1.580	17	202.28136982573	0.1201	-61.29043398648	0.1116	5868654274013462912	  0.4343 	0.1542	 -5.892	0.222	 -1.186	0.216	0	      742.64001	      0.98828	18.511400	0.001400	      192.23000	      7.46680 	19.641900	0.042200	      981.35999	      7.99340	17.282300	0.008800	 2.3595	       	     	       	      	      	      	         	0.00
 0.3688	 0.0018	 0.1139	  543.770000000	    28.723000000	   65.540000000	1.398	17	202.28043623721	0.1760	-61.29696938953	0.1586	5868654278315938944	  0.3633 	0.2182	 -6.221	0.326	  0.648	0.307	0	      514.70001	      0.94654	18.909500	0.002000	      171.08000	      5.95610 	19.768400	0.037800	      548.47998	      8.36860	17.914000	0.016600	 1.8544	       	     	       	      	      	      	         	0.00
 0.4461	 0.0423	 0.1229	 2504.963000000	   178.156000000	  323.465000000	1.271	18	202.28749628432	0.0307	-61.29432136378	0.0328	5868654278360247680	  0.4506 	0.0454	 -4.375	0.057	 -1.253	0.065	0	     5503.39990	      2.19700	16.336800	0.000400	     2498.19995	     14.02300 	16.857300	0.006100	     4495.00000	     13.89600	15.630100	0.003400	 1.2272	       	     	4938.9 	      	      	  1.50	    1.198	0.00
 0.2911	-0.0554	 0.1807	 1350.909000000	    55.637000000	  239.866000000	1.382	17	202.48029649442	0.0846	-61.26276360583	0.0730	5868655236086929408	  0.2759 	0.1040	 -6.421	0.138	 -2.266	0.134	0	     1918.40002	      1.42010	17.481000	0.000800	      639.46002	     11.49300 	18.336900	0.019500	     2012.50000	      8.38990	16.502600	0.004500	 1.8342	       	     	       	      	      	      	         	0.00
 0.2549	-0.0826	 0.1940	 1114.002000000	    94.765000000	  345.025000000	1.399	17	202.44986869934	0.0869	-61.27624773551	0.0783	5868655206073201920	 -0.1893 	0.1130	 -8.255	0.145	 -0.926	0.145	0	     2146.60010	      1.92690	17.359000	0.001000	      668.15002	      7.05070 	18.289200	0.011500	     2334.69995	      6.76680	16.341300	0.003100	 1.9479	       	     	       	      	      	      	         	0.00
 0.4032	 0.0655	 0.1575	 1201.786000000	   193.873000000	  260.717000000	1.402	18	202.46554194428	0.0425	-61.27334632859	0.0444	5868655240388696832	  0.6054 	0.0618	-15.031	0.076	 -2.146	0.085	0	     3717.30005	      3.09310	16.762800	0.000900	     1543.59998	      7.96180 	17.380100	0.005600	     3669.39990	     14.07400	15.850400	0.004200	 1.5297	       	     	4427.6 	      	      	  1.24	    0.530	0.00
 0.3642	-0.0142	 0.1123	  964.042000000	    46.606000000	  173.497000000	1.369	18	202.45513478260	0.0847	-61.27767393359	0.0863	5868655201726429952	  0.3887 	0.1177	 -7.326	0.154	  0.185	0.166	0	     1218.00000	      1.26340	17.974300	0.001100	      400.13000	      8.58540 	18.845900	0.023300	     1267.50000	      7.30560	17.004500	0.006300	 1.8413	       	     	       	      	      	      	         	0.00
