pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.0318	-0.0602	 0.3875	 1768.23 	  102.747	  338.616	1.315	13	 ---	247.20622471188	0.0759	-49.01386618112	0.0405	5940668682188047744	  0.3579 	0.0858	 -1.699	0.129	 -3.028	0.071	0	     5241.2 	      2.9641 	16.3898	0.0006	     2060.0  	      20.049   	17.0667	0.0106	      4830.8 	     14.266   	15.5519	0.0032	 1.5149	   --- 	 --- 	4402.46	---   	---   	  --- 	    ---  	  0.4  	Hogg_19
-0.1277	-0.0466	 0.2786	 3763.867	  170.448	  817.958	1.448	14	 ---	247.12859144342	0.0407	-49.14367560051	0.028 	5940665967768498816	  0.3185 	0.048 	 -1.786	0.075	 -3.206	0.046	0	    19407.0 	      5.1562 	14.9685	0.0003	     4069.9  	      23.877   	16.3274	0.0064	     24041.0 	     29.391   	13.8095	0.0013	 2.5179	   --- 	 --- 	3850.49	2.525 	1.26  	  --- 	    ---  	  0.5  	Hogg_19
-0.1228	-0.0669	 0.3262	 1012.989	   98.675	  184.693	1.379	13	 ---	247.20882606607	0.1115	-49.17066630323	0.0785	5940663287708830336	  0.3636 	0.145 	 -1.878	0.211	 -3.475	0.123	0	     1734.1 	      1.7119 	17.5907	0.0011	      569.94 	       5.776   	18.4618	0.011 	      1821.6 	      9.863   	16.6108	0.0059	 1.851 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Hogg_19
-0.2121	 0.0136	 0.3094	 2094.262	  199.227	  426.701	1.369	13	 ---	247.06943151983	0.0607	-49.08962631251	0.039 	5940667445237332736	  0.3943 	0.071 	 -2.574	0.108	 -3.48 	0.066	0	     6125.4 	      2.9248 	16.2205	0.0005	     1921.0  	       9.6425  	17.1425	0.0054	      6464.1 	     15.149   	15.2357	0.0025	 1.9069	   --- 	 --- 	3847.81	---   	---   	  --- 	    ---  	  0.1  	Hogg_19
-0.0774	-0.0412	 0.2642	 1335.376	  313.045	  469.817	1.415	14	 ---	247.10003296341	0.0371	-49.17232761093	0.0246	5940666036487958528	  0.3523 	0.0407	 -1.915	0.066	 -2.9  	0.04 	0	    33868.0 	     25.362  	14.3639	0.0008	     8891.6  	      28.404   	15.4789	0.0035	     39047.0 	     83.11    	13.283 	0.0023	 2.196 	   --- 	 --- 	3550.0 	1.869 	0.92  	 13.1 	   24.558	  0.3  	Hogg_19
-0.0217	 0.0207	 0.3143	 1205.429	   77.62 	  176.298	1.304	12	 ---	247.27471422304	0.1107	-49.16835465703	0.0792	5940663867497257344	  0.4489 	0.1414	 -2.187	0.206	 -3.519	0.13 	0	     1869.4 	      1.5509 	17.5091	0.0009	      650.13 	       8.3759  	18.3189	0.014 	      1787.6 	     10.14    	16.6312	0.0062	 1.6876	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Hogg_19
-0.0755	-0.1277	 0.3254	 2076.809	  219.808	  402.868	1.282	13	 ---	247.25553277361	0.0562	-49.10134454328	0.0383	5940664868256852352	  0.2977 	0.0665	 -2.1  	0.102	 -3.158	0.064	0	     5601.3 	      2.6971 	16.3176	0.0005	     2345.6  	      10.671   	16.9258	0.0049	      4835.0 	     12.001   	15.5509	0.0027	 1.3748	   --- 	 --- 	4889.51	---   	---   	  --- 	    ---  	  0.8  	Hogg_19
-0.116 	-0.1038	 0.3767	 2380.638	  408.79 	  944.122	1.321	12	 ---	247.08297815456	0.0522	-49.08237455727	0.0316	5940667410877595008	  0.4306 	0.0648	 -1.979	0.084	 -3.391	0.053	0	     9621.5 	      4.0416 	15.7303	0.0005	     3464.2  	       8.4743  	16.5024	0.0027	      9241.8 	      9.7888  	14.8475	0.0011	 1.6548	   --- 	 --- 	4320.0 	---   	---   	  --- 	    ---  	  0.3  	Hogg_19
-0.0386	-0.1516	 0.5438	 1331.778	  145.825	  190.358	1.334	12	 ---	247.20420600563	0.1082	-49.02380221975	0.0527	5940668682187916160	  0.3359 	0.1215	 -1.511	0.153	 -4.07 	0.1  	0	     3369.9 	      2.5304 	16.8693	0.0008	     1287.2  	       8.8267  	17.5773	0.0074	      3207.2 	     16.848   	15.9966	0.0057	 1.5807	   --- 	 --- 	4330.0 	---   	---   	  --- 	    ---  	  0.2  	Hogg_19
