pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1172	-0.408 	-0.0189	 2008.209	  483.329	  559.095	1.262	15	 ---	325.46817714128	0.0257	 56.94953608356	0.0261	2178170025412446336	  0.9446 	0.0319	 -3.128	0.056	 -3.982	0.053	0	    16743.0 	      8.3372 	15.1288	0.0005	     7438.4  	      15.39    	15.6727	0.0022	     13689.0 	     24.485   	14.421 	0.0019	 1.2517	   --- 	 --- 	4837.0 	0.934 	0.4727	  1.31	    0.851	  0.1  	IC_1396
-0.1371	-0.1904	 0.0789	  116.976	   32.185	   41.468	1.431	16	 ---	325.57346280957	0.0426	 56.93058546355	0.0405	2178122815130080896	  0.9437 	0.0482	 -1.836	0.09 	 -5.36 	0.08 	0	    14370.0 	    122.84   	15.2948	0.0093	     4233.3  	     131.53    	16.2847	0.0337	     16328.0 	    393.75    	14.2296	0.0262	 2.0551	   --- 	 --- 	3660.5 	2.6055	1.3173	  2.88	    1.339	  0.2  	IC_1396
-0.1647	-0.3826	 0.0304	 3921.568	  680.025	 1225.328	1.217	14	 ---	324.70697781162	0.0175	 56.91863754067	0.0187	2178154494809854336	  1.0138 	0.0218	 -1.762	0.036	 -4.986	0.033	0	    82864.0 	     21.13   	13.3925	0.0003	    44047.0  	      64.772   	13.7416	0.0016	     56835.0 	     46.383   	12.8754	0.0009	 0.8662	   --- 	 --- 	5733.0 	1.1553	0.5805	  1.81	    3.193	  0.2  	IC_1396
-0.0877	-0.2175	 0.0148	 1578.137	  222.923	  902.535	1.29 	15	 ---	324.56337029607	0.0418	 56.85315263438	0.0448	2178156762552463232	  0.9463 	0.0503	 -1.082	0.091	 -4.519	0.087	0	     5659.2 	      3.586  	16.3065	0.0007	     2241.2  	      10.054   	16.9752	0.0049	      5061.9 	      5.6085  	15.5011	0.0012	 1.474 	   --- 	 --- 	4386.5 	---   	---   	  1.0 	    0.336	  0.1  	IC_1396
-0.1728	-0.2806	-0.0175	 3621.127	  790.028	  961.552	1.328	16	 ---	324.97254754466	0.0167	 56.77679149763	0.0177	2178163497061660160	  1.1206 	0.0197	 -1.504	0.034	 -3.978	0.033	0	    69595.0 	     19.219  	13.5819	0.0003	    24313.0  	      30.775   	14.3868	0.0014	     68096.0 	     70.819   	12.6791	0.0011	 1.7077	   --- 	 --- 	4225.0 	---   	---   	  3.34	    3.195	  0.5  	IC_1396
-0.07  	-0.3391	-0.0614	 3847.679	  510.326	 1145.799	1.257	15	 ---	324.46416597605	0.0182	 56.8134779851 	0.0183	2178155353803027584	  1.0154 	0.0223	 -3.689	0.038	 -3.25 	0.033	0	    31494.0 	      8.1853 	14.4428	0.0003	    14094.0  	      27.618   	14.9788	0.0021	     25481.0 	     22.238   	13.7464	0.0009	 1.2324	   --- 	 --- 	4935.18	---   	---   	  1.59	    1.352	  0.1  	IC_1396
-0.0647	-0.1472	-0.0875	 1256.841	  171.715	  354.992	1.319	16	 ---	325.13314466064	0.0526	 56.79379702423	0.0547	2178161504196940544	  0.9939 	0.0623	 -2.333	0.115	 -4.191	0.115	0	     3272.1 	      2.6035 	16.9013	0.0009	     1237.2  	       7.2052  	17.6202	0.0063	      3079.7 	      8.6755  	16.0406	0.0031	 1.5796	   --- 	 --- 	4440.0 	0.723 	0.3528	  0.7 	    0.172	  0.5  	IC_1396
-0.3795	-0.2395	-0.0538	 2386.863	  504.194	  441.714	1.296	14	 ---	325.43002570596	0.0256	 56.94549683333	0.0234	2178168719736969216	  1.1124 	0.0265	 -2.962	0.055	 -5.304	0.046	0	    31368.0 	     13.142  	14.4472	0.0005	    13407.0  	      26.591   	15.0331	0.0022	     27240.0 	     61.669   	13.6739	0.0025	 1.3592	   --- 	 --- 	4696.33	2.0415	1.0255	  1.65	    1.198	  0.7  	IC_1396
-0.0504	-0.1933	-0.1821	  641.847	   44.058	  134.328	1.38 	13	 ---	325.11987184074	0.1067	 57.00855046328	0.1158	2178167684641844864	  0.8825 	0.1265	 -3.194	0.248	 -4.632	0.286	0	     1302.4 	      2.0292 	17.9015	0.0017	      404.36 	       9.1779  	18.8345	0.0246	      1392.4 	     10.366   	16.9025	0.0081	 1.932 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	IC_1396
