pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0477	 0.3415	 0.5109	  341.013	   93.485	   95.173	1.342	10	 ---	 82.12539471897	0.1274	 34.75332727634	0.1096	 182674034369682560	  0.5468 	0.1688	  0.286	0.197	 -2.211	0.155	0	     2613.5 	      7.664  	17.1453	0.0032	      954.13 	      10.206   	17.9024	0.0116	      2552.3 	     26.817   	16.2446	0.0114	 1.6578	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	Kronberger_1
-0.0503	 0.3079	 0.5171	  546.79 	  112.754	  148.858	1.404	10	 ---	 82.10227530515	0.1192	 34.77710693935	0.1024	 182674304952449280	  0.5415 	0.1597	 -0.284	0.192	 -2.276	0.15 	0	     2640.6 	      4.8293 	17.1341	0.002 	      862.63 	       7.6506  	18.0118	0.0096	      2846.0 	     19.119   	16.1263	0.0073	 1.8855	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	Kronberger_1
-0.0948	 0.2809	 0.4728	  446.143	   25.354	  130.015	1.421	10	 ---	 82.14701739041	0.1503	 34.78928871523	0.1248	 182674412326798976	  0.2556 	0.1813	  0.721	0.23 	 -2.731	0.176	0	     2029.9 	      4.5498 	17.4197	0.0024	      615.35 	      24.27    	18.3786	0.0428	      2269.1 	     17.453   	16.3723	0.0084	 2.0063	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Kronberger_1
 0.0742	 0.3497	 0.567 	 3050.88 	  459.279	  823.91 	1.208	10	 ---	 82.12513146222	0.056 	 34.7864936444 	0.0457	 182674446686539136	  0.4205 	0.0751	  0.024	0.085	 -2.444	0.067	0	   149900.0 	     49.134  	12.7489	0.0004	    91710.0  	     199.68    	12.9453	0.0024	     89397.0 	    108.5     	12.3836	0.0013	 0.5617	   --- 	 --- 	7068.75	---   	---   	  3.83	   32.951	  0.9  	Kronberger_1
 0.0309	 0.3012	 0.5222	 2475.468	  337.565	  556.143	1.208	10	 ---	 82.12717192433	0.0399	 34.76071903897	0.0338	 182674068729419264	  0.3935 	0.0528	 -0.129	0.064	 -2.355	0.051	0	    44815.0 	     18.103  	14.0598	0.0004	    27321.0  	      80.935   	14.2602	0.0032	     26797.0 	     48.184   	13.6917	0.002 	 0.5685	   --- 	 --- 	7065.5 	---   	---   	  2.24	   11.251	  1.0  	Kronberger_1
 0.2483	 0.5464	 0.6963	 1190.71 	  250.979	  411.691	1.297	 9	 ---	 82.10074912236	0.0625	 34.77660169113	0.0647	 182674309247588480	  0.4111 	0.1138	 -0.155	0.105	 -2.066	0.087	0	    11074.0 	      9.3007 	15.5776	0.0009	     4565.2  	      18.19    	16.2027	0.0043	      9798.4 	     23.8     	14.784 	0.0026	 1.4187	   --- 	 --- 	4469.0 	---   	---   	  --- 	    ---  	  0.7  	Kronberger_1
 0.0071	 0.3489	 0.5299	 1609.982	  331.539	  722.501	1.261	10	 ---	 82.12372124673	0.0585	 34.75231450917	0.0496	 182674034369682816	  0.6108 	0.0783	 -0.092	0.09 	 -1.525	0.071	0	    11046.0 	      6.8609 	15.5804	0.0007	     4958.9  	      14.957   	16.1129	0.0033	      8965.9 	     12.41    	14.8804	0.0015	 1.2325	   --- 	 --- 	4867.61	1.588 	0.76  	  1.62	    1.332	  0.6  	Kronberger_1
-0.1459	 0.3146	 0.469 	  493.814	   52.654	   80.803	1.371	10	 ---	 82.05914143315	0.1917	 34.73103497592	0.1615	 182668257635175936	  0.1597 	0.2311	 -0.067	0.292	 -1.897	0.226	0	     1264.2 	      2.5601 	17.9338	0.0022	      514.72 	       9.7755  	18.5725	0.0206	      1218.8 	     15.084   	17.0471	0.0134	 1.5254	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Kronberger_1
-0.0315	 0.3427	 0.5186	  589.162	   92.752	  151.047	1.31 	10	 ---	 82.08362047375	0.0679	 34.75015903345	0.0574	 182668399372593664	  0.285  	0.089 	 -0.127	0.105	 -2.622	0.082	0	     7914.9 	     13.434  	15.9423	0.0018	     3052.1  	      32.906   	16.6399	0.0117	      7320.2 	     48.463   	15.1006	0.0072	 1.5393	   --- 	 --- 	4328.0 	1.9925	1.011 	  --- 	    ---  	  1.0  	Kronberger_1
