pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.1980	-0.2531	-0.1444	  830.447000000	    35.178000000	  115.842000000	1.418	13	310.75903948206	0.1036	 45.28269589789	0.1163	2070211035955338496	  0.3003 	0.1344	 -0.205	0.215	 -5.339	0.210	0	     1380.09998	      1.66190	17.838600	0.001300	      504.62000	     14.34500 	18.594000	0.030900	     1452.80005	     12.54100	16.856400	0.009400	 1.7376	       	     	       	      	      	      	         	0.00
-0.1844	-0.2440	-0.1305	  812.765000000	    33.038000000	  154.713000000	1.417	12	310.75438980340	0.0936	 45.28399254450	0.0956	2070211035955339264	  0.3093 	0.1131	 -5.400	0.190	 -6.617	0.180	0	     1554.80005	      1.91300	17.709200	0.001300	      563.21002	     17.04700 	18.474700	0.032900	     1640.30005	     10.60200	16.724600	0.007000	 1.7501	       	     	       	      	      	      	         	0.00
-0.1403	-0.1413	-0.0180	 1152.940000000	    86.357000000	  169.867000000	1.349	13	310.82186865468	0.0672	 45.31113978271	0.0652	2070212414645280768	  0.3245 	0.0796	 -1.525	0.138	 -3.602	0.120	0	     2802.89990	      2.43110	17.069300	0.000900	     1041.59998	     12.06100 	17.807200	0.012600	     2738.50000	     16.12100	16.168100	0.006400	 1.6390	       	     	       	      	      	      	         	0.00
-0.2280	-0.1947	-0.1836	  502.979000000	    21.407000000	   84.167000000	1.426	12	310.77877551436	0.1657	 45.29401221378	0.1949	2070212547783856512	  0.3269 	0.2089	 -1.516	0.342	 -2.251	0.450	0	      793.84003	      1.57830	18.439000	0.002200	      278.85999	     13.02600 	19.237900	0.050700	      853.46002	     10.14000	17.434000	0.012900	 1.8039	       	     	       	      	      	      	         	0.00
-0.3036	-0.3535	 0.0626	  833.925000000	    50.687000000	  229.115000000	1.378	12	310.77989740243	0.0986	 45.29265637781	0.1044	2070212552084126208	  0.4549 	0.1117	 -1.489	0.203	 -2.256	0.208	0	     1673.90002	      2.00730	17.629000	0.001300	      593.83002	     11.71600 	18.417200	0.021400	     1712.59998	      7.47470	16.677800	0.004700	 1.7394	       	     	       	      	      	      	         	0.00
-0.2499	-0.3352	-0.1288	  766.351000000	    47.743000000	  148.821000000	1.401	 9	310.79027032510	0.1318	 45.30027467229	0.1422	2070212483364659584	  1.4131 	0.1652	 -1.357	0.241	 -2.896	0.207	1	     1801.69995	      2.35100	17.549200	0.001400	      538.16998	     11.27200 	18.524100	0.022700	     1985.80005	     13.34300	16.517100	0.007300	 2.0070	       	     	       	      	      	      	         	0.00
-0.1221	-0.2422	-0.0628	 1129.849000000	    56.220000000	  195.830000000	1.362	13	310.76566305226	0.0660	 45.29871653452	0.0684	2070212517724493568	  0.4810 	0.0843	 -2.648	0.140	 -2.567	0.130	0	     2640.80005	      2.33730	17.134000	0.001000	      971.90997	     17.28800 	17.882300	0.019300	     2625.80005	     13.40800	16.213800	0.005500	 1.6685	       	     	       	      	      	      	         	0.00
-0.1953	-0.2225	-0.1247	 1828.427000000	    98.014000000	  361.501000000	1.327	12	310.77628940363	0.0374	 45.29735789159	0.0387	2070212552084232192	  0.6514 	0.0451	 -2.631	0.075	 -5.175	0.070	0	     8505.50000	      4.65180	15.864100	0.000600	     3150.00000	     32.13900 	16.605600	0.011100	     8137.89990	     22.51100	14.985600	0.003000	 1.6200	       	     	4282.0 	      	      	  1.92	    1.122	0.00
-0.1455	-0.2298	-0.0105	 3196.961000000	   381.847000000	  629.921000000	1.274	12	310.78374232144	0.0247	 45.31348904595	0.0302	2070212655163352960	  0.6916 	0.0321	 -1.496	0.049	 -2.153	0.058	0	    19537.00000	      6.11110	14.961200	0.000300	     8266.50000	     21.64900 	15.558100	0.002800	    16630.00000	     26.40000	14.209700	0.001700	 1.3484	       	     	4733.5 	      	      	  2.05	    1.908	0.00
-0.0889	-0.1814	-0.0924	  515.648000000	    29.546000000	   74.123000000	1.403	12	310.79408753271	0.1238	 45.30553351615	0.1205	2070212586443879296	  0.6132 	0.1472	 -4.733	0.255	 -5.366	0.251	0	     1144.80005	      2.22020	18.041500	0.002100	      393.82001	     13.32900 	18.863200	0.036700	     1212.30005	     16.35500	17.052900	0.014600	 1.8102	       	     	       	      	      	      	         	0.02
