pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.1249	 0.0094	 0.0072	  535.104	   80.511	  132.95 	1.341	 9	 ---	273.76990454989	0.0993	-19.08695263175	0.1101	4094735199107963520	  0.6937 	0.125 	  0.279	0.184	 -1.447	0.159	0	     4152.8 	      7.7608 	16.6425	0.002 	     1752.5  	      21.767   	17.2423	0.0135	      3818.0 	     28.718   	15.8073	0.0082	 1.4349	   --- 	 --- 	4485.0 	1.292 	0.656 	  --- 	    ---  	  0.1  	Markarian_38
 0.0887	-0.0557	-0.0652	 2267.02 	  307.09 	  420.734	1.237	10	 ---	273.75725120923	0.0418	-19.09013542868	0.0401	4094738124007953280	  0.5312 	0.0445	  0.199	0.08 	 -2.304	0.065	0	    16886.0 	      7.4485 	15.1196	0.0005	     8648.4  	      28.162   	15.5091	0.0035	     12248.0 	     29.111   	14.5418	0.0026	 0.9673	   --- 	 --- 	5321.75	---   	---   	  1.85	    2.468	  0.1  	Markarian_38
 0.1112	 0.0716	-0.12  	  993.718	   67.634	   77.951	1.344	 9	 ---	273.72962310891	0.0739	-19.09287570895	0.0695	4094738055288509824	  0.423  	0.0743	  0.546	0.157	 -2.274	0.138	0	     4424.9 	      4.4529 	16.5736	0.0011	     2237.1  	      33.077   	16.9772	0.0161	      3710.0 	     47.593   	15.8385	0.0139	 1.1387	   --- 	 --- 	4970.0 	0.988 	0.51  	  --- 	    ---  	  0.3  	Markarian_38
 0.0189	 0.0323	-0.0236	 2046.672	  390.096	  436.568	1.271	10	 ---	273.68425785042	0.0392	-19.00883001065	0.0378	4094739601476901760	  0.4262 	0.0419	  0.425	0.079	 -2.048	0.065	0	    12526.0 	      6.1204 	15.4438	0.0005	     5547.2  	      14.22    	15.9912	0.0028	     10368.0 	     23.749   	14.7227	0.0025	 1.2685	   --- 	 --- 	4796.99	---   	---   	  2.57	    3.163	  0.1  	Markarian_38
 0.0353	 0.1058	-0.0176	 1675.547	  196.142	  629.254	1.194	10	 ---	273.79729403532	0.0399	-19.09500080353	0.0381	4094735130386510080	  0.5712 	0.0441	  0.032	0.086	 -2.317	0.068	1	   509670.0 	    304.18   	11.4201	0.0006	   363340.0  	    1852.4     	11.4506	0.0055	    245410.0 	    390.0     	11.2872	0.0017	 0.1634	   --- 	 --- 	9522.75	---   	---   	  --- 	    ---  	  0.1  	Markarian_38
 0.3941	-0.0038	-0.0064	  540.228	   60.086	   79.906	1.377	 8	 ---	273.79648599385	0.1544	-19.12890013196	0.1392	4094734825472956288	  0.5903 	0.1307	  0.974	0.298	 -2.442	0.24 	0	     1669.8 	      3.0909 	17.6317	0.002 	      771.35 	      12.837   	18.1333	0.0181	      1527.4 	     19.115   	16.802 	0.0136	 1.3313	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Markarian_38
 0.2452	-0.027 	-0.004 	  589.528	   34.627	   74.818	1.387	10	 ---	273.69644610421	0.1524	-19.0284092182 	0.1461	4094739494075479680	  0.5623 	0.1488	  1.353	0.296	 -2.187	0.251	0	     1255.5 	      2.1297 	17.9413	0.0018	      525.44 	      15.174   	18.5501	0.0314	      1216.3 	     16.257   	17.0493	0.0145	 1.5008	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Markarian_38
-0.1042	 0.0863	-0.0893	 1951.269	  566.828	  731.466	1.239	10	 ---	273.71049062469	0.0329	-19.08296022361	0.0318	4094738261446976256	  0.6081 	0.036 	  0.649	0.07 	 -2.259	0.057	0	    20943.0 	     10.733  	14.8858	0.0006	    10360.0  	      18.277   	15.313 	0.0019	     15579.0 	     21.298   	14.2806	0.0015	 1.0324	   --- 	 --- 	5158.1 	---   	---   	  1.94	    2.395	  0.5  	Markarian_38
 0.0372	 0.0323	-0.0408	 2970.933	  272.671	  775.519	1.23 	10	 ---	273.77621493639	0.0299	-19.09989850456	0.0289	4094735100350936960	  0.5491 	0.0317	  0.652	0.061	 -2.186	0.05 	0	    28094.0 	      9.4563 	14.5668	0.0004	    15248.0  	      55.921   	14.8933	0.004 	     19302.0 	     24.89    	14.0479	0.0014	 0.8455	   --- 	 --- 	5598.88	---   	---   	  2.05	    3.729	  0.5  	Markarian_38
