pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1338	-0.1804	 0.362 	  935.257	   42.726	   93.215	1.368	18	 ---	  5.63411149012	0.0792	 61.63331298978	0.0725	 428945775498282624	  0.4836 	0.107 	 -3.705	0.148	 -0.472	0.129	0	     1484.3 	      1.587  	17.7596	0.0012	      666.9  	      15.609   	18.2912	0.0254	      1364.0 	     14.633   	16.9249	0.0116	 1.3664	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Mayer_1
-0.2566	-0.3849	 0.3652	 1308.907	  170.881	  247.631	1.292	17	 ---	  5.54295632386	0.0522	 61.5953256103 	0.0464	 428948215044202240	  0.2926 	0.0727	 -2.474	0.107	 -1.132	0.086	1	     3259.7 	      2.4904 	16.9054	0.0008	     1409.8  	       8.2502  	17.4785	0.0064	      2801.1 	     11.312   	16.1436	0.0044	 1.3349	   --- 	 --- 	4750.0 	---   	---   	  --- 	    ---  	  0.3  	Mayer_1
-0.258 	-0.3152	 0.2293	 1441.973	  162.601	  358.105	1.328	18	 ---	  5.36243082976	0.055 	 61.5782665796 	0.0424	 428947218611782528	  0.1847 	0.0621	 -2.603	0.099	 -0.872	0.079	0	     3976.8 	      2.7579 	16.6895	0.0008	     1555.7  	       9.5676  	17.3716	0.0067	      3725.2 	     10.403   	15.834 	0.003 	 1.5375	   --- 	 --- 	4453.75	---   	---   	  --- 	    ---  	  0.1  	Mayer_1
-0.1307	-0.305 	 0.2372	 1219.545	   91.864	  376.682	1.357	19	 ---	  5.70719385792	0.0614	 61.58394315589	0.0545	 428944602969050240	  0.1774 	0.08  	 -2.504	0.117	 -0.864	0.095	0	     2202.6 	      1.8061 	17.331 	0.0009	      853.6  	       9.292   	18.0233	0.0118	      2134.3 	      5.666   	16.4388	0.0029	 1.5845	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Mayer_1
-0.2396	-0.2237	 0.2793	 3027.376	  703.785	  671.18 	1.24 	18	 ---	  5.5806824287 	0.0207	 61.60591117807	0.0188	 428945294466435968	  0.2978 	0.0261	 -3.179	0.041	 -1.01 	0.035	0	    18712.0 	      6.1809 	15.0081	0.0004	     9416.3  	      13.38    	15.4167	0.0015	     13786.0 	     20.54    	14.4133	0.0016	 1.0034	   --- 	 --- 	5142.21	---   	---   	  3.77	    8.948	  0.2  	Mayer_1
-0.1565	-0.1446	 0.062 	 2164.294	  302.252	  515.699	1.331	18	 ---	  5.10936678417	0.0246	 61.7282153337 	0.0237	 428962371256268544	  0.2445 	0.0319	 -3.195	0.053	 -0.882	0.046	0	    14025.0 	      6.48   	15.3211	0.0005	     5395.2  	      17.85    	16.0214	0.0036	     13276.0 	     25.745   	14.4542	0.0021	 1.5672	   --- 	 --- 	4313.86	---   	---   	  --- 	    ---  	  0.1  	Mayer_1
-0.2308	-0.1872	 0.2901	 2628.32 	  548.293	  722.874	1.237	18	 ---	  5.48698600391	0.0217	 61.5264647493 	0.02  	 428946080437649536	  0.311  	0.0283	 -3.14 	0.045	 -1.089	0.036	0	    17596.0 	      6.6949 	15.0748	0.0004	     9251.3  	      16.873   	15.4359	0.002 	     12512.0 	     17.308   	14.5186	0.0015	 0.9172	   --- 	 --- 	5353.7 	---   	---   	  3.18	    7.474	  0.1  	Mayer_1
-0.149 	-0.1539	 0.1299	  993.466	   79.125	  141.628	1.319	19	 ---	  5.30043934663	0.0856	 61.65485364027	0.0854	 428949520714178944	  0.2177 	0.1097	 -3.582	0.169	 -1.232	0.157	0	     1264.3 	      1.2726 	17.9337	0.0011	      533.0  	       6.7361  	18.5346	0.0137	      1135.1 	      8.015   	17.1243	0.0077	 1.4103	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Mayer_1
-0.1427	-0.0928	 0.2553	 1001.54 	  139.01 	  219.521	1.309	18	 ---	  5.50264813515	0.0632	 61.63209567377	0.0611	 428948313819276800	  0.3741 	0.0824	 -4.037	0.132	 -0.768	0.11 	0	     2123.8 	      2.1206 	17.3706	0.0011	      930.34 	       6.6926  	17.9298	0.0078	      1849.8 	      8.4266  	16.5941	0.0049	 1.3357	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Mayer_1
