pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.2875	 0.1531	 0.0053	  406.932000000	    32.427000000	   60.795000000	1.330	14	111.30496574313	0.1597	-21.10983709005	0.1900	5619904061882968448	  0.4520 	0.2704	 -0.164	0.325	  1.648	0.403	0	      403.03000	      0.99042	19.175000	0.002700	      196.50000	      6.05980 	19.618000	0.033500	      339.42999	      5.58320	18.435000	0.017900	 1.1829	       	     	       	      	      	      	         	0.00
-0.1813	 0.1875	-0.1039	  656.327000000	   109.513000000	  141.127000000	1.253	15	111.31099530737	0.0912	-21.10494412570	0.1073	5619904066187946752	  0.0107 	0.1436	 -1.357	0.183	  2.511	0.208	0	      924.21002	      1.40820	18.273900	0.001700	      446.79999	      4.07990 	18.726100	0.009900	      711.60999	      5.04240	17.631300	0.007700	 1.0948	       	     	       	      	      	      	         	0.00
-0.1206	 0.1432	-0.2125	  706.304000000	    51.090000000	  139.891000000	1.304	14	111.30737865770	0.1105	-21.10995624590	0.1187	5619904066188121728	  0.3836 	0.1625	 -1.448	0.217	  4.928	0.228	0	      838.78003	      1.18760	18.379300	0.001500	      392.35999	      7.67990 	18.867200	0.021300	      701.67999	      5.01590	17.646600	0.007800	 1.2206	       	     	       	      	      	      	         	0.00
-0.1674	 0.1885	-0.1198	 2545.747000000	   566.630000000	 1665.275000000	1.189	15	111.26726444701	0.0252	-21.10622030444	0.0312	5619904749077723008	  0.3040 	0.0384	 -2.404	0.051	  3.131	0.060	0	   397890.00000	    156.30000	11.689000	0.000400	   289170.00000	    510.32999 	11.698500	0.001900	   183910.00000	    110.44000	11.600400	0.000700	 0.0981	       	     	9593.0 	      	      	      	         	1.00
-0.2886	 0.3015	-0.2290	  617.390000000	    31.506000000	   76.810000000	1.406	14	111.26507832960	0.1087	-21.10741007144	0.1355	5619904749078029440	  0.6281 	0.1849	 -1.669	0.218	  0.940	0.256	0	      756.96002	      1.22610	18.490700	0.001800	      345.31000	     10.96000 	19.005900	0.034500	      719.03998	      9.36120	17.620000	0.014100	 1.3858	       	     	       	      	      	      	         	0.00
-0.2892	 0.1567	 0.0018	  356.000000000	    34.702000000	   52.726000000	1.319	14	111.30248404870	0.1767	-21.09658507593	0.2275	5619904817797247360	  0.2046 	0.3112	 -0.736	0.363	  1.503	0.474	0	      333.45001	      0.93665	19.380800	0.003100	      143.60001	      4.13810 	19.958500	0.031300	      296.20999	      5.61790	18.582900	0.020600	 1.3756	       	     	       	      	      	      	         	0.00
-0.2206	 0.2459	-0.1788	  676.567000000	    32.060000000	  129.392000000	1.443	15	111.27764393448	0.0915	-21.09471959717	0.1061	5619904852156990080	  1.4470 	0.1416	 -3.163	0.183	 10.022	0.202	0	      987.60999	      1.45970	18.201900	0.001600	      269.20999	      8.39700 	19.276200	0.033900	     1156.40002	      8.93700	17.104200	0.008400	 2.1720	       	     	       	      	      	      	         	0.00
-0.1814	 0.2094	-0.1437	 1402.415000000	   278.510000000	  317.079000000	1.235	15	111.28836288279	0.0322	-21.09549157634	0.0395	5619904886516742656	  0.5354 	0.0519	 -2.258	0.065	  0.486	0.074	0	     5425.89990	      3.86900	16.352200	0.000800	     2723.30005	      9.77820 	16.763600	0.003900	     3975.10010	     12.53700	15.763500	0.003400	 1.0001	       	     	5170.0 	0.4540	0.2360	  1.11	    0.799	0.00
-0.1707	 0.2501	-0.1695	  634.145000000	    51.804000000	   76.855000000	1.294	15	111.29750666055	0.0948	-21.09007145680	0.1205	5619904886516742784	  0.4656 	0.1613	 -2.354	0.191	 -1.653	0.229	0	      829.31000	      1.30780	18.391600	0.001700	      387.53000	      7.48070 	18.880600	0.021000	      685.57001	      8.92020	17.671800	0.014100	 1.2088	       	     	       	      	      	      	         	0.00
-0.1703	 0.2370	-0.1756	  624.613000000	    52.344000000	   89.807000000	1.288	15	111.29663768597	0.0967	-21.09142772199	0.1112	5619904886516742912	  0.1773 	0.1580	 -1.249	0.192	  3.833	0.212	0	      868.21997	      1.39000	18.341800	0.001700	      399.85001	      7.63890 	18.846600	0.020700	      718.33002	      7.99860	17.621100	0.012100	 1.2255	       	     	       	      	      	      	         	0.00
-0.1766	 0.2335	-0.1636	  547.915000000	    45.990000000	  110.074000000	1.347	15	111.28800958887	0.1149	-21.09036607832	0.1337	5619904886516743040	  0.4016 	0.1835	 -2.337	0.230	  2.088	0.253	0	      645.00000	      1.17720	18.664500	0.002000	      290.00000	      6.30580 	19.195400	0.023600	      578.54999	      5.25600	17.856100	0.009900	 1.3393	       	     	       	      	      	      	         	0.01
