pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.3781	-0.2058	 0.375 	 2336.058	  182.727	  771.676	1.473	17	 ---	 16.82251424393	0.0352	 62.16982235694	0.0374	 522661309065458432	  0.2354 	0.0583	 -2.609	0.062	  0.344	0.068	0	    10156.0 	      4.3474 	15.6716	0.0005	     1931.4  	      10.57    	17.1367	0.0059	     13029.0 	     16.883   	14.4747	0.0014	 2.662 	   --- 	 --- 	3532.33	2.631 	1.3145	  --- 	    ---  	  0.1  	NGC_366
-0.2984	-0.2654	 0.3826	 1052.016	   58.637	  237.206	1.345	18	 ---	 16.73663101844	0.0766	 62.17799091477	0.0879	 522661442199106048	  0.2843 	0.1275	 -2.651	0.147	  0.078	0.156	0	     1523.8 	      1.4485 	17.731 	0.001 	      471.67 	       8.0439  	18.6673	0.0185	      1578.3 	      6.6538  	16.7664	0.0046	 1.9009	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	NGC_366
-0.399 	-0.1974	 0.3868	 1421.798	  105.748	  286.899	1.336	17	 ---	 16.83034433269	0.0528	 62.19541707719	0.0585	 522662820893939072	  0.3613 	0.0896	 -1.947	0.1  	 -0.518	0.107	0	     2722.1 	      1.9146 	17.1011	0.0008	      978.73 	       9.2554  	17.8747	0.0103	      2656.9 	      9.2608  	16.201 	0.0038	 1.6737	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.8  	NGC_366
-0.4134	-0.2752	 0.4176	 4682.864	  723.443	 1737.562	1.259	17	 ---	 16.83946362749	0.1035	 62.19495436923	0.1125	 522662752174462592	  0.3566 	0.1806	 -2.967	0.195	 -0.051	0.208	0	    59542.0 	     12.715  	13.7513	0.0002	    27187.0  	      37.581   	14.2655	0.0015	     47753.0 	     27.483   	13.0644	0.0006	 1.2011	   --- 	 --- 	4882.15	---   	---   	  --- 	    ---  	  0.1  	NGC_366
-0.4051	-0.2681	 0.3828	 1981.241	  183.668	  409.586	1.298	17	 ---	 16.83469229122	0.0328	 62.19309615401	0.0377	 522662820893939840	  0.4072 	0.0561	 -1.267	0.061	 -0.359	0.07 	0	     5755.3 	      2.9049 	16.2882	0.0005	     2403.7  	      13.087   	16.8992	0.0059	      5064.2 	     12.364   	15.5006	0.0027	 1.3985	   --- 	 --- 	4700.17	2.5345	1.2542	  1.93	    1.638	  0.1  	NGC_366
-0.3181	-0.1986	 0.3445	 1754.493	  226.106	  454.368	1.301	16	 ---	 16.75509394424	0.0341	 62.22172183019	0.0394	 522661618303017984	  0.4061 	0.0578	 -1.443	0.064	 -0.295	0.07 	0	     5798.2 	      3.3048 	16.2801	0.0006	     2269.2  	      10.036   	16.9617	0.0048	      5276.7 	     11.613   	15.456 	0.0024	 1.5057	   --- 	 --- 	4501.75	2.966 	1.501 	  --- 	    ---  	  0.1  	NGC_366
-0.3266	-0.2623	 0.4198	 1726.303	  134.387	  460.267	1.367	17	 ---	 16.73871008826	0.0339	 62.21229241631	0.0382	 522661583943280000	  0.2107 	0.0566	 -2.205	0.063	 -0.067	0.069	0	     5642.0 	      3.2682 	16.3098	0.0006	     1742.7  	      12.968   	17.2484	0.0081	      5967.5 	     12.965   	15.3224	0.0024	 1.9259	   --- 	 --- 	3882.0 	1.5467	0.7793	  --- 	    ---  	  0.2  	NGC_366
-0.3988	-0.2387	 0.4172	 2462.249	  329.318	  551.579	1.285	17	 ---	 16.81092456273	0.028 	 62.19893090191	0.0305	 522661343425112192	  0.3309 	0.0472	 -1.165	0.052	 -0.414	0.055	0	     8156.1 	      3.3125 	15.9097	0.0004	     3372.1  	      10.24    	16.5316	0.0033	      7105.3 	     12.882   	15.133 	0.002 	 1.3987	   --- 	 --- 	4570.1 	---   	---   	  --- 	    ---  	  0.1  	NGC_366
-0.3327	-0.1834	 0.3671	 4797.983	  930.863	 1355.694	1.259	18	 ---	 16.73118271941	0.0151	 62.19458165889	0.0164	 522661480864065792	  0.3637 	0.0242	 -2.07 	0.027	 -0.446	0.029	0	    41653.0 	      8.6813 	14.1393	0.0002	    18764.0  	      20.157   	14.6681	0.0012	     33663.0 	     24.831   	13.444 	0.0008	 1.2241	   --- 	 --- 	4851.63	---   	---   	  5.34	   14.227	  1.0  	NGC_366
