pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.033 	 0.1587	-0.0479	  354.385	  106.524	  127.475	1.334	17	 ---	129.84760741985	0.0211	-39.71294403583	0.027 	5528440607305712000	  1.0367 	0.0283	 -5.499	0.046	  4.136	0.05 	0	    13605.0 	     38.391  	15.3541	0.0031	     4517.5  	      42.409   	16.2141	0.0102	     13628.0 	    106.91    	14.4258	0.0085	 1.7883	   --- 	 --- 	4066.5 	2.956 	1.4885	  1.8 	    0.801	  1.0  	Pismis_5
 0.0421	 0.1123	-0.0621	 1052.705	   56.865	  429.723	1.42 	17	 ---	129.37832744525	0.0486	-39.88106521418	0.0668	5528599418017070720	  1.0718 	0.0704	 -5.099	0.108	  3.92 	0.134	0	     3467.3 	      3.2937 	16.8384	0.001 	      792.26 	      13.932   	18.1042	0.0191	      4130.8 	      9.6127  	15.7218	0.0025	 2.3824	   --- 	 --- 	3502.25	---   	---   	  1.44	    0.282	  0.7  	Pismis_5
-0.0247	-0.0237	 0.0507	  374.709	   21.617	  118.009	1.562	16	 ---	129.37995395792	0.0875	-39.88344813189	0.1177	5528599207558494336	  1.1347 	0.1262	 -5.387	0.196	  4.489	0.247	0	     1261.0 	      3.3652 	17.9366	0.0029	      194.09 	       8.9788  	19.6314	0.0502	      1776.2 	     15.051   	16.6382	0.0092	 2.9932	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	Pismis_5
 0.0111	 0.2544	-0.025 	  139.167	   28.611	   45.778	1.549	15	 ---	129.41618799146	0.0649	-39.58135388161	0.0855	5528624294467371392	  1.0325 	0.0891	 -5.536	0.145	  4.518	0.157	0	     1952.9 	     14.033  	17.4616	0.0078	      473.6  	      16.553   	18.6629	0.0379	      2551.1 	     55.728   	16.2451	0.0237	 2.4178	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	Pismis_5
-0.009 	 0.1175	 0.0159	 3730.422	  749.488	 1048.733	1.228	16	 ---	129.3872470645 	0.0203	-39.55046694616	0.0273	5528624638064755456	  1.0372 	0.0266	 -5.432	0.045	  4.304	0.054	0	   251880.0 	     67.52   	12.1854	0.0003	   125120.0  	     166.95    	12.608 	0.0014	    184090.0 	    175.54    	11.5993	0.001 	 1.0087	   --- 	 --- 	5209.71	---   	---   	  3.85	    9.817	  1.0  	Pismis_5
-0.0322	 0.2453	 0.1793	  841.711	   63.288	  137.773	1.381	16	 ---	129.18507958048	0.0806	-39.79273468817	0.0952	5528615253556362496	  0.946  	0.1175	 -4.761	0.179	  4.544	0.198	0	     1219.0 	      1.4483 	17.9733	0.0013	      364.34 	       5.7569  	18.9476	0.0172	      1318.9 	      9.5729  	16.9614	0.0079	 1.9862	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Pismis_5
 0.0281	 0.2003	 0.0587	 1215.669	  181.299	  322.961	1.326	16	 ---	128.95126088831	0.0453	-39.66037979082	0.055 	5528666350787289088	  0.9784 	0.0651	 -4.927	0.102	  3.573	0.111	0	     3941.3 	      3.2421 	16.6993	0.0009	     1357.7  	       7.4887  	17.5194	0.006 	      3866.8 	     11.973   	15.7935	0.0034	 1.7258	   --- 	 --- 	4070.0 	1.514 	0.7163	  1.03	    0.26 	  0.3  	Pismis_5
 0.1542	 0.1989	-0.0691	  470.356	   43.637	   93.067	1.461	14	 ---	129.40555191419	0.0408	-39.57408254301	0.0448	5528624363186849280	  1.0152 	0.0498	 -5.687	0.096	  4.311	0.087	0	     7265.1 	     15.446  	16.0353	0.0023	     2488.8  	      57.034   	16.8614	0.0249	      8125.9 	     87.313   	14.9872	0.0117	 1.8742	   --- 	 --- 	4108.18	---   	---   	  1.3 	    0.434	  1.0  	Pismis_5
-0.0246	 0.1232	-0.0088	 1422.012	  246.466	  356.027	1.304	15	 ---	129.39535161682	0.0154	-39.57011908671	0.0214	5528624191388159360	  1.0841 	0.0208	 -5.488	0.035	  4.154	0.039	1	    37416.0 	     26.312  	14.2557	0.0008	    13893.0  	      56.371   	14.9944	0.0044	     34886.0 	     97.986   	13.4053	0.003 	 1.5891	   --- 	 --- 	4332.5 	---   	---   	  2.34	    1.737	  1.0  	Pismis_5
