pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0634	 0.0036	 0.1301	  532.763	  116.091	  104.823	1.472	14	 ---	122.82245716635	0.0462	-46.22094748565	0.0568	5519597304008931328	  2.9177 	0.0619	 -6.5  	0.103	  9.806	0.099	0	     7631.5 	     14.324  	15.9818	0.002 	     1555.1  	      13.396   	17.372 	0.0094	      9679.3 	     92.34    	14.7973	0.0104	 2.5747	   --- 	 --- 	3678.0 	---   	---   	  0.67	    0.073	  1.0  	Pozzo_1
-0.1236	-0.0015	 0.1201	  741.126	   29.743	  260.922	1.629	15	 ---	122.67514489318	0.0928	-46.43411447935	0.1152	5519584620959636352	  2.7445 	0.1184	 -5.993	0.221	  9.091	0.241	0	     1533.2 	      2.0687 	17.7244	0.0015	      178.86 	       6.0136  	19.7201	0.0365	      2318.6 	      8.8862  	16.3489	0.0042	 3.3713	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.8  	Pozzo_1
-0.0892	 0.0412	 0.0765	  842.105	   30.168	  180.55 	1.584	14	 ---	121.58610946119	0.074 	-46.19379322218	0.0941	5519571568558179328	  2.6735 	0.1013	 -6.431	0.162	  9.158	0.164	0	     1857.4 	      2.2057 	17.5161	0.0013	      252.71 	       8.3768  	19.3448	0.036 	      2690.3 	     14.901   	16.1874	0.006 	 3.1574	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	Pozzo_1
-0.075 	 0.0381	 0.0964	  270.381	   58.854	   61.854	1.336	14	 ---	122.91742711712	0.0195	-46.21269550647	0.0219	5519595654741648128	  2.7114 	0.0243	 -6.27 	0.041	  9.051	0.04 	0	    33568.0 	    124.15   	14.3735	0.004 	    11367.0  	     193.14    	15.2123	0.0184	     33496.0 	    541.54    	13.4494	0.0176	 1.7628	   --- 	 --- 	4063.25	---   	---   	  1.09	    0.289	  0.7  	Pozzo_1
-0.0867	-0.1267	 0.0828	 1311.74 	  280.694	  288.545	1.39 	15	 ---	122.94392106431	0.0244	-46.25102752521	0.0282	5519594623949499136	  2.9678 	0.0312	 -6.928	0.059	  9.859	0.052	0	    16030.0 	     12.221  	15.176 	0.0008	     4165.7  	      14.841   	16.3022	0.0039	     18119.0 	     62.795   	14.1166	0.0038	 2.1856	   --- 	 --- 	3591.67	---   	---   	  1.03	    0.159	  1.0  	Pozzo_1
 0.0212	-0.0389	 0.063 	  910.226	   65.488	   88.932	1.223	12	 0.0	123.01296937438	0.0315	-46.20918958368	0.0347	5519595173705279104	  2.8108 	0.0401	 -6.705	0.068	  8.997	0.061	0	   642520.0 	    705.89   	11.1686	0.0012	   358410.0  	    5472.9     	11.4654	0.0166	    427200.0 	   4803.6     	10.6853	0.0122	 0.7801	  18.15	 2.25	5869.75	1.0315	0.4995	  1.73	    3.195	  0.9  	Pozzo_1
 0.1054	-0.2095	-0.1684	  884.708	   28.364	  194.701	1.537	11	 ---	122.10775847229	0.0792	-46.01781852093	0.0876	5519577512800789504	  2.7378 	0.0971	 -6.449	0.171	  9.633	0.207	0	     2753.5 	      3.1124 	17.0886	0.0012	      425.41 	      14.998   	18.7794	0.0383	      3806.8 	     19.552   	15.8105	0.0056	 2.9688	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.8  	Pozzo_1
 0.0455	 0.0594	 0.0091	  803.419	   61.588	  293.302	1.505	15	 ---	123.01652925055	0.0481	-46.17817801456	0.0595	5519595414223442688	  2.6902 	0.0631	 -6.305	0.106	  9.795	0.122	0	     5003.3 	      6.2275 	16.4402	0.0014	      931.85 	      15.13    	17.928 	0.0176	      6599.4 	     22.5     	15.2132	0.0037	 2.7149	   --- 	 --- 	3790.34	1.053 	0.4827	  0.53	    0.052	  0.6  	Pozzo_1
 0.0482	 0.1176	-0.0532	  535.724	  116.673	  176.065	1.439	15	 ---	122.70329115141	0.0371	-46.32331959903	0.0427	5519590706939134336	  2.8665 	0.0437	 -6.47 	0.081	  9.654	0.079	1	    19423.0 	     36.256  	14.9675	0.002 	     4345.5  	      37.245   	16.2563	0.0093	     23602.0 	    134.05    	13.8295	0.0062	 2.4268	   --- 	 --- 	3391.33	---   	---   	  1.42	    0.242	  1.0  	Pozzo_1
