pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.0097	 0.075 	 0.0645	 1350.827	   66.731	  217.065	1.413	15	 ---	 31.86262555756	0.0772	 60.14920423065	0.0778	 507199422493793408	  0.3345 	0.1154	 -1.091	0.118	 -0.127	0.189	0	     1398.5 	      1.0353 	17.8242	0.0008	      406.83 	       6.0966  	18.8278	0.0163	      1569.5 	      7.2305  	16.7725	0.005 	 2.0553	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Riddle_4
-0.1151	-0.1427	 0.0376	 2078.436	  244.836	  511.804	1.324	18	 ---	 31.5938374641 	0.0405	 60.31719490665	0.0437	 507216331790142080	  0.2943 	0.0616	 -0.812	0.059	 -0.449	0.102	0	     3231.8 	      1.5549 	16.9148	0.0005	     1203.0  	       4.9135  	17.6507	0.0044	      3074.6 	      6.0074  	16.0424	0.0021	 1.6083	   --- 	 --- 	4366.0 	---   	---   	  --- 	    ---  	  0.7  	Riddle_4
-0.1073	-0.1539	-0.0508	 3913.269	  712.612	 1060.487	1.276	18	 ---	 31.66417199633	0.0157	 60.30966573705	0.0173	 507213342493012096	  0.2352 	0.0237	 -0.676	0.022	 -0.206	0.043	0	    20581.0 	      5.2592 	14.9047	0.0003	     8900.2  	      12.49    	15.4779	0.0015	     17353.0 	     16.364   	14.1635	0.001 	 1.3144	   --- 	 --- 	4851.0 	---   	---   	  5.81	   16.816	  0.4  	Riddle_4
-0.1685	-0.0956	-0.0371	 3918.478	  471.722	  940.606	1.298	18	 ---	 31.57570688568	0.0219	 60.30767632019	0.0238	 507216159991452928	  0.3161 	0.0329	 -1.1  	0.032	 -0.588	0.057	1	     9765.3 	      2.4921 	15.7142	0.0003	     3872.3  	       8.2089  	16.3815	0.0023	      8800.5 	      9.3562  	14.9007	0.0012	 1.4808	   --- 	 --- 	4410.95	---   	---   	  3.88	    5.143	  0.2  	Riddle_4
-0.0569	-0.1503	-0.0921	 3374.444	  230.998	  802.854	1.558	17	 ---	 31.72686430059	0.0341	 60.28082579906	0.0368	 507213101974847616	  0.223  	0.0526	 -0.83 	0.049	 -0.083	0.091	1	    12648.0 	      3.7482 	15.4333	0.0003	     1763.8  	       7.6358  	17.2352	0.0047	     17939.0 	     22.344   	14.1274	0.0014	 3.1078	   --- 	 --- 	4194.98	2.8   	1.4207	  --- 	    ---  	  0.1  	Riddle_4
-0.1031	-0.0036	-0.132 	 1595.477	   99.816	  441.325	1.403	15	 ---	 31.7159817514 	0.0759	 60.27905793027	0.0736	 507213067615109760	  0.3037 	0.1059	 -0.043	0.108	  0.215	0.179	0	     1727.3 	      1.0826 	17.595 	0.0007	      447.78 	       4.4861  	18.7237	0.0109	      1975.0 	      4.4751  	16.523 	0.0025	 2.2007	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Riddle_4
-0.0621	-0.0033	-0.0143	 1719.507	  143.159	  368.659	1.334	17	 ---	 31.62435042275	0.059 	 60.28774405274	0.0574	 507215880812130560	  0.3828 	0.0839	 -0.8  	0.085	 -0.138	0.14 	0	     2183.6 	      1.2699 	17.3404	0.0006	      748.65 	       5.2295  	18.1657	0.0076	      2163.3 	      5.8681  	16.4241	0.0029	 1.7416	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Riddle_4
-0.256 	-0.1819	-0.1581	 2257.575	  448.953	  774.096	1.281	16	 ---	 31.83377124906	0.0144	 60.25955141765	0.0161	 507212105542437888	  0.3518 	0.0201	 -0.782	0.02 	 -0.419	0.039	0	   100920.0 	     44.705  	13.1784	0.0005	    43135.0  	      96.078   	13.7643	0.0024	     86104.0 	    111.23    	12.4244	0.0014	 1.34  	   --- 	 --- 	4868.68	0.428 	0.2537	  8.51	   36.672	  1.0  	Riddle_4
 0.105 	 0.1091	 0.1646	 1685.331	  121.133	  350.445	1.355	17	 ---	 31.80465199598	0.068 	 60.25800720176	0.067 	 507212311700868864	  0.3863 	0.0943	 -0.65 	0.095	 -0.215	0.162	0	     2046.5 	      1.2143 	17.4108	0.0006	      726.12 	       5.9945  	18.1989	0.009 	      2047.5 	      5.8426  	16.4839	0.0031	 1.715 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Riddle_4
