pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1646	-0.0343	-0.1924	 2834.598	  479.762	  686.179	1.294	14	 ---	296.25152306539	0.0223	 24.15447426442	0.0262	2020530088407296256	  0.3741 	0.031 	 -1.834	0.046	 -4.982	0.048	0	    18413.0 	      6.4957 	15.0256	0.0004	     8058.2  	      16.796   	15.5858	0.0023	     15776.0 	     22.991   	14.2669	0.0016	 1.3188	   --- 	 --- 	4805.41	---   	---   	  3.54	    6.02 	  0.4  	Roslund_2
 0.0902	-0.2577	-0.0493	 1659.492	  128.618	  395.302	1.323	15	 ---	296.70620975393	0.043 	 24.12376798858	0.0452	2020538025507793536	  0.44   	0.0622	 -1.843	0.09 	 -5.052	0.088	0	     4297.4 	      2.5896 	16.6054	0.0007	     1420.6  	      11.045   	17.4702	0.0084	      4265.0 	     10.789   	15.6871	0.0027	 1.7831	   --- 	 --- 	4202.69	2.469 	1.2985	  --- 	    ---  	  0.3  	Roslund_2
-0.0555	-0.0085	-0.1143	 1311.125	  156.533	  401.386	1.371	12	 ---	296.42365846237	0.0625	 24.10903904155	0.0705	2020527472747629440	  0.4509 	0.0982	 -1.842	0.13 	 -5.385	0.14 	0	     2769.0 	      2.1119 	17.0826	0.0008	      916.24 	       5.8533  	17.9464	0.0069	      2878.9 	      7.1723  	16.1139	0.0027	 1.8325	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Roslund_2
-0.0026	-0.3084	-0.1656	 1443.276	    ---  	    ---  	---  	14	 ---	296.28347372781	0.0327	 24.04860930794	0.0389	2020525587281040512	  0.4906 	0.0526	 -1.63 	0.066	 -4.897	0.067	0	     8963.1 	      6.2102 	15.8072	0.0008	        ---  	       ---     	 ---   	---   	         --- 	      ---     	 ---   	---   	 ---   	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	Roslund_2
 0.0093	-0.0798	 0.0478	 1427.821	   82.95 	  371.152	1.333	14	 ---	296.22440126061	0.0497	 24.05660287411	0.0573	2020522804142278656	  0.5394 	0.0763	 -2.052	0.102	 -4.94 	0.121	0	     2923.1 	      2.0473 	17.0237	0.0008	      966.33 	      11.65    	17.8886	0.0131	      2930.7 	      7.8963  	16.0945	0.0029	 1.7941	   --- 	 --- 	3979.0 	2.448 	1.2283	  1.72	    0.671	  0.1  	Roslund_2
-0.0085	-0.2105	 0.0546	 2744.274	  420.671	  744.98 	1.291	14	 ---	296.39226061641	0.0232	 23.99593329815	0.0294	2020524281610888576	  0.4576 	0.0372	 -1.771	0.047	 -5.229	0.059	0	    11946.0 	      4.3531 	15.4953	0.0004	     4635.3  	      11.019   	16.1862	0.0026	     10793.0 	     14.487   	14.6791	0.0015	 1.5071	   --- 	 --- 	4642.36	---   	---   	  2.56	    2.744	  0.9  	Roslund_2
 0.0023	-0.2466	-0.1255	 3530.245	  437.632	  520.75 	1.265	13	 ---	296.23015107532	0.0196	 23.96644530363	0.0235	2020518951533149440	  0.4659 	0.0301	 -1.547	0.039	 -4.92 	0.045	0	    23666.0 	      6.7037 	14.7531	0.0003	    10740.0  	      24.541   	15.2739	0.0025	     19195.0 	     36.86    	14.054 	0.0021	 1.2199	   --- 	 --- 	4890.0 	---   	---   	  3.08	    4.877	  0.4  	Roslund_2
 0.0256	-0.4178	-0.1497	 3892.962	  462.097	  735.084	1.256	13	 ---	296.25152033294	0.0209	 23.99842878703	0.0249	2020519471247611520	  0.4011 	0.0365	 -1.691	0.043	 -5.116	0.045	1	    19398.0 	      4.9828 	14.969 	0.0003	     8839.5  	      19.129   	15.4853	0.0023	     15517.0 	     21.109   	14.2849	0.0015	 1.2004	   --- 	 --- 	4892.7 	---   	---   	  3.23	    5.389	  1.0  	Roslund_2
-0.0209	-0.1637	-0.1041	 2033.062	  429.201	  746.833	1.255	14	 ---	296.37327419377	0.0161	 24.00117895198	0.0194	2020524247251161472	  0.5122 	0.0261	 -1.561	0.032	 -4.913	0.039	0	    32465.0 	     15.968  	14.4098	0.0005	    15110.0  	      35.205   	14.9032	0.0025	     25636.0 	     34.326   	13.7398	0.0015	 1.1634	   --- 	 --- 	4922.71	---   	---   	  3.22	    5.492	  0.5  	Roslund_2
