pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.2230	-0.0409	 0.2059	 1412.985000000	   103.245000000	  242.232000000	1.343	14	248.81517257023	0.0870	-48.34430868368	0.0516	5941129682470184832	  0.2377 	0.0944	 -1.424	0.157	 -2.720	0.089	0	     2913.00000	      2.06160	17.027500	0.000800	     1120.80005	     10.85600 	17.727500	0.010500	     2790.89990	     11.52200	16.147600	0.004500	 1.5800	       	     	4318.3 	      	      	      	         	0.04
 0.1930	-0.0029	 0.1430	  693.361000000	    31.034000000	   86.457000000	1.490	14	248.81273631444	0.1833	-48.33752209839	0.1146	5941131159939358976	  1.1979 	0.1853	  2.000	0.325	 -5.340	0.191	0	      841.41998	      1.21350	18.375800	0.001600	      296.56000	      9.55600 	19.171100	0.035000	      957.17999	     11.07100	17.309400	0.012600	 1.8617	       	     	       	      	      	      	         	0.00
 0.1797	 0.0127	 0.1576	 1320.729000000	    97.296000000	  188.263000000	1.373	14	248.80885520912	0.0985	-48.35410019553	0.0611	5941129648110732416	  0.3562 	0.1022	 -2.157	0.172	 -2.473	0.102	0	     2133.89990	      1.61570	17.365400	0.000800	      802.65002	      8.24960 	18.090100	0.011200	     2127.69995	     11.30200	16.442100	0.005800	 1.6480	       	     	       	      	      	      	         	0.00
 0.1707	 0.0014	 0.1716	 1159.171000000	    76.782000000	  272.216000000	1.535	14	248.81655615188	0.1110	-48.35279455011	0.0686	5941129682470601088	  0.2247 	0.1167	-10.744	0.192	 -4.764	0.115	0	     2008.50000	      1.73270	17.431200	0.000900	      528.07001	      6.87760 	18.544700	0.014100	     2555.69995	      9.38840	16.243200	0.004000	 2.3015	       	     	       	      	      	      	         	0.00
 0.0782	 0.0027	 0.1986	 4672.740000000	  1061.679000000	 1619.655000000	1.211	14	248.81934466934	0.0212	-48.35365661390	0.0134	5941129686791593472	  1.1343 	0.0240	 -7.200	0.037	 -5.832	0.023	1	   108340.00000	     23.18400	13.101400	0.000200	    60012.00000	     56.52500 	13.405800	0.001000	    71145.00000	     43.92600	12.631600	0.000700	 0.7742	       	     	6282.5 	      	      	  1.53	    3.265	0.00
 0.1181	-0.0366	 0.2461	 1080.958000000	   118.943000000	  208.414000000	1.408	14	248.82732300344	0.1047	-48.35398335858	0.0632	5941129686791590784	  0.4031 	0.1181	 -0.634	0.175	 -0.482	0.106	0	     2121.39990	      1.96260	17.371800	0.001000	      803.28003	      6.75350 	18.089200	0.009100	     2184.39990	     10.48100	16.413600	0.005200	 1.6756	       	     	       	      	      	      	         	0.00
 0.2570	-0.0212	 0.1562	 1475.151000000	   119.143000000	  303.907000000	1.369	14	248.81293231870	0.0810	-48.34753932332	0.0497	5941129686791599360	  0.2744 	0.0846	  0.280	0.160	 -1.886	0.088	0	     3175.30005	      2.15260	16.933900	0.000700	     1099.59998	      9.22920 	17.748300	0.009100	     3248.89990	     10.69100	15.982600	0.003600	 1.7657	       	     	4274.2 	      	      	      	         	0.00
 0.1650	-0.0204	 0.1613	  828.508000000	    52.398000000	  109.759000000	1.446	14	248.82071785017	0.1566	-48.34468133381	0.1000	5941129686791598592	  0.5024 	0.1635	 -2.564	0.281	 -8.243	0.164	0	     1105.80005	      1.33470	18.079100	0.001300	      400.23001	      7.63830 	18.845600	0.020700	     1198.50000	     10.91900	17.065400	0.009900	 1.7802	       	     	       	      	      	      	         	0.00
 0.2037	 0.0078	 0.2047	 1089.854000000	    82.513000000	  200.111000000	1.403	14	248.80262849981	0.1091	-48.35734105985	0.0684	5941129652431858432	  0.3172 	0.1148	 -4.755	0.194	 -6.234	0.114	0	     1854.40002	      1.70150	17.517800	0.001000	      685.19000	      8.30410 	18.261900	0.013200	     1916.00000	      9.57460	16.555900	0.005400	 1.7059	       	     	       	      	      	      	         	0.00
 0.2321	 0.0014	 0.1997	  806.587000000	    67.957000000	   98.193000000	1.438	14	248.80470756335	0.1552	-48.35745580676	0.0976	5941129652431857536	  0.6724 	0.1614	 -0.973	0.283	 -2.380	0.162	0	     1114.30005	      1.38150	18.070900	0.001300	      425.54001	      6.26180 	18.779000	0.016000	     1177.19995	     11.98900	17.084800	0.011100	 1.6943	       	     	       	      	      	      	         	0.95
