pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.3537	-0.216 	 0.1574	  590.741	   21.745	   94.664	1.489	10	 ---	264.45394151778	0.1678	-36.37861474796	0.1342	5962684306646899584	  0.463  	0.1519	 -0.681	0.29 	 -2.406	0.214	0	     1702.1 	      2.8813 	17.6109	0.0018	      541.32 	      24.894   	18.5177	0.0499	      1993.8 	     21.062   	16.5127	0.0115	 2.005 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Ruprecht_127
 0.294 	-0.1887	 0.2922	 1021.135	  124.652	  273.014	1.343	11	 ---	264.48325708067	0.058 	-36.35738756538	0.0498	5962684237927420672	  0.4516 	0.0642	 -0.238	0.112	 -1.982	0.085	0	     6608.1 	      6.4713 	16.1382	0.0011	     2442.0  	      19.591   	16.882 	0.0087	      6434.7 	     23.569   	15.2406	0.004 	 1.6414	   --- 	 --- 	4297.48	---   	---   	  --- 	    ---  	  0.3  	Ruprecht_127
 0.4151	-0.3006	 0.2455	  695.744	   34.894	   32.766	1.606	10	 ---	264.40996130778	0.1331	-36.41175049945	0.1056	5962683859970304128	  0.5111 	0.1319	 -0.755	0.231	 -2.099	0.168	0	     2163.2 	      3.1092 	17.3506	0.0016	      754.76 	      21.631   	18.1569	0.0311	      2720.3 	     83.023   	16.1754	0.0331	 1.9815	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Ruprecht_127
 0.2493	-0.1233	 0.1913	  769.878	    ---  	    ---  	---  	11	 ---	264.44586350052	0.0843	-36.36236565472	0.0718	5962684375366420992	  0.3438 	0.0863	 -0.292	0.157	 -3.12 	0.117	0	     3819.5 	      4.9612 	16.7333	0.0014	        ---  	       ---     	 ---   	---   	         --- 	      ---     	 ---   	---   	 ---   	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Ruprecht_127
 0.2561	-0.1006	 0.0705	  396.854	    5.189	   10.191	2.122	10	 ---	264.61509219527	0.1771	-36.38142027135	0.1503	5962682068881891968	  0.4529 	0.1618	 -0.366	0.334	 -2.872	0.26 	0	     1375.6 	      3.4663 	17.8421	0.0027	      795.53 	     153.32    	18.0997	0.2092	      2124.1 	    208.42    	16.444 	0.1065	 1.6558	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Ruprecht_127
 0.3087	-0.1441	 0.2649	 2361.256	  214.051	  623.542	1.462	11	 ---	264.55886289778	0.0543	-36.38496289343	0.0457	5962684748938869760	  0.2947 	0.0556	  0.286	0.1  	 -1.9  	0.076	0	    25625.0 	     10.852  	14.6667	0.0005	     5163.1  	      24.121   	16.0691	0.0051	     32296.0 	     51.795   	13.489 	0.0017	 2.5801	   --- 	 --- 	3545.0 	2.5262	1.2493	  --- 	    ---  	  0.2  	Ruprecht_127
 0.4147	-0.2385	 0.006 	 2509.561	  153.046	  514.357	1.459	10	 ---	264.47709915853	0.0612	-36.37010381023	0.0494	5962684203567667328	  0.342  	0.0525	 -0.368	0.114	 -3.085	0.081	0	    23912.0 	      9.5283 	14.7418	0.0004	     4831.2  	      31.567   	16.1413	0.0071	     30055.0 	     58.433   	13.5671	0.0021	 2.5741	   --- 	 --- 	4071.65	2.5408	1.2627	  --- 	    ---  	  0.1  	Ruprecht_127
 0.228 	-0.1552	 0.166 	 1925.578	  199.48 	  738.931	1.458	11	 ---	264.61725756172	0.0534	-36.39584032883	0.0463	5962682073263603584	  0.3708 	0.0545	 -0.226	0.097	 -2.161	0.074	0	    31602.0 	     16.412  	14.4391	0.0006	     6397.6  	      32.071   	15.8364	0.0054	     39684.0 	     53.705   	13.2654	0.0015	 2.571 	   --- 	 --- 	4141.41	2.5753	1.2847	  --- 	    ---  	  0.6  	Ruprecht_127
 0.2418	-0.0821	 0.2086	 1266.787	   94.655	  113.865	1.396	11	 ---	264.56744325164	0.0641	-36.36784979178	0.056 	5962684783298650368	  0.4367 	0.0686	 -0.343	0.121	 -2.278	0.091	0	     6041.4 	      4.7691 	16.2355	0.0009	     2690.6  	      28.426   	16.7768	0.0115	      5741.8 	     50.426   	15.3643	0.0095	 1.4124	   --- 	 --- 	4603.2 	---   	---   	  --- 	    ---  	  1.0  	Ruprecht_127
