pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.3131	 0.1749	 0.1989	  968.256	   43.134	  106.695	1.479	18	 ---	205.84220740045	0.1049	-63.39244616937	0.1022	5864616558094497280	  0.4616 	0.1431	 -4.652	0.166	 -1.685	0.186	0	     1194.7 	      1.2339 	17.9952	0.0011	      306.64 	       7.109   	19.1348	0.0252	      1459.9 	     13.683   	16.8511	0.0102	 2.2837	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	SAI_118
 0.3885	 0.0897	 0.1698	 4401.215	  883.223	 1160.999	1.195	18	 ---	205.65388772256	0.0141	-63.20603525727	0.0147	5864634360759031936	  0.4614 	0.0207	 -4.267	0.025	 -2.36 	0.029	0	    36198.0 	      8.2246 	14.2917	0.0002	    22066.0  	      24.984   	14.4921	0.0012	     21202.0 	     18.262   	13.946 	0.0009	 0.5461	   --- 	 --- 	7151.0 	---   	---   	  1.68	    6.623	  0.9  	SAI_118
 0.3589	 0.0631	 0.2049	 1449.316	  198.752	  253.144	1.275	17	 ---	205.80709309501	0.037 	-63.18886029835	0.0396	5864634979234342272	  0.438  	0.0565	 -4.616	0.066	 -2.339	0.08 	0	     4308.9 	      2.9731 	16.6025	0.0007	     1937.3  	       9.7473  	17.1334	0.0055	      3556.3 	     14.049   	15.8844	0.0043	 1.249 	   --- 	 --- 	4895.75	---   	---   	  1.39	    1.004	  0.5  	SAI_118
 0.3379	 0.1629	 0.1911	  641.465	   44.952	   58.993	1.418	18	 ---	205.85230063156	0.0619	-63.18638673436	0.0681	5864635322831728640	  0.55   	0.0907	 -4.416	0.107	 -2.434	0.13 	0	     1830.9 	      2.8543 	17.5317	0.0017	      740.68 	      16.477   	18.1773	0.0242	      1856.0 	     31.462   	16.5905	0.0184	 1.5869	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	SAI_118
 0.3408	 0.1658	 0.1739	 1168.433	   48.822	  153.832	1.422	18	 ---	205.82900214719	0.0657	-63.33876596256	0.0692	5864628691402088192	  0.4198 	0.0977	 -4.685	0.109	 -2.396	0.129	0	     1964.4 	      1.6812 	17.4553	0.0009	      513.53 	      10.518   	18.575 	0.0222	      2280.2 	     14.823   	16.367 	0.0071	 2.208 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	SAI_118
 0.3707	 0.1446	 0.211 	 2838.82 	  419.351	  192.761	1.298	18	 ---	205.74508569674	0.0141	-63.18806589193	0.0147	5864635632069374592	  0.4899 	0.0204	 -4.509	0.024	 -2.352	0.028	0	    48985.0 	     17.255  	13.9632	0.0004	    31699.0  	      75.591   	14.0988	0.0026	     31879.0 	    165.38    	13.5032	0.0056	 0.5956	   --- 	 --- 	6876.0 	---   	---   	  1.98	    7.908	  0.9  	SAI_118
 0.3566	 0.1582	 0.1913	 5382.985	  845.694	 1351.822	1.192	18	 ---	205.79203049018	0.0124	-63.18682011608	0.0136	5864634979234346112	  0.536  	0.0192	 -3.974	0.021	 -2.507	0.028	0	    61451.0 	     11.416  	13.717 	0.0002	    39102.0  	      46.236   	13.8709	0.0013	     34126.0 	     25.244   	13.4292	0.0008	 0.4417	   --- 	 --- 	7942.5 	---   	---   	  1.56	    8.722	  0.9  	SAI_118
 0.2917	-0.0915	 0.1474	 2023.199	  346.607	  280.592	1.285	16	 ---	205.86995598377	0.036 	-63.12322101798	0.0302	5864636349285692160	  0.4964 	0.0425	 -4.711	0.065	 -2.639	0.059	0	     7461.8 	      3.6881 	16.0063	0.0005	     3349.7  	       9.6644  	16.5389	0.0031	      6237.9 	     22.231   	15.2743	0.0039	 1.2645	   --- 	 --- 	4851.0 	---   	---   	  1.66	    1.369	  0.5  	SAI_118
 0.3843	 0.1213	 0.2199	 2966.507	  381.58 	  630.532	1.236	17	 ---	205.97135509936	0.0223	-63.18126917228	0.0237	5864632264815017344	  0.48   	0.0336	 -4.592	0.039	 -1.844	0.046	0	    11523.0 	      3.8845 	15.5344	0.0004	     5749.4  	      15.067   	15.9523	0.0028	      8491.2 	     13.467   	14.9395	0.0017	 1.0128	   --- 	 --- 	5194.61	1.5885	0.7543	  1.79	    2.102	  0.3  	SAI_118
