pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.2576	 0.0721	-0.2932	  719.596	  119.373	  293.919	1.386	15	 ---	283.52340668507	0.0364	 37.35168208702	0.0423	2094000829746360960	  2.8018 	0.0466	  1.156	0.09 	 -2.88 	0.095	0	     7444.4 	     10.345  	16.0088	0.0015	     1937.5  	      16.23    	17.1333	0.0091	      8379.3 	     28.509   	14.9539	0.0037	 2.1794	   --- 	 --- 	3658.0 	---   	---   	  0.7 	    0.079	  1.0  	Stephenson_1
 0.0696	-0.0981	-0.1089	  555.548	   13.564	  217.252	1.619	17	 ---	283.64908621795	0.1149	 37.54720621692	0.1377	2094009758979419008	  2.7654 	0.1436	  1.564	0.263	 -2.495	0.292	0	     1373.1 	      2.4716 	17.8441	0.002 	      182.22 	      13.434   	19.6999	0.08  	      2041.2 	      9.3954  	16.4872	0.005 	 3.2127	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Stephenson_1
-0.2265	 0.1123	-0.1963	 2451.41 	  507.93 	  706.524	1.236	16	 ---	283.41913648167	0.0127	 37.55148715757	0.0145	2094012443338367104	  2.7525 	0.0157	  1.159	0.03 	 -2.721	0.028	0	    66525.0 	     27.137  	13.6309	0.0004	    30587.0  	      60.218   	14.1376	0.0021	     51618.0 	     73.059   	12.9799	0.0015	 1.1576	   --- 	 --- 	4945.0 	0.292 	0.183 	  0.85	    0.388	  1.0  	Stephenson_1
-0.3277	 0.0999	-0.1845	  652.601	   22.591	  164.743	1.52 	15	 ---	283.42980699771	0.0948	 37.40018247982	0.1279	2094002066697334272	  2.6797 	0.1197	  1.269	0.233	 -3.2  	0.3  	0	     1502.3 	      2.3021 	17.7465	0.0017	      257.38 	      11.393   	19.325 	0.0481	      2026.5 	     12.301   	16.4951	0.0066	 2.8299	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	Stephenson_1
 0.0833	 0.2438	-0.0078	  713.493	   21.687	  158.692	1.547	14	 ---	283.03220592724	0.0937	 37.48163269993	0.1166	2093997492551220096	  2.9037 	0.1299	  1.323	0.237	 -2.469	0.237	0	     1299.1 	      1.8208 	17.9042	0.0015	      210.57 	       9.7094  	19.5429	0.0501	      1799.1 	     11.337   	16.6243	0.0068	 2.9186	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Stephenson_1
-0.2278	 0.0853	-0.1561	 3149.736	 1132.282	  872.161	1.152	16	 ---	283.34310143704	0.0312	 37.4731241785 	0.0387	2094006219923685760	  2.8389 	0.0383	  1.027	0.074	 -2.896	0.077	1	  5286600.0 	   1678.4    	 8.8804	0.0003	  3841800.0  	    3393.0     	 8.89  	0.001 	   2247300.0 	   2576.7     	 8.8828	0.0012	 0.0073	   --- 	 --- 	9274.67	0.0307	0.0143	  --- 	    ---  	  1.0  	Stephenson_1
-0.0594	 0.1838	 0.0346	  460.892	   26.458	  187.764	1.532	14	 ---	283.15231814332	0.0906	 37.43897232589	0.1088	2094016734004648704	  2.6536 	0.1178	  1.578	0.209	 -2.639	0.229	0	     1413.3 	      3.0665 	17.8128	0.0024	      255.8  	       9.668   	19.3316	0.041 	      1908.7 	     10.166   	16.5601	0.0058	 2.7716	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Stephenson_1
-0.0723	 0.0706	-0.0613	  756.053	  191.449	  348.559	1.402	16	 ---	283.26213309877	0.0368	 36.44292367426	0.0401	2093518041061869056	  2.8041 	0.0435	  1.234	0.086	 -3.024	0.085	0	    13940.0 	     18.438  	15.3277	0.0014	     3471.6  	      18.133   	16.5001	0.0057	     16067.0 	     46.097   	14.2471	0.0031	 2.253 	   --- 	 --- 	3501.67	---   	---   	  1.11	    0.166	  1.0  	Stephenson_1
 0.191 	-0.0421	-0.0627	  817.095	   30.243	  222.978	1.58 	17	 ---	282.98601236711	0.0868	 36.66577179409	0.0989	2093538691265234688	  2.7393 	0.1051	  1.19 	0.193	 -2.883	0.201	0	     1813.7 	      2.2198 	17.5419	0.0013	      231.3  	       7.648   	19.441 	0.0359	      2633.6 	     11.811   	16.2105	0.0049	 3.2304	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	Stephenson_1
