pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.1135	 0.2196	-0.0787	 3286.112	  673.158	  681.167	1.213	16	 ---	132.55221403064	0.0168	-38.56228450137	0.018 	5621998154798766464	  1.3967 	0.0233	 -9.48 	0.036	  4.201	0.035	0	    32077.0 	      9.7614 	14.4229	0.0003	    16821.0  	      24.988   	14.7868	0.0016	     22082.0 	     32.418   	13.9018	0.0016	 0.885 	   --- 	 --- 	5727.0 	0.021 	0.0095	  0.82	    0.651	  0.5  	Teutsch_38
 0.1561	 0.1265	-0.1246	  691.869	  179.22 	  245.257	1.23 	16	 ---	132.73809364919	0.0157	-38.66526926781	0.0183	5621982555477508992	  1.538  	0.0228	 -8.573	0.033	  3.409	0.035	0	    28572.0 	     41.297  	14.5485	0.0016	    13313.0  	      74.283   	15.0407	0.0061	     21836.0 	     89.033   	13.914 	0.0044	 1.1267	   --- 	 --- 	4974.74	---   	---   	  0.98	    0.53 	  0.9  	Teutsch_38
 0.0985	 0.0559	-0.0496	  830.49 	  202.442	  350.734	1.286	15	 ---	133.07084962691	0.0237	-38.21174679779	0.0328	5622021175824356992	  1.5246 	0.0367	 -8.767	0.053	  3.537	0.062	0	     9854.0 	     11.865  	15.7043	0.0013	     3729.6  	      18.423   	16.4222	0.0054	      8941.2 	     25.493   	14.8834	0.0031	 1.5388	   --- 	 --- 	4295.01	1.0493	0.505 	  0.88	    0.236	  1.0  	Teutsch_38
 0.1073	 0.024 	-0.0768	 6215.42 	 1139.0  	 1478.981	1.186	16	 ---	132.98391970681	0.0198	-38.31805854636	0.0243	5622018972494478976	  1.4369 	0.0287	 -8.659	0.045	  3.427	0.046	0	   278920.0 	     44.876  	12.0747	0.0002	   170720.0  	     149.89    	12.2706	0.001 	    160140.0 	    108.28    	11.7507	0.0007	 0.52  	   --- 	 --- 	7027.9 	0.778 	0.386 	  1.55	    5.247	  1.0  	Teutsch_38
 0.2186	 0.0819	-0.0391	  487.678	   51.553	  161.751	1.481	17	 ---	132.95214001532	0.0651	-38.3957877693 	0.076 	5622012615943870080	  1.5425 	0.0885	 -8.372	0.163	  3.704	0.147	0	     1982.3 	      4.0647 	17.4455	0.0022	      376.02 	       7.2938  	18.9134	0.0211	      2559.6 	     15.824   	16.2415	0.0067	 2.6719	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	Teutsch_38
 0.1404	 0.2203	-0.1067	  437.918	  118.341	  173.448	1.21 	17	 ---	132.62941118907	0.0137	-38.56326064642	0.0144	5621998704554545920	  1.488  	0.0177	 -8.689	0.029	  3.529	0.028	0	    76687.0 	    175.12   	13.4766	0.0025	    40764.0  	     344.46    	13.8257	0.0092	     52009.0 	    299.85    	12.9717	0.0063	 0.854 	   --- 	 --- 	5749.0 	0.391 	0.1902	  1.18	    1.37 	  1.0  	Teutsch_38
 0.0442	 0.1374	-0.1871	 1637.048	  645.146	  481.356	1.143	15	 ---	132.80792538655	0.0362	-38.6330755222 	0.0456	5621982933434588544	  1.474  	0.0524	 -8.905	0.075	  3.618	0.091	1	 31429000.0 	  19198.0    	 6.9451	0.0007	 24519000.0  	   38006.0     	 6.8776	0.0017	  11396000.0 	  23676.0     	 7.12  	0.0023	-0.2424	   --- 	 --- 	8868.67	0.046 	0.0175	  --- 	    ---  	  1.0  	Teutsch_38
 0.0627	 0.2122	-0.007 	 1737.873	  809.032	  982.203	1.165	16	 ---	132.42692074618	0.0295	-38.55371791381	0.0306	5622001144095873024	  1.548  	0.039 	 -8.76 	0.066	  3.438	0.059	0	   594910.0 	    342.32   	11.2522	0.0006	   412380.0  	     509.71    	11.3132	0.0013	    280560.0 	    285.65    	11.1418	0.0011	 0.1713	   --- 	 --- 	8762.33	0.2298	0.1097	  --- 	    ---  	  1.0  	Teutsch_38
 0.1289	 0.2274	-0.0854	 7279.52 	 1233.603	 1261.371	1.196	17	 0.0	132.89204769074	0.019 	-38.53270914436	0.0231	5622007324544439808	  1.6205 	0.0268	 -9.423	0.04 	  3.719	0.042	0	   327180.0 	     44.945  	11.9014	0.0001	   183820.0  	     149.01    	12.1904	0.0009	    207440.0 	    164.45    	11.4697	0.0009	 0.7207	   1.13	 3.46	6086.0 	---   	---   	  1.98	    4.852	  0.9  	Teutsch_38
