pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.6036	-0.0287	 0.2025	 1844.02 	   99.918	  128.915	1.343	17	 ---	 23.94757010685	0.0448	 61.19277379979	0.0448	 509974731590800384	  0.2731 	0.0662	 -1.647	0.077	 -0.539	0.089	0	     4029.0 	      2.1849 	16.6754	0.0006	     1783.8  	      17.853   	17.223 	0.0109	      3628.7 	     28.148   	15.8625	0.0084	 1.3605	   --- 	 --- 	4477.67	---   	---   	  --- 	    ---  	  0.5  	Trumpler_1
-0.487 	-0.0585	 0.2009	 1738.674	  209.416	  453.81 	1.253	16	 ---	 23.92633320363	0.0364	 61.27563824233	0.0397	 509978511161914624	  0.344  	0.0552	 -1.504	0.069	 -0.583	0.083	0	     5952.2 	      3.4234 	16.2517	0.0006	     2918.4  	      13.936   	16.6885	0.0052	      4540.2 	     10.005   	15.6192	0.0024	 1.0693	   --- 	 --- 	5079.31	---   	---   	  --- 	    ---  	  0.8  	Trumpler_1
-0.5084	-0.1856	 0.2461	 4230.677	  493.843	 1280.294	1.207	17	 ---	 23.94540467874	0.0193	 61.27465103735	0.0214	 509978339363223936	  0.3541 	0.0322	 -1.715	0.033	 -0.575	0.043	0	   217260.0 	     51.354  	12.3459	0.0003	   135400.0  	     274.18    	12.5223	0.0022	    126840.0 	     99.072   	12.0038	0.0008	 0.5185	   --- 	 --- 	7031.52	---   	---   	  5.53	   67.308	  1.0  	Trumpler_1
-0.5723	-0.0125	 0.2257	 1964.71 	  110.919	  360.064	1.293	16	 ---	 23.92693703728	0.0446	 61.19037889546	0.0479	 509976209059552512	  0.3416 	0.0684	 -1.037	0.076	  0.028	0.095	0	     3615.2 	      1.8401 	16.793 	0.0006	     1482.3  	      13.364   	17.424 	0.0098	      3192.5 	      8.8665  	16.0016	0.003 	 1.4224	   --- 	 --- 	4425.17	2.6778	1.3622	  --- 	    ---  	  0.1  	Trumpler_1
-0.5083	-0.0459	 0.1447	 4943.881	  771.565	 1050.182	1.214	18	 ---	 23.85282798213	0.0153	 61.31223085816	0.0164	 509979438875289216	  0.3533 	0.0246	 -1.642	0.027	 -0.544	0.034	0	    36757.0 	      7.4348 	14.275 	0.0002	    20995.0  	      27.211   	14.5461	0.0014	     23614.0 	     22.485   	13.829 	0.001 	 0.7171	   --- 	 --- 	6272.25	---   	---   	  2.86	   11.417	  0.9  	Trumpler_1
-0.4327	-0.1349	 0.224 	 4657.404	  627.182	 1469.413	1.216	18	 ---	 23.87563861012	0.0154	 61.27957869349	0.0171	 509978201924264960	  0.3883 	0.0241	 -1.664	0.026	 -0.47 	0.035	0	    31347.0 	      6.7305 	14.4479	0.0002	    18156.0  	      28.949   	14.7038	0.0017	     19966.0 	     13.588   	14.0112	0.0007	 0.6926	   --- 	 --- 	6371.0 	1.4405	0.7037	  2.33	    8.051	  0.5  	Trumpler_1
-0.4017	-0.1045	 0.1711	  698.419	   35.647	   47.932	1.446	16	 ---	 24.01905356121	0.0724	 61.27874130724	0.0869	 509975453145195008	  0.294  	0.1303	 -1.632	0.126	 -0.399	0.17 	0	     1581.4 	      2.2643 	17.6908	0.0016	      637.31 	      17.878   	18.3405	0.0305	      1649.5 	     34.414   	16.7185	0.0227	 1.622 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Trumpler_1
-0.3589	-0.1357	 0.3158	  983.855	  111.237	  184.933	1.379	15	 ---	 23.89381513399	0.0615	 61.28859190894	0.0661	 509978579881375104	  0.3955 	0.0955	 -1.621	0.1  	 -0.873	0.128	0	     2403.4 	      2.4429 	17.2363	0.0011	     1088.1  	       9.7819  	17.7597	0.0098	      2227.1 	     12.043   	16.3926	0.0059	 1.3671	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Trumpler_1
-0.5238	-0.2216	 0.3028	 1443.618	  230.888	  360.27 	1.272	17	 ---	 23.98120774728	0.0361	 61.2677419444 	0.0409	 509978266336571008	  0.4118 	0.0645	 -1.598	0.065	 -0.429	0.082	0	     4453.3 	      3.0848 	16.5667	0.0008	     1950.4  	       8.4472  	17.1261	0.0047	      3713.8 	     10.308   	15.8374	0.003 	 1.2887	   --- 	 --- 	4774.12	1.7395	0.8627	  --- 	    ---  	  0.6  	Trumpler_1
