pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.0738	-0.2023	-0.0614	 2255.646000000	   166.387000000	  598.215000000	1.381	17	306.89550200779	0.0246	 37.51470259291	0.0296	2057828198562717056	  0.7303 	0.0340	 -0.011	0.055	 -4.686	0.061	0	     8384.40039	      3.71710	15.879700	0.000500	     2398.69995	     14.41600 	16.901500	0.006500	     9183.79980	     15.35200	14.854400	0.001800	 2.0471	       	     	3726.7 	      	      	  2.68	    1.246	0.00
-0.1143	-0.1906	-0.1047	 8127.230000000	   633.074000000	 1152.256000000	1.201	17	306.88949169616	0.0169	 37.50976075071	0.0215	2057828202862379520	  2.6405 	0.0237	  4.818	0.037	-12.506	0.045	0	   218470.00000	     26.88100	12.339900	0.000100	   119280.00000	    188.41000 	12.660000	0.001700	   143030.00000	    124.13000	11.873400	0.000900	 0.7866	 -15.76	 2.26	5889.2 	0.0687	0.0340	  1.07	    1.230	0.00
-0.0586	-0.2223	 0.0279	 1600.502000000	    38.670000000	  264.807000000	1.529	16	306.89712693360	0.0432	 37.51755692464	0.0560	2057828305941594240	  0.6183 	0.0611	 -0.979	0.095	 -4.764	0.113	0	     4015.80005	      2.50910	16.678900	0.000700	      682.19000	     17.64100 	18.266600	0.028100	     5459.00000	     20.61500	15.419100	0.004100	 2.8475	       	     	3788.0 	2.8955	1.4377	  2.07	    0.798	0.00
-0.0661	-0.3127	-0.1025	 3037.135000000	   265.453000000	  512.978000000	1.324	17	306.90093379441	0.0272	 37.52600070270	0.0317	2057828305941595520	  2.8878 	0.0386	 -3.641	0.061	 -4.945	0.063	0	    15608.00000	      5.13900	15.205000	0.000400	     5081.89990	     19.14400 	16.086300	0.004100	    15587.00000	     30.38600	14.280000	0.002100	 1.8063	       	     	3945.0 	1.1243	0.5607	  0.77	    0.128	0.00
-0.0523	-0.1921	 0.0062	 3106.910000000	   368.665000000	  914.831000000	1.323	17	306.92901008651	0.0167	 37.51661206262	0.0202	2057828271581847040	  3.2778 	0.0236	  8.795	0.036	  3.469	0.042	0	    18742.00000	      6.03250	15.006300	0.000300	     6050.29980	     16.41100 	15.897000	0.002900	    18740.00000	     20.48500	14.080000	0.001200	 1.8170	       	     	4194.5 	1.1067	0.5540	  0.61	    0.102	0.00
-0.0057	-0.1996	 0.1121	  876.364000000	    26.345000000	  219.653000000	1.461	16	306.92608894617	0.0732	 37.51968211828	0.1042	2057828267282197888	  0.5326 	0.1048	  2.169	0.161	 -0.336	0.210	0	     1317.09998	      1.50290	17.889300	0.001200	      255.70000	      9.70570 	19.332100	0.041200	     1668.80005	      7.59730	16.705900	0.004900	 2.6261	       	     	       	      	      	      	         	0.00
-0.0407	-0.2079	 0.0532	 1065.573000000	    75.730000000	  207.876000000	1.347	16	306.96171949569	0.0619	 37.52569859433	0.0808	2057851567484451968	  0.7732 	0.0875	 -4.248	0.136	 -4.185	0.162	0	     1846.09998	      1.73250	17.522700	0.001000	      525.52002	      6.93930 	18.549900	0.014300	     1961.09998	      9.43380	16.530700	0.005200	 2.0192	       	     	       	      	      	      	         	0.00
-0.0433	-0.2013	 0.0477	 1059.471000000	    53.310000000	  239.895000000	1.428	16	306.98163423191	0.0655	 37.53490474814	0.0858	2057851601844185984	  0.7189 	0.0930	 -1.399	0.144	 -3.693	0.173	0	     1781.50000	      1.68150	17.561400	0.001000	      390.45001	      7.32430 	18.872500	0.020400	     2152.69995	      8.97350	16.429500	0.004500	 2.4430	       	     	       	      	      	      	         	0.00
-0.0782	-0.2404	-0.0828	 4410.546000000	   628.141000000	  858.264000000	1.327	16	306.97883386039	0.0131	 37.54188156365	0.0156	2057851601844188800	  0.7001 	0.0186	  2.596	0.028	  0.862	0.031	0	    38803.00000	      8.79780	14.216200	0.000200	    12931.00000	     20.58600 	15.072300	0.001700	    38544.00000	     44.90900	13.297000	0.001300	 1.7753	       	     	4220.0 	      	      	  4.00	    4.575	0.00
-0.0124	-0.2434	 0.0193	  491.654000000	    62.910000000	  157.957000000	1.427	16	306.97510413466	0.0774	 37.53802800853	0.0938	2057851597544567552	  0.7166 	0.1062	  1.091	0.167	 -4.161	0.194	0	     1239.69995	      2.52140	17.955100	0.002200	      259.39999	      4.12340 	19.316500	0.017300	     1509.40002	      9.55570	16.814900	0.006900	 2.5015	       	     	       	      	      	      	         	0.00
