pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.4658	 0.15  	 0.1387	 7159.02 	 1056.599	 1744.63 	1.236	16	 ---	238.20553423981	0.0182	-55.36779819275	0.0123	5884541602901323136	  0.433  	0.0221	 -0.89 	0.034	 -2.231	0.029	0	    92107.0 	     12.866  	13.2776	0.0002	    47155.0  	      44.629   	13.6676	0.001 	     66690.0 	     38.226   	12.7018	0.0006	 0.9658	   --- 	 --- 	5332.0 	---   	---   	  5.27	   20.234	  1.0  	UFMG_3
-0.4213	-0.1145	 0.1343	 1296.368	   81.862	  208.052	1.349	15	 ---	238.20321361067	0.1055	-55.34415846324	0.0624	5884542049577933952	  0.0706 	0.1166	 -1.078	0.182	 -2.226	0.155	0	     2085.7 	      1.6089 	17.3902	0.0008	      696.68 	       8.5105  	18.2438	0.0133	      2116.2 	     10.171   	16.448 	0.0052	 1.7958	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	UFMG_3
-0.5026	 0.139 	 0.1337	 2423.339	  280.909	  585.317	1.313	16	 ---	238.30694982575	0.0481	-55.33544806074	0.033 	5884547753295097472	  0.5142 	0.0634	 -1.035	0.093	 -2.163	0.08 	0	     5809.2 	      2.3972 	16.2781	0.0004	     2194.3  	       7.8115  	16.9981	0.0039	      5434.8 	      9.2852  	15.424 	0.0019	 1.5742	   --- 	 --- 	4484.0 	---   	---   	  1.75	    1.121	  0.9  	UFMG_3
-0.5212	 0.1129	 0.0468	 2126.261	  251.877	  458.128	1.316	16	 ---	238.34379875472	0.0511	-55.33089174142	0.0349	5884547031740582912	  0.5234 	0.0654	 -1.192	0.101	 -2.218	0.09 	0	     4977.1 	      2.3407 	16.4459	0.0005	     1812.4  	       7.1955  	17.2058	0.0043	      4735.2 	     10.336   	15.5736	0.0024	 1.6322	   --- 	 --- 	4329.5 	---   	---   	  1.77	    0.993	  0.8  	UFMG_3
-0.5098	 0.1659	 0.1263	 4444.223	  822.791	 1252.273	1.266	16	 ---	238.33793488521	0.0271	-55.33008500857	0.0183	5884547031740586368	  0.3058 	0.0349	 -1.052	0.051	 -2.309	0.044	0	    20503.0 	      4.6134 	14.9088	0.0002	     9414.7  	      11.442   	15.4169	0.0013	     16542.0 	     13.21    	14.2154	0.0009	 1.2014	   --- 	 --- 	4898.3 	---   	---   	  4.34	    9.789	  0.8  	UFMG_3
-0.5225	 0.0891	 0.0594	 1975.053	  103.777	  361.478	1.442	16	 ---	238.41121210925	0.0543	-55.46790002034	0.0419	5884537376653588736	  0.1181 	0.0724	 -1.105	0.112	 -2.534	0.103	0	     4028.8 	      2.0398 	16.6754	0.0006	     1013.7  	       9.7683  	17.8366	0.0105	      4795.6 	     13.267   	15.5598	0.003 	 2.2768	   --- 	 --- 	3490.25	2.2667	1.154 	  --- 	    ---  	  0.7  	UFMG_3
-0.4603	 0.0363	 0.1189	 1915.159	  275.306	  166.507	1.408	16	 ---	238.30631922716	0.0494	-55.39749100572	0.0342	5884540915667815424	  0.6906 	0.0613	 -0.968	0.095	 -2.553	0.081	0	     5097.0 	      2.6614 	16.4201	0.0006	     1854.2  	       6.7351  	17.181 	0.0039	      5320.8 	     31.956   	15.447 	0.0065	 1.734 	   --- 	 --- 	4093.24	2.301 	1.1625	  1.62	    0.665	  0.9  	UFMG_3
-0.4961	 0.1677	 0.1317	 3001.97 	  537.739	  798.84 	1.355	16	 ---	238.26245187697	0.0358	-55.35842959422	0.0254	5884541804718911488	  0.5048 	0.0458	 -1.045	0.068	 -2.233	0.061	0	    10006.0 	      3.3331 	15.6877	0.0004	     3855.4  	       7.1697  	16.3862	0.002 	      9701.2 	     12.144   	14.7949	0.0014	 1.5914	   --- 	 --- 	4299.25	---   	---   	  2.66	    2.178	  0.8  	UFMG_3
-0.5946	 0.0899	 0.1309	 2089.432	  183.565	  356.295	1.323	15	 ---	238.24358831366	0.0552	-55.47289524985	0.0386	5884538819762391168	  0.3672 	0.0729	 -0.95 	0.113	 -2.256	0.1  	0	     4260.3 	      2.039  	16.6148	0.0005	     1638.2  	       8.9246  	17.3154	0.0059	      3997.7 	     11.22    	15.7574	0.003 	 1.558 	   --- 	 --- 	4378.18	---   	---   	  --- 	    ---  	  0.8  	UFMG_3
