pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.5097	 0.1938	 0.2147	  498.271	   20.687	  117.395	1.456	10	 ---	 92.09528433178	0.0975	-14.91075783024	0.1301	2993915466028482304	  1.5934 	0.1531	 -2.672	0.26 	  0.934	0.335	0	     1616.3 	      3.2438 	17.6671	0.0022	      294.39 	      14.231   	19.1791	0.0525	      2059.5 	     17.543   	16.4775	0.0092	 2.7015	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	UPK_445
-0.2541	 0.3523	-0.0958	  517.242	   39.31 	  158.583	1.453	11	 ---	 92.29359405643	0.1045	-14.89462350458	0.1208	2993917596332337024	  1.39   	0.1339	 -2.883	0.231	  1.292	0.224	0	     2394.1 	      4.6286 	17.2405	0.0021	      573.58 	      14.591   	18.4549	0.0276	      2905.1 	     18.319   	16.104 	0.0068	 2.3509	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.8  	UPK_445
-0.6034	 0.2093	 0.2167	  294.605	   75.702	  132.047	1.359	11	 ---	 92.75669186958	0.0561	-14.47362585181	0.0648	2993955632562672640	  1.3942 	0.0811	 -2.286	0.16 	  1.152	0.206	0	    11181.0 	     37.953  	15.5671	0.0037	     3403.6  	      44.961   	16.5215	0.0143	     11794.0 	     89.318   	14.5828	0.0082	 1.9388	   --- 	 --- 	3999.3 	---   	---   	  1.28	    0.379	  0.8  	UPK_445
-0.4985	 0.4624	-0.1344	  558.093	   38.405	  225.73 	1.479	10	 ---	 92.40645087101	0.1236	-14.82252867071	0.1463	2993919760995850496	  1.3271 	0.1604	 -2.52 	0.296	  1.206	0.36 	0	     1949.3 	      3.4927 	17.4637	0.0019	      386.66 	      10.068   	18.8831	0.0283	      2495.7 	     11.056   	16.2689	0.0048	 2.6142	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	UPK_445
-0.1884	 0.3944	-0.162 	 2430.294	  783.58 	  898.594	1.23 	11	-0.3	 92.10097388038	0.0337	-14.53174612514	0.0399	2993943293118677376	  1.2965 	0.0453	 -2.347	0.077	  1.465	0.073	0	  1514100.0 	    623.0    	10.238 	0.0004	   665900.0  	     849.81    	10.7929	0.0014	   1196200.0 	   1331.2     	 9.5674	0.0012	 1.2255	  45.9 	 0.18	4871.99	0.2093	0.103 	  8.93	   40.478	  0.8  	UPK_445
-0.1951	 0.4087	 0.077 	  381.862	   96.87 	  153.33 	1.299	10	 ---	 92.18917070911	0.0236	-14.93888639939	0.0343	2993912064414372480	  1.4346 	0.0375	 -2.857	0.056	  1.395	0.057	0	    23914.0 	     62.624  	14.7418	0.0028	     9056.5  	      93.492   	15.459 	0.0112	     22009.0 	    143.54    	13.9054	0.0071	 1.5535	   --- 	 --- 	4354.79	1.077 	0.5283	  1.39	    0.627	  0.9  	UPK_445
-0.5494	 0.5486	-0.4899	 5335.9  	  817.228	 1305.745	1.196	11	 ---	 92.4358338289 	0.0373	-14.37015409875	0.0429	2993972090877140992	  1.5198 	0.0446	 -2.529	0.086	  1.631	0.092	0	   202670.0 	     37.983  	12.4214	0.0002	   118530.0  	     145.03    	12.6669	0.0013	    123780.0 	     94.798   	12.0303	0.0008	 0.6366	   --- 	 --- 	6669.25	---   	---   	  1.38	    3.394	  0.8  	UPK_445
-0.3728	 0.4162	 0.0438	  673.928	   40.68 	  158.822	1.365	 9	 ---	 91.90167483769	0.0933	-14.64528266957	0.1248	2993981745963771008	  1.3696 	0.1493	 -2.687	0.217	  1.686	0.258	0	     2251.2 	      3.3404 	17.3073	0.0016	      674.74 	      16.587   	18.2785	0.0267	      2397.2 	     15.094   	16.3126	0.0068	 1.9659	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	UPK_445
-0.4139	 0.2895	-0.138 	 3154.014	  182.507	  207.648	1.206	11	 0.0	 92.38240041896	0.0369	-14.10756389863	0.0387	2994027233961198464	  1.5279 	0.0429	 -2.651	0.092	  1.755	0.079	0	   326150.0 	    103.41   	11.9048	0.0003	   207880.0  	    1139.0     	12.0569	0.0059	    185440.0 	    893.02    	11.5914	0.0052	 0.4654	  26.17	14.26	7642.33	0.6343	0.3142	  1.34	    5.558	  0.8  	UPK_445
