pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.0073	 0.2258	 0.3772	  165.119	   26.594	   64.521	1.511	 9	 ---	 97.73535257982	0.1205	 -9.64163101531	0.1352	3002950531031282560	  1.0532 	0.1501	 -3.183	0.229	 -0.253	0.314	0	     1568.6 	      9.4996 	17.6996	0.0066	      389.28 	      14.638   	18.8757	0.0408	      1981.3 	     30.708   	16.5195	0.0168	 2.3562	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	vdBergh_80
-0.0919	 0.1581	 0.3069	  487.522	   25.908	  138.041	1.475	10	 ---	 97.78993404005	0.1147	 -9.91064593564	0.1343	3002930121346537856	  0.9803 	0.1498	 -3.315	0.226	  0.485	0.28 	0	     1274.5 	      2.6142 	17.925 	0.0022	      301.65 	      11.643   	19.1526	0.0419	      1578.1 	     11.432   	16.7666	0.0079	 2.386 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	vdBergh_80
-0.0141	 0.1488	 0.2573	   39.162	   10.644	   10.864	1.547	10	 ---	 97.69864614807	0.0869	 -9.74917793273	0.0982	3002947335575425280	  1.0896 	0.1089	 -3.211	0.169	  0.81 	0.202	0	     2563.8 	     65.467  	17.1661	0.0277	      463.85 	      43.577   	18.6854	0.102 	      3502.0 	    322.35    	15.9011	0.0999	 2.7843	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	vdBergh_80
-0.2031	 0.0747	 0.1787	 1074.335	  111.581	  167.986	1.316	10	 ---	 97.86460114887	0.0646	 -9.79051895302	0.0704	3002932797108456192	  0.7879 	0.0755	 -3.999	0.132	  0.426	0.159	0	     3995.8 	      3.7193 	16.6843	0.001 	     1447.6  	      12.973   	17.4498	0.0097	      3812.9 	     22.698   	15.8088	0.0065	 1.641 	   --- 	 --- 	4388.25	---   	---   	  1.01	    0.342	  0.7  	vdBergh_80
-0.1924	 0.1671	 0.3394	  261.038	   25.542	   86.552	1.638	10	 ---	 97.73170193725	0.115 	 -9.67390589351	0.1336	3002949289785238016	  1.1635 	0.1518	 -3.246	0.228	  0.676	0.294	0	     1505.6 	      5.7678 	17.7441	0.0042	      297.03 	      11.629   	19.1694	0.0425	      2169.0 	     25.059   	16.4213	0.0125	 2.7481	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	vdBergh_80
 0.0451	 0.1403	 0.1254	 2871.022	  834.744	  691.574	1.227	11	 ---	 97.67149515653	0.0243	 -9.85286636255	0.0272	3002937474330565248	  1.1876 	0.0284	 -3.007	0.049	 -0.047	0.052	0	    34018.0 	     11.849  	14.3591	0.0004	    16881.0  	      20.223   	14.7829	0.0013	     24852.0 	     35.935   	13.7735	0.0016	 1.0093	   --- 	 --- 	5313.0 	---   	---   	  1.18	    0.996	  1.0  	vdBergh_80
-0.3289	 0.0246	 0.4551	   45.101	   11.676	   15.642	1.562	10	 ---	 97.65686459959	0.1358	 -9.66544675058	0.146 	3002950221793095040	  1.1677 	0.1839	 -3.308	0.276	  0.13 	0.354	0	     1279.2 	     28.362  	17.9211	0.0241	      250.53 	      21.456   	19.3543	0.093 	      1748.0 	    111.75    	16.6556	0.0694	 2.6987	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	vdBergh_80
-0.2106	 0.1664	 0.4203	  102.507	   19.821	   30.295	1.585	10	 ---	 97.71172712286	0.0869	 -9.63207216455	0.0978	3002950771549208192	  1.0438 	0.1184	 -3.17 	0.174	  0.208	0.229	0	     2045.2 	     19.952  	17.4115	0.0106	      613.98 	      30.977   	18.381 	0.0548	      2627.5 	     86.728   	16.2131	0.0358	 2.1679	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	vdBergh_80
 0.0451	 0.2058	 0.1485	  308.802	   71.98 	   89.259	1.323	11	 ---	 97.73397479985	0.0207	 -9.61883397041	0.0229	3002950840268671616	  0.9661 	0.0249	 -3.303	0.04 	  0.275	0.04 	0	    68442.0 	    221.64   	13.6001	0.0035	    23648.0  	     328.54    	14.4169	0.0151	     66932.0 	    749.86    	12.6978	0.0122	 1.7191	   --- 	 --- 	4077.55	---   	---   	  4.3 	    4.605	  1.0  	vdBergh_80
