pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.0472	 0.0517	-0.1905	 1142.318	  259.872	  407.049	1.204	17	 ---	105.55721703444	0.0165	-26.19375360424	0.0225	5610903841953547520	  1.2069 	0.0263	 -3.322	0.036	  2.933	0.047	0	   167040.0 	    146.23   	12.6313	0.001 	    91837.0  	     353.39    	12.9438	0.0042	    109240.0 	    268.37    	12.166 	0.0027	 0.7779	   --- 	 --- 	5893.75	1.3688	0.688 	  2.03	    4.5  	  0.4  	ASCC_32
-0.1253	 0.1561	-0.1276	  913.104	  117.261	  363.61 	1.335	17	 ---	106.84850695689	0.0383	-26.79825925393	0.0491	5610953560495346048	  1.0703 	0.0601	 -3.175	0.084	  3.367	0.093	0	     3408.9 	      3.7333 	16.8568	0.0012	     1071.4  	       9.137   	17.7765	0.0093	      3478.1 	      9.5654  	15.9086	0.003 	 1.8679	   --- 	 --- 	3901.67	---   	---   	  1.0 	    0.209	  0.3  	ASCC_32
-0.121 	 0.1044	-0.0434	 1339.006	   91.405	  267.988	1.304	15	 ---	105.6658597002 	0.0444	-26.2172717635 	0.0673	5610902639362665600	  1.1146 	0.0796	 -3.066	0.101	  3.884	0.138	0	     2665.4 	      1.9906 	17.124 	0.0008	      968.19 	      10.592   	17.8865	0.0119	      2506.3 	      9.3524  	16.2643	0.0041	 1.6222	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	ASCC_32
 0.0621	 0.0502	-0.219 	 1835.47 	  416.711	  555.849	1.21 	17	 ---	105.5340735901 	0.0194	-26.19693432399	0.0272	5610914081155590144	  1.4015 	0.0316	 -3.572	0.044	  3.172	0.056	0	    70901.0 	     38.628  	13.5617	0.0006	    38906.0  	      93.365   	13.8763	0.0026	     46870.0 	     84.322   	13.0847	0.002 	 0.7917	   --- 	 --- 	5899.25	0.217 	0.107 	  1.14	    1.416	  0.5  	ASCC_32
-0.0377	-0.0563	-0.0071	  842.332	   50.739	  201.282	1.417	15	 ---	105.06399328803	0.0664	-26.55151263905	0.0866	5610879377819473792	  1.3151 	0.1092	 -3.658	0.146	  3.503	0.174	0	     1813.9 	      2.1534 	17.5419	0.0013	      470.94 	       9.2816  	18.669 	0.0214	      2099.3 	     10.43    	16.4567	0.0054	 2.2122	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	ASCC_32
 0.1812	 0.0359	-0.185 	 3315.158	 1091.284	 1610.706	1.17 	17	 ---	105.59154969152	0.0171	-26.30390903769	0.0255	5610900818296580352	  1.2232 	0.0298	 -2.897	0.038	  3.524	0.052	0	   342260.0 	    103.24   	11.8525	0.0003	   236010.0  	     216.26    	11.9191	0.001 	    164390.0 	    102.06    	11.7223	0.0007	 0.1968	   --- 	 --- 	8607.0 	0.169 	0.0735	  --- 	    ---  	  0.5  	ASCC_32
-0.0878	 0.293 	-0.105 	 1493.424	  693.593	 1539.959	1.158	17	 ---	105.62851660012	0.0335	-26.41347300003	0.0446	5610896076652695936	  1.3475 	0.0549	 -3.202	0.073	  3.499	0.085	0	   749050.0 	    501.57   	11.0021	0.0007	   548810.0  	     791.25    	11.0028	0.0016	    318540.0 	    206.85    	11.004 	0.0007	-0.0012	   --- 	 --- 	9500.0 	0.08  	0.033 	  --- 	    ---  	  0.8  	ASCC_32
-0.1064	 0.1853	-0.1198	 4716.87 	  964.072	 1628.815	1.175	14	 0.0	105.20707164403	0.0155	-26.23525459043	0.024 	5610910847038606848	  1.2867 	0.0286	 -3.041	0.034	  3.504	0.041	0	   315110.0 	     66.806  	11.9422	0.0002	   212260.0  	     220.17    	12.0342	0.0011	    157900.0 	     96.941   	11.766 	0.0007	 0.2682	  38.75	 3.55	8387.0 	0.12  	0.06  	  --- 	    ---  	  0.7  	ASCC_32
-0.0994	 0.272 	-0.1287	 1669.587	  580.523	 1396.782	1.16 	16	 ---	105.42134071227	0.0309	-26.54263445118	0.0447	5610888208272743296	  1.2152 	0.0506	 -3.271	0.066	  3.787	0.083	0	   782220.0 	    468.51   	10.955 	0.0007	   579480.0  	     998.2     	10.9438	0.0019	    327810.0 	    234.69    	10.9729	0.0008	-0.0291	   --- 	 --- 	9542.67	0.0607	0.03  	  --- 	    ---  	  0.4  	ASCC_32
