pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.2928	-0.1551	 0.1192	 2875.299	 1107.115	 1293.706	1.182	16	 ---	  1.83840056545	0.0277	 58.76615617861	0.0258	 423098813180909440	  2.2778 	0.0331	  7.81 	0.05 	 -1.554	0.044	0	   805480.0 	    280.14   	10.9232	0.0004	   490180.0  	     442.76    	11.1255	0.001 	    461700.0 	    356.88    	10.601 	0.0008	 0.5245	   --- 	 --- 	6903.11	0.9112	0.423 	  1.72	    6.017	  1.0  	Alessi_20
-0.2038	-0.2333	 0.2399	 1100.756	   62.901	  372.019	1.572	17	 ---	  2.00352319868	0.0916	 58.75209969649	0.0812	 423095308487544320	  2.2975 	0.1349	  7.452	0.172	 -2.408	0.141	0	     3266.1 	      2.9672 	16.9033	0.001 	      452.45 	       7.193   	18.7125	0.0173	      4682.9 	     12.588   	15.5856	0.0029	 3.1268	   --- 	 --- 	4106.22	1.442 	0.8093	  --- 	    ---  	  1.0  	Alessi_20
-0.3196	-0.2375	 0.196 	 1032.088	  290.465	  405.363	1.302	17	 ---	  1.56241388094	0.0173	 58.74666670098	0.014 	 423109739577495040	  2.2292 	0.0203	  8.241	0.031	 -2.722	0.027	0	    44897.0 	     43.501  	14.0578	0.0011	    16284.0  	      56.062   	14.822 	0.0037	     42174.0 	    104.04    	13.1993	0.0027	 1.6227	   --- 	 --- 	4356.0 	---   	---   	  1.23	    0.488	  0.7  	Alessi_20
-0.2917	-0.1856	 0.0729	  592.987	  159.371	  161.566	1.252	17	 ---	  1.55947166909	0.0159	 58.74718590143	0.0126	 423109739577494912	  2.2711 	0.0185	  7.835	0.028	 -2.17 	0.026	0	   101160.0 	    170.59   	13.1758	0.0018	    42722.0  	     268.07    	13.7748	0.0068	     83946.0 	    519.58    	12.4519	0.0067	 1.3228	   --- 	 --- 	4998.7 	1.2777	0.6183	  1.23	    0.855	  1.0  	Alessi_20
-0.1431	-0.1806	 0.119 	  738.132	   89.106	  246.531	1.467	18	 ---	  2.12509822966	0.042 	 58.87644461909	0.0392	 423103241286402816	  2.3609 	0.0566	  8.195	0.082	 -2.201	0.069	0	     5071.2 	      6.8703 	16.4256	0.0015	     1066.6  	      11.97    	17.7814	0.0122	      6371.1 	     25.843   	15.2514	0.0044	 2.53  	   --- 	 --- 	3832.03	---   	---   	  0.59	    0.067	  1.0  	Alessi_20
-0.145 	-0.1069	 0.2864	  596.69 	   45.662	  132.45 	1.697	17	 ---	  1.82648320666	0.0723	 58.86082609875	0.067 	 423105375885393792	  2.5135 	0.0991	  8.186	0.138	 -2.299	0.117	0	     2520.1 	      4.2235 	17.1848	0.0018	      448.45 	       9.8211  	18.7221	0.0238	      3827.5 	     28.898   	15.8046	0.0082	 2.9175	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  1.0  	Alessi_20
-0.1259	 0.0092	 0.1993	  877.015	   31.53 	  316.807	1.607	16	 ---	  1.85476985075	0.1165	 58.73291238725	0.0919	 423097198273152384	  2.2038 	0.139 	  8.261	0.222	 -2.566	0.16 	0	     1578.3 	      1.7996 	17.6929	0.0012	      219.09 	       6.9486  	19.4998	0.0344	      2318.0 	      7.3167  	16.3491	0.0034	 3.1507	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	Alessi_20
-0.3835	-0.3666	 0.2792	  774.871	  192.842	  283.293	1.325	15	 ---	  2.41610775687	0.0203	 58.20695895674	0.0211	 422867537782448512	  2.2839 	0.0304	  7.699	0.04 	 -2.733	0.038	0	    24823.0 	     32.034  	14.7012	0.0014	     8070.1  	      41.848   	15.5842	0.0056	     24810.0 	     87.578   	13.7753	0.0038	 1.8089	   --- 	 --- 	3952.93	---   	---   	  1.21	    0.323	  1.0  	Alessi_20
-0.2745	-0.3448	 0.255 	  258.189	   55.593	   98.061	1.397	17	 ---	  2.33940234153	0.0331	 58.29132168621	0.0264	 422876711832225024	  2.3496 	0.0447	  7.98 	0.062	 -2.869	0.046	0	    14009.0 	     54.258  	15.3224	0.0042	     3562.8  	      64.087   	16.4719	0.0195	     16014.0 	    163.31    	14.2507	0.0111	 2.2212	   --- 	 --- 	3500.33	---   	---   	  1.32	    0.237	  0.8  	Alessi_20
