pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0052	-0.3229	 0.0335	  592.975	  175.57 	  219.451	1.274	17	 ---	330.88139905891	0.0204	 60.90136743638	0.019 	2203273215886607616	  1.1234 	0.0231	 -1.527	0.043	 -3.082	0.038	0	    23201.0 	     39.126  	14.7746	0.0018	     9607.9  	      54.724   	15.3948	0.0062	     19939.0 	     90.856   	14.0127	0.0049	 1.3821	   --- 	 --- 	4701.66	---   	---   	  1.4 	    0.867	  0.8  	Alessi_Teutsch_5
-0.0709	-0.3026	 0.0586	 2041.11 	  370.744	  570.374	1.251	17	 ---	330.65635303302	0.0217	 61.05660609823	0.0204	2203320013863799296	  1.0346 	0.0253	 -2.331	0.042	 -3.705	0.039	0	    19470.0 	      9.5389 	14.965 	0.0005	     9041.0  	      24.386   	15.4609	0.0029	     15309.0 	     26.841   	14.2995	0.0019	 1.1613	   --- 	 --- 	4919.5 	0.7138	0.3577	  1.24	    0.808	  0.6  	Alessi_Teutsch_5
 0.1518	-0.1164	 0.1605	 1337.099	  115.384	  191.253	1.301	17	 ---	331.00215003941	0.0563	 60.98712321828	0.0531	2203276853723688704	  1.0062 	0.0611	 -1.364	0.124	 -2.759	0.116	0	     3683.9 	      2.7551 	16.7726	0.0008	     1403.9  	      12.167   	17.4831	0.0094	      3389.0 	     17.72    	15.9367	0.0057	 1.5463	   --- 	 --- 	4462.32	0.971 	0.464 	  0.72	    0.187	  0.7  	Alessi_Teutsch_5
-0.1106	-0.2526	 0.184 	  810.356	   93.562	  351.712	1.392	16	 ---	331.89027749742	0.0577	 61.17406386782	0.0603	2203294587656719488	  1.0371 	0.0708	 -1.365	0.122	 -3.243	0.114	0	     2979.5 	      3.6768 	17.003 	0.0013	      816.68 	       8.7288  	18.0713	0.0116	      3331.5 	      9.4721  	15.9553	0.0031	 2.1159	   --- 	 --- 	3951.86	---   	---   	  --- 	    ---  	  0.6  	Alessi_Teutsch_5
-0.2271	-0.3555	 0.1097	 3403.384	 1136.0  	 1419.358	1.174	16	 ---	331.86305683331	0.0273	 61.14079780441	0.0265	2203293969181439104	  1.0973 	0.0321	 -1.751	0.058	 -3.183	0.052	0	   989860.0 	    290.85   	10.6994	0.0003	   651030.0  	     573.09    	10.8174	0.001 	    511180.0 	    360.15    	10.4905	0.0008	 0.3269	   --- 	 --- 	8208.67	0.726 	0.362 	  --- 	    ---  	  0.9  	Alessi_Teutsch_5
-0.2228	-0.308 	 0.1065	 1232.279	  657.294	 1275.352	1.298	15	 ---	331.69405704019	0.2481	 61.16741838441	0.2692	2203289296257122432	  1.1792 	0.3059	 -1.086	0.523	 -3.638	0.493	1	    63823.0 	     51.792  	13.6759	0.0009	    23983.0  	      36.488   	14.4016	0.0017	     58871.0 	     46.161   	12.8372	0.0009	 1.5644	   --- 	 --- 	4344.0 	---   	---   	  --- 	    ---  	  0.1  	Alessi_Teutsch_5
 0.2586	-0.0008	 0.0334	  656.087	   24.221	  181.318	1.573	17	 ---	331.90215194191	0.086 	 61.51301896164	0.0849	2203315512737211008	  1.1962 	0.0963	 -1.645	0.19 	 -3.007	0.187	0	     1555.1 	      2.3703 	17.709 	0.0017	      336.12 	      13.877   	19.0351	0.0448	      2110.7 	     11.641   	16.4508	0.006 	 2.5843	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.8  	Alessi_Teutsch_5
-0.2048	-0.2326	 0.1058	  476.125	   64.046	  145.884	1.458	15	 ---	331.93045138127	0.0735	 61.20051903943	0.0751	2203294690736058624	  1.1713 	0.0884	 -1.977	0.156	 -3.231	0.145	0	     2874.0 	      6.0362 	17.0422	0.0023	      708.32 	      11.06    	18.2258	0.017 	      3483.1 	     23.876   	15.907 	0.0074	 2.3188	   --- 	 --- 	3730.28	---   	---   	  0.97	    0.166	  0.7  	Alessi_Teutsch_5
-0.0218	-0.3195	-0.0885	 4089.929	  755.595	  885.987	1.228	16	 ---	330.44377595247	0.0181	 61.01360470792	0.0162	2203320941576685568	  1.0707 	0.0202	 -2.048	0.033	 -3.295	0.029	0	    93598.0 	     22.885  	13.2602	0.0003	    46362.0  	      61.358   	13.686 	0.0014	     68578.0 	     77.403   	12.6715	0.0012	 1.0145	   --- 	 --- 	5329.0 	0.9827	0.4518	  2.15	    3.364	  0.8  	Alessi_Teutsch_5
