pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.1506	-0.3018	 0.1642	  645.381	   19.901	  203.365	1.518	11	 ---	283.70190819672	0.1392	  5.55911088565	0.1404	4282463959006960896	  0.7384 	0.1682	  0.007	0.272	 -1.565	0.256	0	     1647.1 	      2.5521 	17.6466	0.0017	      309.64 	      15.559   	19.1242	0.0546	      2190.8 	     10.773   	16.4104	0.0053	 2.7138	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	Archinal_1
 0.2088	-0.2293	 0.0784	  105.525	    ---  	    ---  	---  	11	 ---	283.72112479228	0.2527	  5.57080329488	0.251 	4282463860224652160	  0.2512 	0.2926	 -0.597	0.489	 -0.93 	0.462	0	     9819.3 	     93.051  	15.7082	0.0103	        ---  	       ---     	 ---   	---   	         --- 	      ---     	 ---   	---   	 ---   	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.8  	Archinal_1
 0.1024	-0.3896	 0.1385	 2058.852	  289.411	  527.906	1.424	10	 ---	283.70434837329	0.0371	  5.55590367781	0.0393	4282463757145436928	  0.5444 	0.0465	 -0.247	0.072	 -1.677	0.068	0	    98996.0 	     48.083  	13.1993	0.0005	    22409.0  	      77.429   	14.4753	0.0038	    118550.0 	    224.56    	12.0772	0.0021	 2.3981	   --- 	 --- 	3770.0 	2.125 	1.0685	 11.88	   25.683	  1.0  	Archinal_1
 0.0811	-0.3157	 0.174 	 1359.705	  186.482	  355.88 	1.468	11	 ---	283.70447974927	0.0538	  5.5582311839 	0.0553	4282463757145437568	  0.3813 	0.0666	 -0.18 	0.105	 -1.672	0.099	0	     9835.1 	      7.2332 	15.7064	0.0008	     1984.7  	      10.643   	17.1071	0.0058	     12452.0 	     34.989   	14.5238	0.0031	 2.5833	   --- 	 --- 	3451.0 	2.6905	1.3493	  --- 	    ---  	  1.0  	Archinal_1
-0.0448	-0.0754	-0.0573	  608.533	    9.279	  235.061	1.62 	10	 ---	283.60664153894	0.1572	  5.4873268281 	0.1536	4282461759983658496	  0.5546 	0.179 	 -0.48 	0.325	 -1.143	0.328	0	     1362.8 	      2.2395 	17.8523	0.0018	      222.89 	      24.021   	19.4812	0.117 	      1984.4 	      8.4418  	16.5179	0.0046	 2.9633	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	Archinal_1
 0.0392	-0.2579	 0.0692	  629.677	   23.438	  164.943	1.544	 9	 ---	283.66457044096	0.1504	  5.48505469704	0.154 	4282458667607204096	  0.4013 	0.1673	 -0.188	0.301	 -1.574	0.306	0	     1273.4 	      2.0223 	17.926 	0.0017	      215.63 	       9.2     	19.5171	0.0463	      1750.8 	     10.615   	16.6538	0.0066	 2.8633	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.8  	Archinal_1
 0.1133	-0.3274	 0.0244	 1439.488	   77.988	  699.01 	1.404	 8	 ---	283.66499499086	0.0583	  5.49412623373	0.0606	4282462004798930560	  0.3543 	0.0713	  0.063	0.105	 -1.845	0.104	0	     9020.6 	      6.2665 	15.8003	0.0008	     2418.2  	      31.007   	16.8927	0.0139	     10246.0 	     14.658   	14.7355	0.0016	 2.1571	   --- 	 --- 	3566.0 	2.0797	1.053 	  --- 	    ---  	  0.7  	Archinal_1
 0.2721	-0.1618	 0.1536	  923.215	   98.953	  288.872	1.43 	 9	 ---	283.70333882231	0.0867	  5.542285758  	0.0722	4282463718488781824	  0.2553 	0.0873	 -0.184	0.163	 -1.523	0.154	0	     3985.5 	      4.3169 	16.6872	0.0012	      945.45 	       9.5546  	17.9123	0.011 	      4755.6 	     16.463   	15.5689	0.0038	 2.3434	   --- 	 --- 	4137.34	2.5033	1.243 	  --- 	    ---  	  0.9  	Archinal_1
 0.4119	-0.0934	 0.2284	  944.094	  105.407	  457.641	1.442	10	 ---	283.75645568364	0.0842	  5.48393513385	0.0813	4282458122148294784	  0.5382 	0.0982	  0.175	0.181	 -1.797	0.196	0	     5580.0 	      5.9104 	16.3218	0.0012	     1215.9  	      11.535   	17.6392	0.0103	      6832.7 	     14.93    	15.1754	0.0024	 2.4637	   --- 	 --- 	3457.0 	2.8285	1.4113	  --- 	    ---  	  0.7  	Archinal_1
