pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0355	 0.1265	 0.0526	  856.238	   56.94 	  152.12 	1.317	15	 ---	154.67440430336	0.1022	-56.41968758929	0.1033	5354891488656981504	  0.3618 	0.1185	 -5.855	0.211	  2.912	0.205	0	     1236.7 	      1.4444 	17.9577	0.0013	      444.49 	       7.8063  	18.7317	0.0191	      1184.3 	      7.785   	17.0783	0.0071	 1.6534	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	BH_92
 0.1131	 0.2765	 0.097 	 1413.654	  210.065	  494.07 	1.256	15	 ---	154.78269329231	0.0374	-56.41915791079	0.0355	5354891699126229760	  0.3802 	0.0444	 -5.654	0.076	  3.445	0.072	0	     7306.5 	      5.1685 	16.0291	0.0008	     3501.4  	      16.668   	16.4908	0.0052	      5677.4 	     11.491   	15.3765	0.0022	 1.1143	   --- 	 --- 	5005.4 	1.964 	0.9897	  1.97	    2.201	  1.0  	BH_92
 0.3305	 0.1002	-0.0406	 1038.531	  117.505	  247.993	1.306	15	 ---	154.80185623134	0.0443	-56.42434615109	0.0404	5354890943211986688	  0.3795 	0.0485	 -6.279	0.088	  3.42 	0.086	0	     6498.1 	      6.257  	16.1564	0.001 	     3019.3  	      25.695   	16.6516	0.0092	      5466.7 	     22.044   	15.4176	0.0044	 1.234 	   --- 	 --- 	4900.5 	2.3863	1.207 	  1.97	    2.014	  0.5  	BH_92
 0.3261	 0.1107	-0.0591	 1901.325	   89.933	  208.04 	1.297	15	 ---	154.80281746905	0.0304	-56.42489037271	0.0284	5354890943211986560	  0.4059 	0.0343	 -5.878	0.062	  3.439	0.061	0	    13082.0 	      6.8806 	15.3967	0.0006	     7411.0  	      82.405   	15.6767	0.0121	      9555.5 	     45.931   	14.8113	0.0052	 0.8654	   --- 	 --- 	5634.67	---   	---   	  1.87	    3.167	  1.0  	BH_92
 0.1481	 0.3199	 0.1123	 3644.85 	  571.714	  816.511	1.216	16	 ---	154.79076355919	0.0187	-56.42546904359	0.0189	5354890943211984384	  0.3762 	0.0234	 -5.978	0.038	  3.37 	0.037	0	    36758.0 	     10.085  	14.275 	0.0003	    20494.0  	      35.847   	14.5723	0.0019	     24202.0 	     29.641   	13.8023	0.0013	 0.7701	   --- 	 --- 	5805.67	1.5015	0.74  	  3.16	   10.241	  1.0  	BH_92
 0.0651	 0.264 	 0.0342	 1637.505	  437.288	  625.204	1.386	16	 0.0	154.76743173834	0.0316	-56.41708209232	0.031 	5354891596047011584	  0.3443 	0.0375	 -5.928	0.064	  3.351	0.06 	0	 13305000.0 	   8125.2    	 7.8783	0.0007	  2819100.0  	    6446.8     	 9.2261	0.0025	  15627000.0 	  24995.0     	 6.7772	0.0017	 2.4489	  20.29	 0.16	3630.0 	0.932 	0.4695	246.74	 9523.746	  0.9  	BH_92
 0.0711	 0.1473	 0.0486	 3840.496	  761.574	  366.618	1.237	15	 ---	154.76780652498	0.0189	-56.4195267335 	0.0166	5354891596047010944	  0.3774 	0.0207	 -5.844	0.039	  3.436	0.032	0	    53298.0 	     13.878  	13.8716	0.0003	    29792.0  	      39.119   	14.1661	0.0014	     36137.0 	     98.569   	13.367 	0.003 	 0.7991	   --- 	 --- 	5815.0 	---   	---   	  3.78	   14.746	  1.0  	BH_92
-0.0338	 0.1127	 0.1474	 2958.965	  525.211	  465.44 	1.231	15	 ---	154.75937485576	0.0171	-56.42326911233	0.0167	5354891596047009152	  0.3687 	0.0214	 -6.003	0.036	  3.244	0.033	0	    58158.0 	     19.655  	13.7768	0.0004	    32809.0  	      62.468   	14.0614	0.0021	     38764.0 	     83.286   	13.2908	0.0023	 0.7706	   --- 	 --- 	5873.0 	---   	---   	  3.96	   16.807	  0.9  	BH_92
 0.3115	 0.0878	-0.0474	 1609.754	  212.421	  581.176	1.251	15	 ---	154.81979190166	0.0457	-56.41072224044	0.0431	5354890977571732992	  0.3131 	0.0516	 -6.032	0.094	  3.28 	0.093	0	     5613.1 	      3.4869 	16.3154	0.0007	     2585.7  	      12.173   	16.8199	0.0051	      4434.7 	      7.6306  	15.6448	0.0019	 1.1752	   --- 	 --- 	4895.93	---   	---   	  --- 	    ---  	  0.7  	BH_92
