pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.0652	-0.1751	 0.0914	 1327.737	   69.222	  225.404	1.303	17	 ---	339.92506216487	0.0641	 58.96974621703	0.0559	2008383646002225536	  0.271  	0.076 	 -3.158	0.119	 -1.868	0.112	0	     2812.7 	      2.1184 	17.0656	0.0008	     1200.3  	      17.34    	17.6532	0.0157	      2463.3 	     10.928   	16.2831	0.0048	 1.37  	   --- 	 --- 	4773.44	---   	---   	  --- 	    ---  	  0.4  	Berkeley_97
-0.1455	-0.2704	-0.0024	 2269.347	  206.806	  373.777	1.281	17	 ---	339.87673134165	0.0295	 58.96071295168	0.0297	2008382202893209600	  0.3461 	0.0364	 -2.823	0.056	 -2.151	0.058	0	     8431.0 	      3.7152 	15.8737	0.0005	     3732.5  	      18.048   	16.4214	0.0053	      7071.8 	     18.92    	15.1381	0.0029	 1.2833	   --- 	 --- 	4856.56	---   	---   	  2.52	    3.176	  0.6  	Berkeley_97
-0.159 	-0.2127	-0.1369	 1058.943	   39.263	  217.015	1.512	16	 ---	339.94579695616	0.0717	 59.02046081911	0.0639	2008384642434841984	  0.1572 	0.0881	 -2.536	0.148	 -1.724	0.143	0	     2377.9 	      2.2456 	17.2479	0.001 	      439.91 	      11.204   	18.743 	0.0277	      3156.4 	     14.544   	16.014 	0.005 	 2.729 	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Berkeley_97
-0.1436	-0.2306	 0.0346	  560.496	  314.237	  167.065	1.255	17	 ---	340.10268404895	0.0232	 58.97390331535	0.023 	2008380794144211712	  0.2935 	0.0271	 -2.72 	0.043	 -1.857	0.048	0	   471020.0 	    840.36   	11.5058	0.0019	   215960.0  	     687.24    	12.0155	0.0035	    375280.0 	   2246.3     	10.826 	0.0065	 1.1894	   --- 	 --- 	4908.0 	---   	---   	 21.58	  243.546	  0.9  	Berkeley_97
-0.0314	-0.2596	 0.0143	  912.339	   79.995	  146.835	1.329	17	 ---	339.99717508578	0.0836	 58.92056823106	0.0808	2008380240083932160	  0.4375 	0.1033	 -2.556	0.157	 -1.913	0.159	0	     1421.5 	      1.5581 	17.8065	0.0012	      514.84 	       6.4358  	18.5722	0.0136	      1374.8 	      9.3631  	16.9163	0.0074	 1.6559	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	Berkeley_97
-0.1841	-0.2304	-0.1205	  946.323	   46.214	  123.342	1.41 	17	 ---	340.07597705392	0.0923	 58.95726378513	0.0874	2008380691065000448	  0.2248 	0.113 	 -2.534	0.174	 -1.597	0.19 	0	     1557.1 	      1.6455 	17.7075	0.0011	      630.08 	      13.634   	18.3529	0.0235	      1565.1 	     12.689   	16.7756	0.0088	 1.5773	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Berkeley_97
-0.1451	-0.4177	-0.0735	  604.639	    ---  	    ---  	---  	13	 ---	340.04511370083	0.1607	 58.94178160504	0.1062	2008380656697660544	  0.1994 	0.1573	 -2.843	0.29 	 -2.248	0.224	0	     1205.1 	      1.9931 	17.9858	0.0018	        ---  	       ---     	 ---   	---   	         --- 	      ---     	 ---   	---   	 ---   	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	Berkeley_97
-0.2065	-0.2365	-0.0216	 3149.085	  316.74 	  500.638	1.44 	17	 ---	340.07972172779	0.0236	 58.94999243161	0.0231	2008380622345529216	  0.1883 	0.0283	 -2.704	0.046	 -1.773	0.048	0	    36238.0 	     11.508  	14.2904	0.0003	     7929.0  	      25.033   	15.6033	0.0034	     44259.0 	     88.405   	13.1469	0.0022	 2.4564	   --- 	 --- 	3465.0 	1.926 	0.97  	  --- 	    ---  	  0.5  	Berkeley_97
-0.2746	-0.4846	 0.2148	  304.301	   12.645	   13.245	1.725	13	 ---	339.8456407694 	0.0475	 59.00830729229	0.0451	2008383302396657664	  0.2218 	0.0629	 -2.419	0.103	 -1.707	0.084	1	     7730.0 	     25.402  	15.9679	0.0036	     5107.0  	     403.86    	16.081 	0.0859	      8225.7 	    621.04    	14.974 	0.082 	 1.107 	   --- 	 --- 	5144.95	---   	---   	  --- 	    ---  	  0.8  	Berkeley_97
