pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.0895	-0.1994	-0.1386	 1425.461000000	   144.753000000	  479.282000000	1.524	16	308.34090681053	0.0409	 41.22566618010	0.0541	2067780432358951680	  0.5657 	0.0561	 -2.432	0.085	 -4.304	0.098	0	     8181.89990	      5.73980	15.906200	0.000800	     1437.30005	      9.92950 	17.457500	0.007500	    11030.00000	     23.01400	14.655500	0.002300	 2.8020	       	     	3861.7 	2.8420	1.4340	  3.04	    1.847	1.00
-0.0968	-0.1967	-0.1176	  909.585000000	    43.817000000	  171.605000000	1.539	17	308.33535298090	0.0717	 41.22250905634	0.0954	2067780428060411136	  0.4085 	0.0986	 -3.596	0.156	 -2.906	0.178	0	     1559.40002	      1.71450	17.705900	0.001200	      317.92999	      7.25580 	19.095600	0.024800	     2082.50000	     12.13600	16.465400	0.006300	 2.6301	       	     	       	      	      	      	         	0.00
-0.1853	-0.1028	-0.2280	  939.097000000	    36.680000000	  239.237000000	1.551	16	308.33815401129	0.0700	 41.22378786180	0.0951	2067780428060412416	  0.5710 	0.0983	 -3.136	0.153	 -5.017	0.179	0	     1862.69995	      1.98350	17.513000	0.001200	      312.00000	      8.50610 	19.116000	0.029600	     2576.19995	     10.76800	16.234500	0.004500	 2.8815	       	     	       	      	      	      	         	0.04
-0.0517	-0.2729	-0.0775	 2912.784000000	   356.427000000	  497.831000000	1.463	13	308.34678673728	0.0269	 41.22832218556	0.0394	2067780432358951296	  0.5778 	0.0390	 -2.569	0.055	 -4.311	0.070	0	    82445.00000	     28.30500	13.398000	0.000400	    16630.00000	     46.65600 	14.799200	0.003000	   104010.00000	    208.92000	12.219200	0.002200	 2.5799	       	     	3545.0 	2.4980	1.2460	 12.52	   22.315	1.00
-0.0965	-0.3096	-0.1579	  872.237000000	    33.679000000	  200.316000000	1.615	16	308.35012299614	0.0811	 41.22760970342	0.1044	2067780428062133376	  0.6094 	0.1172	 -2.830	0.180	 -4.185	0.195	0	     1571.90002	      1.80210	17.697300	0.001200	      213.38000	      6.33570 	19.528500	0.032200	     2325.50000	     11.60900	16.345600	0.005400	 3.1829	       	     	       	      	      	      	         	1.00
-0.1314	-0.1837	-0.2054	 1628.738000000	   209.250000000	  515.435000000	1.275	17	308.36336705393	0.0282	 41.25320925418	0.0381	2067780569797905408	  1.4054 	0.0396	  6.730	0.060	 -2.130	0.076	0	     8361.59961	      5.13380	15.882600	0.000700	     3332.10010	     15.92400 	16.544600	0.005200	     7325.10010	     14.21200	15.099900	0.002100	 1.4447	       	     	4596.7 	0.3900	0.1998	  0.72	    0.207	0.00
 0.0584	-0.0921	 0.1354	 1436.354000000	   120.801000000	  370.727000000	1.396	15	308.34788473815	0.0354	 41.23707174508	0.0531	2067780535438167296	  0.7309 	0.0534	 -2.219	0.078	 -2.651	0.112	0	     5450.60010	      3.79470	16.347300	0.000800	     1536.19995	     12.71700 	17.385300	0.009000	     6071.10010	     16.37600	15.303700	0.002900	 2.0815	       	     	3686.0 	2.5230	1.2730	  2.24	    0.832	0.00
-0.0725	-0.1331	-0.0515	  430.638000000	    37.139000000	   96.139000000	1.600	17	308.37648189173	0.1185	 41.23510211974	0.1542	2067780496781610880	  0.1334 	0.1650	 -3.322	0.258	 -2.701	0.301	0	     1718.59998	      3.99070	17.600500	0.002500	      308.10001	      8.29580 	19.129700	0.029200	     2440.80005	     25.38800	16.293100	0.011300	 2.8365	       	     	       	      	      	      	         	0.00
 0.0643	 0.0600	 0.0308	 1431.706000000	    76.277000000	  435.206000000	1.476	15	308.37876463290	0.0581	 41.24349292759	0.0624	2067780496781612160	  0.4199 	0.0719	 -2.186	0.150	 -4.156	0.124	0	     5833.20020	      4.07430	16.273600	0.000800	     1244.40002	     16.31400 	17.614000	0.014200	     7367.20020	     16.92800	15.093700	0.002500	 2.5203	       	     	3672.3 	2.7127	1.3765	      	         	0.94
-0.1009	-0.2029	-0.1501	 1108.205000000	    42.860000000	  316.164000000	1.537	17	308.39493544177	0.0659	 41.26012736825	0.0877	2067780913395286016	  0.5789 	0.0918	 -2.255	0.143	 -5.231	0.162	0	     2210.19995	      1.99440	17.327300	0.001000	      421.48001	      9.83380 	18.789400	0.025300	     2975.69995	      9.41190	16.077900	0.003400	 2.7115	       	     	       	      	      	      	         	0.01
