pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0596	-0.3563	 0.0751	  993.364	  101.061	   92.065	1.358	17	 ---	302.2997991553 	0.0618	 35.21521917337	0.0745	2058821332442689792	  0.4251 	0.0939	 -3.019	0.142	 -6.09 	0.158	0	     2036.8 	      2.0504 	17.416 	0.0011	      881.34 	       8.7208  	17.9885	0.0107	      1885.3 	     20.478   	16.5735	0.0118	 1.4151	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	Biurakan_2
 0.0486	-0.2005	 0.0617	 1267.353	  101.373	  345.417	1.377	17	 ---	302.27435736603	0.044 	 35.2456029888 	0.054 	2058821611634585216	  0.421  	0.0615	 -2.617	0.1  	 -6.287	0.107	0	     3650.4 	      2.8804 	16.7825	0.0009	     1148.6  	      11.33    	17.701 	0.0107	      3878.1 	     11.227   	15.7904	0.0031	 1.9106	   --- 	 --- 	3848.0 	2.615 	1.298 	  --- 	    ---  	  0.1  	Biurakan_2
-0.0472	-0.1625	-0.0637	 1950.607	  258.739	  472.828	1.336	17	 ---	302.00316412643	0.0279	 35.30618722975	0.033 	2058813434015984256	  0.502  	0.0375	 -3.189	0.062	 -6.323	0.069	0	     7632.8 	      3.913  	15.9817	0.0006	     2680.6  	      10.36    	16.7808	0.0042	      7517.4 	     15.899   	15.0718	0.0023	 1.7091	   --- 	 --- 	4138.54	---   	---   	  2.63	    1.833	  0.1  	Biurakan_2
-0.039 	-0.3439	-0.0858	 1870.591	  190.852	  412.945	1.285	17	 ---	302.3285308776 	0.0306	 35.24050158851	0.0333	2058821474195590016	  0.4223 	0.0426	 -3.234	0.067	 -6.421	0.062	0	     6602.9 	      3.5299 	16.139 	0.0006	     2820.1  	      14.776   	16.7257	0.0057	      5664.5 	     13.717   	15.379 	0.0026	 1.3467	   --- 	 --- 	4684.7 	2.649 	1.3248	  2.01	    1.757	  0.1  	Biurakan_2
-0.1474	-0.2361	-0.1358	 1367.709	   94.373	  207.129	1.316	15	 ---	302.42700732429	0.0501	 35.51474692088	0.0692	2058843773666314752	  0.6009 	0.0786	 -2.651	0.114	 -7.142	0.117	0	     2965.5 	      2.1682 	17.0081	0.0008	     1267.7  	      13.433   	17.5938	0.0115	      2635.7 	     12.725   	16.2097	0.0052	 1.3841	   --- 	 --- 	4493.0 	0.991 	0.485 	  1.07	    0.418	  0.3  	Biurakan_2
-0.0926	-0.1647	-0.0022	 4140.294	  633.303	  947.484	1.21 	16	 ---	302.14952219693	0.0147	 35.45234513669	0.0225	2058839650497873280	  0.4491 	0.0224	 -3.437	0.033	 -5.918	0.042	0	    33324.0 	      8.0488 	14.3815	0.0003	    19158.0  	      30.251   	14.6455	0.0017	     21180.0 	     22.354   	13.9471	0.0011	 0.6984	   --- 	 --- 	6210.67	---   	---   	  2.19	    6.416	  0.2  	Biurakan_2
-0.2065	-0.2312	-0.159 	 2346.831	  297.877	  678.029	1.306	13	 ---	302.31270548212	0.0242	 35.48050485523	0.0339	2058844907537747840	  0.451  	0.0394	 -2.537	0.056	 -6.359	0.074	0	    12456.0 	      5.3075 	15.4499	0.0005	     5091.3  	      17.092   	16.0843	0.0036	     11176.0 	     16.483   	14.6412	0.0016	 1.4431	   --- 	 --- 	4423.0 	---   	---   	  3.05	    3.206	  0.2  	Biurakan_2
-0.0875	-0.1191	 0.0473	  932.544	  125.516	  218.965	1.331	16	 ---	302.20117621161	0.05  	 35.53157125526	0.0642	2058845903970259072	  0.4632 	0.0721	 -2.888	0.115	 -6.248	0.122	0	     2815.1 	      3.0187 	17.0646	0.0012	     1083.4  	       8.6313  	17.7644	0.0087	      2662.4 	     12.159   	16.1987	0.005 	 1.5657	   --- 	 --- 	4294.0 	---   	---   	  --- 	    ---  	  0.1  	Biurakan_2
-0.1881	-0.115 	 0.0059	 3234.324	  753.356	 1656.859	1.193	16	 ---	302.15119772509	0.0149	 35.4752814466 	0.0222	2058839856656309376	  0.521  	0.022 	 -3.326	0.034	 -7.082	0.044	0	   102250.0 	     31.613  	13.1643	0.0003	    66296.0  	      88.001   	13.2977	0.0014	     55690.0 	     33.611   	12.8975	0.0007	 0.4002	   --- 	 --- 	8063.0 	0.787 	0.392 	  --- 	    ---  	  0.5  	Biurakan_2
