pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.4887	-0.0751	-0.2041	 1939.637000000	   252.435000000	  345.333000000	1.302	15	160.54493707552	0.0261	-59.33176771198	0.0320	5350381605522199680	  0.3485 	0.0335	 -7.353	0.062	  2.767	0.074	0	    17389.00000	      8.96490	15.087700	0.000600	     9982.40039	     39.54500 	15.353300	0.004300	    12655.00000	     36.64600	14.506300	0.003100	 0.8470	       	     	5639.5 	1.6842	0.8377	  2.50	    5.709	0.98
 0.2406	 0.0715	-0.0598	 1688.909000000	    94.844000000	  274.954000000	1.669	17	160.54742268163	0.0475	-59.34648573858	0.0481	5350381571162460800	  0.2348 	0.0536	 -4.549	0.103	  2.874	0.109	0	    12483.00000	      7.39140	15.447500	0.000600	     2484.10010	     26.19100 	16.863500	0.011400	    18357.00000	     66.76300	14.102400	0.003900	 2.7611	  22.80	 5.46	4289.6 	      	      	      	         	0.00
 0.2446	 0.0555	-0.0306	 7055.121000000	  1002.288000000	  931.333000000	1.188	17	160.54231040228	0.0230	-59.34952327043	0.0265	5350381566842412416	  0.8246 	0.0272	-11.060	0.052	  6.503	0.060	0	   227760.00000	     32.28200	12.294700	0.000200	   145830.00000	    145.50000 	12.441800	0.001100	   124770.00000	    133.97000	12.021700	0.001200	 0.4201	       	     	7834.7 	0.8820	0.4410	  2.00	   13.518	0.00
 0.1140	-0.1259	 0.0040	 1464.343000000	    73.489000000	  263.758000000	1.549	16	160.53103896227	0.0371	-59.33321829247	0.0374	5350381605522196096	  0.3546 	0.0439	 -5.062	0.090	  2.161	0.086	0	    27318.00000	     18.65500	14.597300	0.000700	     5738.50000	     78.08600 	15.954400	0.014800	    36575.00000	    138.67000	13.354000	0.004100	 2.6004	  19.22	 5.98	4012.7 	2.5830	1.3043	  7.80	   14.227	0.00
 0.3602	 0.0335	-0.0721	 1595.846000000	   444.656000000	  327.365000000	1.192	17	160.53421981811	0.0251	-59.33052229156	0.0283	5350381605522196608	  0.3489 	0.0282	 -7.608	0.056	  2.755	0.064	1	  3955200.00000	   2478.39990	 9.195400	0.000700	  2331500.00000	   5243.50000 	 9.432300	0.002400	  2382800.00000	   7278.60010	 8.819200	0.003300	 0.6131	       	     	6697.2 	1.5070	0.7590	 26.33	 1256.871	0.98
 0.2526	 0.0629	-0.0761	 2346.496000000	   424.325000000	  571.584000000	1.168	17	160.53919678471	0.0310	-59.32988716387	0.0336	5350381605522197248	  0.7430 	0.0357	 -9.680	0.066	  3.026	0.074	0	   583830.00000	    248.81000	11.272600	0.000500	   412380.00000	    971.85999 	11.313100	0.002600	   269370.00000	    471.28000	11.186000	0.001900	 0.1271	       	     	9124.5 	0.3527	0.1713	      	         	0.00
 0.3084	-0.0058	-0.0877	 3173.582000000	   808.725000000	  563.968000000	1.248	17	160.54562994713	0.0180	-59.33909020353	0.0205	5350381605522199040	  0.4031 	0.0210	 -6.378	0.040	  2.292	0.047	0	    29096.00000	      9.16810	14.528800	0.000300	    18395.00000	     22.74600 	14.689600	0.001300	    17917.00000	     31.77000	14.128800	0.001900	 0.5609	       	     	7029.8 	      	      	  1.78	    6.956	0.00
 0.2727	-0.1214	-0.0314	 2433.172000000	   450.492000000	  753.300000000	1.175	15	160.46501518125	0.0341	-59.34124619384	0.0366	5350381708601400192	  0.7469 	0.0364	 -7.435	0.077	  1.259	0.080	0	   456790.00000	    187.74001	11.539100	0.000400	   328440.00000	    729.06000 	11.560300	0.002400	   208120.00000	    276.26999	11.466100	0.001400	 0.0941	       	     	9519.0 	0.3770	0.1880	      	         	0.00
 0.1217	-0.0465	 0.0439	 1457.796000000	   171.319000000	  266.536000000	1.614	16	160.50064281433	0.0409	-59.35089167988	0.0477	5350381674241667328	  0.2751 	0.0473	 -5.724	0.090	  3.057	0.105	0	    28597.00000	     19.61600	14.547600	0.000700	     4535.29980	     26.47300 	16.209900	0.006300	    41607.00000	    156.10001	13.214000	0.004100	 2.9959	       	     	4278.5 	2.6610	1.3573	      	         	0.00
 0.1658	 0.0270	-0.0126	 1667.432000000	   186.436000000	  194.331000000	1.349	15	160.47881714225	0.0363	-59.34912479402	0.0417	5350381704281347840	  0.4456 	0.0432	 -3.157	0.081	  1.153	0.093	0	     6358.79980	      3.81350	16.179900	0.000700	     3207.50000	     17.20400 	16.586000	0.005800	     5369.20020	     27.62900	15.437200	0.005600	 1.1488	       	     	4978.2 	      	      	  1.59	    1.403	0.00
