pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.0969	-0.0452	 0.324 	 2273.293	  347.576	  471.0  	1.285	10	 ---	259.60888484851	0.0443	-35.58849701638	0.0325	5975492994248453504	  0.6379 	0.0491	  0.14 	0.082	 -1.319	0.056	0	    15326.0 	      6.7418 	15.2248	0.0005	     6149.7  	      17.693   	15.8793	0.0031	     13551.0 	     28.771   	14.432 	0.0023	 1.4473	   --- 	 --- 	4474.53	---   	---   	  2.31	    1.929	  0.2  	Bochum_13
-0.2263	-0.0433	 0.2254	  894.804	   92.212	  280.662	1.331	 9	 ---	259.47798301943	0.0665	-35.70392443538	0.0455	5975490833888220032	  0.6599 	0.0718	 -0.111	0.105	 -1.009	0.077	0	     9866.8 	     11.027  	15.7029	0.0012	     3261.6  	      35.371   	16.5678	0.0118	      9876.0 	     35.188   	14.7755	0.0039	 1.7923	   --- 	 --- 	3996.5 	---   	---   	  2.55	    1.494	  0.1  	Bochum_13
-0.0033	-0.1191	 0.2706	  523.365	    ---  	    ---  	---  	 9	 ---	259.49174345998	0.1184	-35.6488425566 	0.081 	5975491070104994176	  0.5684 	0.1327	 -0.779	0.188	 -1.157	0.136	0	     3448.9 	      6.5899 	16.8442	0.0021	        ---  	       ---     	 ---   	---   	         --- 	      ---     	 ---   	---   	 ---   	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.6  	Bochum_13
 0.0624	-0.0588	 0.362 	 3749.163	  379.824	 1047.117	1.262	10	 ---	259.56053565722	0.0307	-35.59104642154	0.0223	5975493101631692544	  0.592  	0.0334	 -0.04 	0.058	 -1.291	0.039	0	    46889.0 	     12.506  	14.0107	0.0003	    20868.0  	      54.942   	14.5527	0.0029	     38314.0 	     36.59    	13.3035	0.001 	 1.2492	   --- 	 --- 	4822.65	---   	---   	  3.54	    6.091	  0.7  	Bochum_13
-0.062 	-0.074 	 0.2977	  792.206	   33.751	   38.716	2.047	 9	 ---	259.49165090442	0.1127	-35.64916745309	0.0732	5975491074399004800	  0.5907 	0.1249	 -0.59 	0.171	 -1.62 	0.126	0	     4659.2 	      5.8813 	16.5176	0.0014	     2393.7  	      70.922   	16.9037	0.0322	      7144.0 	    184.52    	15.1271	0.028 	 1.7767	   --- 	 --- 	4777.0 	---   	---   	  --- 	    ---  	  0.3  	Bochum_13
-0.0805	-0.0577	 0.32  	 3275.453	  401.016	 1025.987	1.245	10	 ---	259.45815497099	0.0314	-35.72972385448	0.0214	5975467125668744192	  0.5431 	0.0345	 -0.267	0.055	 -1.25 	0.038	0	    77669.0 	     23.712  	13.4627	0.0003	    37123.0  	      92.573   	13.9273	0.0027	     59609.0 	     58.099   	12.8236	0.0011	 1.1036	   --- 	 --- 	5082.34	---   	---   	  4.33	   11.291	  0.8  	Bochum_13
 0.5168	 0.0616	 0.4905	  963.504	   78.232	  160.927	1.34 	10	 ---	259.20701493725	0.0921	-35.7075642387 	0.0739	5975516294454088832	  0.7013 	0.1167	 -0.029	0.234	 -1.741	0.171	0	     3303.2 	      3.4283 	16.891 	0.0011	     1174.0  	      15.007   	17.6772	0.0139	      3253.7 	     20.219   	15.981 	0.0067	 1.6962	   --- 	 --- 	4259.0 	1.911 	0.9465	  --- 	    ---  	  0.2  	Bochum_13
-0.1303	 0.0329	 0.0702	  807.348	  300.18 	  252.058	1.251	11	 ---	259.24865632431	0.0419	-35.62406738083	0.0333	5975518424758180480	  0.5895 	0.0434	 -0.124	0.093	 -1.176	0.062	0	   434600.0 	    538.31   	11.5931	0.0013	   198180.0  	     660.2     	12.1087	0.0036	    345630.0 	   1371.2     	10.9154	0.0043	 1.1933	   --- 	 --- 	4900.82	0.049 	0.0267	 10.36	   55.802	  0.7  	Bochum_13
 0.0511	-0.1218	 0.2865	 1096.732	  174.153	  229.65 	1.291	11	 ---	259.33166913158	0.0496	-35.70397672059	0.0368	5975514782625880704	  0.5629 	0.0505	 -0.298	0.09 	 -1.398	0.06 	0	    15956.0 	     14.549  	15.1811	0.001 	     6153.1  	      35.332   	15.8787	0.0062	     14447.0 	     62.908   	14.3625	0.0047	 1.5162	   --- 	 --- 	4480.0 	---   	---   	  2.66	    2.574	  0.7  	Bochum_13
