pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
 0.25  	 0.2992	 0.0679	  830.377	   70.22 	  148.778	1.358	13	 ---	 42.95978633688	0.0826	 59.30946350756	0.0815	 464448559282538496	  0.7392 	0.1142	  0.943	0.225	 -2.741	0.223	0	     1864.1 	      2.2448 	17.5122	0.0013	      616.95 	       8.786   	18.3758	0.0155	      1914.7 	     12.87    	16.5567	0.0073	 1.8191	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.0  	COIN-Gaia_37
 0.1042	 0.0036	-0.0977	  910.842	   80.21 	  212.736	1.281	12	 ---	 42.7683159852 	0.0785	 59.02035588589	0.0767	 464435124625059456	  0.7418 	0.1172	  0.316	0.317	 -2.037	0.223	0	     2453.6 	      2.6938 	17.2138	0.0012	      922.07 	      11.496   	17.9395	0.0135	      2220.2 	     10.436   	16.3959	0.0051	 1.5435	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	COIN-Gaia_37
 0.3885	 0.0011	 0.0005	  755.642	   29.342	  231.793	1.42 	14	 ---	 43.36242981616	0.0877	 59.45765415936	0.1009	 464470957538599552	  1.1595 	0.1328	  0.533	0.184	 -2.26 	0.25 	1	     1671.9 	      2.2126 	17.6303	0.0014	      386.53 	      13.174   	18.8834	0.037 	      1987.9 	      8.5763  	16.5159	0.0047	 2.3675	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	COIN-Gaia_37
 0.0691	 0.3165	-0.2348	  862.08 	   67.441	  218.684	1.342	13	 ---	 42.52146169161	0.0942	 59.29836251073	0.0837	 464456457719666944	  1.1447 	0.1202	  1.666	0.243	 -2.1  	0.242	0	     1740.2 	      2.0186 	17.5869	0.0013	      550.05 	       8.1561  	18.5004	0.0161	      1785.8 	      8.1662  	16.6323	0.005 	 1.8681	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	COIN-Gaia_37
 0.2101	 0.1096	 0.014 	 4182.9  	  733.697	 1094.402	1.323	14	 ---	 43.07951077032	0.0165	 59.19761802181	0.0174	 464443748919248896	  1.0187 	0.0227	  0.367	0.044	 -1.217	0.047	0	    42614.0 	     10.188  	14.1145	0.0003	    13896.0  	      18.939   	14.9942	0.0015	     42503.0 	     38.836   	13.1909	0.001 	 1.8033	   --- 	 --- 	3912.87	---   	---   	  3.68	    2.866	  0.1  	COIN-Gaia_37
 0.0414	 0.3044	-0.2009	  842.261	   59.249	  199.218	1.335	13	 ---	 42.54283302321	0.0815	 59.26600028058	0.078 	 464453438365485568	  0.7345 	0.1093	  0.484	0.216	 -2.43 	0.216	0	     2063.5 	      2.4499 	17.4019	0.0013	      697.66 	      11.775   	18.2423	0.0183	      2056.7 	     10.324   	16.479 	0.0054	 1.7633	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	COIN-Gaia_37
 0.3209	 0.1718	-0.1388	  745.22 	   51.585	  130.167	1.363	11	 ---	 42.91100166778	0.0846	 59.08789180331	0.0903	 464437113187316864	  0.9337 	0.1297	  1.62 	0.274	 -2.367	0.265	0	     2362.4 	      3.1701 	17.255 	0.0015	      757.91 	      14.692   	18.1523	0.021 	      2461.1 	     18.907   	16.2841	0.0083	 1.8683	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	COIN-Gaia_37
-0.043 	 0.1993	 0.1645	  758.014	   43.402	  228.958	1.371	12	 ---	 42.97495984243	0.0668	 59.03167601573	0.0649	 464435914899025664	  1.1688 	0.0978	  0.509	0.243	 -1.677	0.154	0	     2464.7 	      3.2515 	17.209 	0.0014	      692.95 	      15.966   	18.2496	0.025 	      2685.8 	     11.731   	16.1892	0.0047	 2.0604	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	COIN-Gaia_37
 0.2261	 0.1089	 0.1153	  967.236	  164.406	  306.337	1.294	14	 ---	 43.25300278285	0.0377	 59.4362902207 	0.0436	 464473504453536768	  1.0741 	0.0551	  0.034	0.095	 -1.675	0.122	0	     6006.9 	      6.2104 	16.2417	0.0011	     2220.4  	      13.506   	16.9853	0.0066	      5555.3 	     18.135   	15.4001	0.0035	 1.5851	   --- 	 --- 	4352.25	1.3923	0.6915	  0.93	    0.281	  0.0  	COIN-Gaia_37
