pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.045 	-0.0229	 0.035 	  671.25 	   49.287	  209.249	1.485	16	 ---	111.48581259261	0.0506	-31.39781588946	0.0667	5593274031999403904	  2.816  	0.0735	 -8.919	0.12 	  4.946	0.144	0	     2596.8 	      3.8686 	17.1523	0.0016	      462.89 	       9.3917  	18.6877	0.022 	      3392.5 	     16.213   	15.9356	0.0052	 2.7521	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Collinder_140
 0.0097	 0.0635	 0.1369	 1017.233	   75.412	  330.619	1.431	16	 ---	111.63028830496	0.0391	-31.45649384096	0.0585	5593270114989173760	  2.4608 	0.0634	 -8.188	0.089	  4.514	0.12 	0	     4562.8 	      4.4855 	16.5403	0.0011	     1029.7  	      13.654   	17.8196	0.0144	      5501.9 	     16.641   	15.4106	0.0033	 2.409 	   --- 	 --- 	3403.0 	---   	---   	  0.79	    0.076	  1.0  	Collinder_140
 0.0163	 0.1474	 0.0736	 1263.4  	  377.433	  522.753	1.205	16	 0.0	112.55849089471	0.0166	-30.7697600261 	0.0233	5593363775329033088	  2.3454 	0.0261	 -7.754	0.039	  4.617	0.05 	0	   212710.0 	    168.36   	12.3689	0.0009	   117910.0  	     312.4     	12.6725	0.0029	    138360.0 	    264.67    	11.9094	0.0021	 0.7631	  14.94	 2.68	5952.0 	0.1385	0.0703	  1.16	    1.513	  0.2  	Collinder_140
 0.0936	 0.1493	-0.2093	  391.946	  293.651	 1000.761	1.293	17	 ---	111.8677111414 	0.2749	-30.83375563787	0.3343	5593325331089304576	  2.3595 	0.3869	 -8.284	0.647	  5.765	0.665	1	    18282.0 	     46.644  	15.0333	0.0028	     9687.5  	      32.99    	15.3859	0.0037	     13954.0 	     13.943   	14.4002	0.0011	 0.9857	   --- 	 --- 	5349.67	0.127 	0.062 	  --- 	    ---  	  0.2  	Collinder_140
 0.0389	 0.1439	 0.0615	 2683.071	 1039.151	 1144.768	1.154	15	 ---	112.3336449991 	0.032 	-30.19353918186	0.0434	5593461842331944320	  2.4499 	0.0494	 -8.342	0.067	  4.407	0.089	1	  1811600.0 	    675.2    	10.0432	0.0004	  1263300.0  	    1215.7     	10.0976	0.001 	    827900.0 	    723.2     	 9.967 	0.0009	 0.1307	   --- 	 --- 	8941.0 	0.1895	0.111 	  --- 	    ---  	  0.9  	Collinder_140
-0.0112	-0.0853	 0.0937	  599.599	   21.756	  144.402	1.505	15	 ---	111.98886485918	0.098 	-30.5298241021 	0.105 	5593432529168887808	  2.5131 	0.1235	 -8.671	0.213	  4.655	0.228	0	     1461.4 	      2.4372 	17.7765	0.0018	      255.28 	      11.734   	19.3338	0.0499	      1944.5 	     13.466   	16.5399	0.0075	 2.7939	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	Collinder_140
 0.0026	 0.1226	 0.0824	  894.111	   72.737	  271.558	1.472	15	 ---	111.98498686222	0.0498	-33.37931712493	0.0623	5591737567576190848	  2.5909 	0.0724	 -8.415	0.106	  4.964	0.119	0	     3509.6 	      3.9252 	16.8252	0.0012	      696.78 	       9.5795  	18.2436	0.0149	      4469.7 	     16.459   	15.6362	0.004 	 2.6074	   --- 	 --- 	3660.0 	---   	---   	  0.52	    0.043	  0.8  	Collinder_140
 0.0046	 0.0035	 0.001 	  997.432	   77.468	  208.938	1.501	15	 ---	112.14376909296	0.0661	-33.23576740631	0.094 	5591746157510578304	  2.3975 	0.1012	 -8.137	0.143	  4.385	0.176	0	     2068.6 	      2.0739 	17.3992	0.0011	      355.16 	       4.5846  	18.9753	0.014 	      2749.4 	     13.159   	16.1638	0.0052	 2.8115	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.4  	Collinder_140
-0.0843	 0.1175	 0.0381	  843.646	   46.36 	  195.466	1.541	15	 ---	112.34871876544	0.072 	-33.44973504693	0.0866	5591727152272011904	  2.282  	0.0955	 -8.12 	0.154	  4.69 	0.192	0	     2084.2 	      2.4704 	17.391 	0.0013	      343.28 	       7.4047  	19.0123	0.0234	      2869.3 	     14.679   	16.1175	0.0056	 2.8948	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	Collinder_140
