pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1317	-0.3511	 0.2711	  747.175	   56.838	  146.5  	1.367	19	 ---	  1.93523862972	0.087 	 61.47604132308	0.0832	 429819749806759552	  0.3154 	0.1251	 -3.028	0.179	 -1.343	0.143	0	     1267.2 	      1.696  	17.9312	0.0015	      443.76 	       7.8075  	18.7335	0.0191	      1288.8 	      8.7972  	16.9865	0.0074	 1.7471	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.8  	Czernik_1
-0.1705	-0.2525	 0.1526	 1679.6  	  153.14 	  345.567	1.34 	19	 ---	  1.88873486451	0.0406	 61.47186139456	0.0401	 429820162123617536	  0.2727 	0.056 	 -3.52 	0.082	 -1.101	0.078	0	     4464.2 	      2.6579 	16.564 	0.0006	     1622.7  	      10.596   	17.3258	0.0071	      4359.1 	     12.614   	15.6634	0.0031	 1.6624	   --- 	 --- 	4256.33	---   	---   	  --- 	    ---  	  0.1  	Czernik_1
-0.121 	-0.2887	 0.1841	 1673.882	  195.278	  384.4  	1.268	19	 ---	  1.91809784105	0.0423	 61.47558992917	0.0424	 429819784166496000	  0.3042 	0.0583	 -2.891	0.084	 -1.306	0.074	0	     4189.0 	      2.5026 	16.6331	0.0006	     1865.0  	       9.5503  	17.1747	0.0056	      3444.7 	      8.9613  	15.919 	0.0028	 1.2557	   --- 	 --- 	4864.32	---   	---   	  --- 	    ---  	  1.0  	Czernik_1
-0.1816	-0.2866	 0.1448	 1397.892	  166.771	  277.995	1.301	19	 ---	  1.89757853228	0.0482	 61.44359501566	0.0482	 429819264466198144	  0.3117 	0.0662	 -2.913	0.099	 -1.448	0.094	0	     3391.9 	      2.4264 	16.8623	0.0008	     1456.1  	       8.7312  	17.4434	0.0065	      2955.1 	     10.63    	16.0855	0.0039	 1.3579	   --- 	 --- 	4785.25	---   	---   	  --- 	    ---  	  0.9  	Czernik_1
-0.1792	-0.3818	 0.2631	 1207.243	  133.697	  328.568	1.294	18	 ---	  1.99795609143	0.0543	 61.4945019462 	0.0479	 429825556602537600	  0.3039 	0.0757	 -2.483	0.11 	 -0.757	0.086	0	     3071.8 	      2.5445 	16.9699	0.0009	     1275.4  	       9.5398  	17.5872	0.0081	      2700.1 	      8.2178  	16.1835	0.0033	 1.4038	   --- 	 --- 	4553.29	---   	---   	  --- 	    ---  	  0.2  	Czernik_1
-0.1354	-0.2711	 0.2368	 1861.539	  226.18 	  400.087	1.268	19	 ---	  1.80208352357	0.037 	 61.46628801232	0.034 	 429820265202825728	  0.3624 	0.0487	 -2.758	0.076	 -1.396	0.061	0	     4942.0 	      2.6548 	16.4536	0.0006	     2237.9  	       9.8944  	16.9768	0.0048	      4028.8 	     10.07    	15.749 	0.0027	 1.2278	   --- 	 --- 	4941.86	---   	---   	  1.76	    1.663	  0.8  	Czernik_1
-0.0981	-0.232 	 0.2046	 4818.674	  798.816	 1438.0  	1.236	19	 ---	  1.90873304834	0.0147	 61.48371777692	0.0145	 429819818526227456	  0.3197 	0.0196	 -3.136	0.028	 -1.417	0.025	0	    68456.0 	     14.206  	13.5998	0.0002	    35860.0  	      44.891   	13.9649	0.0014	     48740.0 	     33.894   	13.0422	0.0008	 0.9227	   --- 	 --- 	5204.6 	---   	---   	  6.52	   28.11 	  1.0  	Czernik_1
-0.0977	-0.2865	 0.2097	 1329.041	  101.026	  318.299	1.297	19	 ---	  1.89114554525	0.0561	 61.47856262102	0.0523	 429820540080734080	  0.2272 	0.0764	 -2.817	0.113	 -1.504	0.097	0	     2667.6 	      2.0072 	17.123 	0.0008	     1072.9  	      10.62    	17.775 	0.0107	      2387.8 	      7.5019  	16.3169	0.0034	 1.4581	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.9  	Czernik_1
-0.1267	-0.2935	 0.2207	 1351.095	  130.913	  193.182	1.315	19	 ---	  1.9058414291 	0.0544	 61.48929559045	0.0492	 429819818526222592	  0.2942 	0.074 	 -3.108	0.11 	 -1.218	0.088	0	     2793.1 	      2.0673 	17.0732	0.0008	     1120.1  	       8.5558  	17.7283	0.0083	      2552.9 	     13.215   	16.2444	0.0056	 1.4839	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.7  	Czernik_1
